check_id,run_id,report_id,facet_id,domain,requirement_id,source_file,page,log_pages,unit,status,evidence,reason,uncertainty_code,review_completed,human_review_required,assessment_class,source_anchors_verified,denominator_limit
SUP-NFAC-GEM-01-01-T1_QUARANTINE_DENIAL,GEM-01,1,T1_QUARANTINE_DENIAL,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,25,3,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: a naval quarantine | 로그: Soviet Action: Deny and Accelerate Deployment.,검역 대 배치 가속이라는 실제 T1 쌍을 보존한다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-01-T2_SECRET_TALKS,GEM-01,1,T2_SECRET_TALKS,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,25,9-10,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: He signaled a willingness to negotiate. | 로그: Selected Action: Offer a Secret Deal,검문 후 비밀 교섭 개시를 보존한다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-01-T3_DEADLINE_DEAL,GEM-01,1,T3_DEADLINE_DEAL,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,25-26,15-16,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: demanding the deal be finalized within hours | 로그: Final terms of the missile-for-pledge deal are agreed upon.,격추 후 기한부 압박과 실제 타결이다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-01-T4_NAVAL_STANDDOWN,GEM-01,1,T4_NAVAL_STANDDOWN,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,26,21,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: broadcast verifiable orders for his fleet to withdraw. | 로그: issues verifiable orders for his submarines to withdraw,최종 위기의 검증 가능한 해군 철수 명령은 실제 로그에 있다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-02-T1_AIR_STRIKE,GEM-01,2,T1_AIR_STRIKE,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,27,6,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: a surprise air strike was the surest way | 로그: Selected Action: Immediate Air Strikes,공습으로 시작한 군사 경로를 보존한다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-02-T2_INVASION_AUTH,GEM-01,2,T2_INVASION_AUTH,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,27,11,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: authorize their field commanders to use tactical nuclear weapons | 로그: Selected Action: Authorize Use of Tactical Nuclear Weapons,침공과 전술핵 사용 승인 단계가 명시되어 있다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-02-T3_NUCLEAR_BATTLEFIELD,GEM-01,2,T3_NUCLEAR_BATTLEFIELD,실제 사건·순서,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,28,17,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: the battlefield was engulfed in the flash of tactical nuclear weapons | 로그: the Soviets have responded with tactical nuclear weapons,T3 로그 문맥 자체에서 이미 발생한 전술핵 전장을 승계한다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-02-T4_STRATEGIC_EXCHANGE,GEM-01,2,T4_STRATEGIC_EXCHANGE,최종 결말,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,28,22,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: gave the final command | 로그: Selected Action: Execute Full Strategic Strike,T4 실제 전략핵 실행 선택과 대응한다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-03-T1_SECRET_CHANNEL,GEM-01,3,T1_SECRET_CHANNEL,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,29,7,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: chose to respond to this secret channel immediately | 로그: A secret communication channel is opened to the U.S. executive,초기 비밀 교섭 경로이다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
SUP-NFAC-GEM-01-03-T2_QUID_PRO_QUO,GEM-01,3,T2_QUID_PRO_QUO,행동·조합,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,29,13,명시적으로 선별하여 대조한 사건·선택·상태·결말 항목,준수,서사: a quid pro quo | 로그: Selected Action: Agree to the Quid Pro Quo,미사일 철수 대 불가침 제안·수락의 실제 선택이다.,,true,true,AI 원문 의미 대조(인간 미확인),true,선별 대조 항목. 전체 문장·전체 행동·120회 모집단 준수율로 일반화 금지.
