case_id,reason_code,reason_label,run_id,turn,dependency_group,original_check_id,basis,scope_limit,source_url,checked_pages,assignment_basis
HR-005,missing_turn_response,Missing turn-response record,CLA-03,4,CLA-03-T4-missing-response,CLA-03-SEM2-T4_BRANCH,"4턴에서 대안을 만들지 않았는지, 해당 응답이 보존 과정에서 빠졌는지 구분할 수 없다. 최종 서사에 4턴 내용이 보인다고 독립된 대안 생성의 이행을 복원해서는 안 된다.",기록 부족에 따른 판정 불가이다. 미응답이나 실제 위반으로 확정한 것이 아니다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/3.%20Strategic%20Decision%20Modeling%20Protocol.pdf,16–22 및 21–30쪽의 단계 구분,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-008,missing_turn_response,Missing turn-response record,CLA-03,4,CLA-03-T4-missing-response,CLA-03-SEM2-T4_EVENT,"4턴의 고정 사건을 행동 선택에 사용했는지 판단할 증거가 부족하다. HR-005와 같은 기록 공백이지만, 이번 질문은 추가 대안 수가 아니라 사건 반영이다.",독립적인 두 실패가 발생했다고 세지 않는다. 같은 보존 공백이 두 평가 항목을 판정 불가로 만든 것이다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/3.%20Strategic%20Decision%20Modeling%20Protocol.pdf,16–22 및 21–30쪽의 단계 구분,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-014,missing_turn_response,Missing turn-response record,GPT-25,2,GPT-25-T2-missing-response,A2-GPT-25-T2_BRANCH,보존된 3턴 출력을 2턴의 이행 근거로 가져올 수 없다. 2턴의 실제 생성 실패와 기록 누락을 구별할 수 없으므로 U이다.,빈 기록을 근거로 행동쌍 수를 0으로 확정하지 않는다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V25.pdf,6–10,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-019,missing_turn_response,Missing turn-response record,GPT-25,2,GPT-25-T2-missing-response,A2-GPT-25-T2_PARENT_COVERAGE,현재 턴의 처리 대상을 확인할 수 없으므로 부모 누락을 확정할 수 없다. HR-014와 같은 기록 공백을 다른 관점에서 보는 항목이다.,3턴에 경로가 나온다는 것만으로 2턴의 처리를 추정하지 않는다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V25.pdf,6–10,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-010,unclear_active_parent_set,Unclear set of paths to continue,CLA-13,4,,CLA-13-SEM2-T4_PARENT_COVERAGE,대표 세 경로가 처리된 사실은 확인된다. 다만 미로그 후보까지 다음 턴의 활성 부모인지 원지시만으로 고정할 수 없어 전체 처리범위의 준수를 확정하지 않는다.,"모든 후보를 무조건 지수적으로 확장해야 한다는 새 의무나, 자동 폐기를 허용하는 새 규칙을 적용하지 않는다.",https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/13.%20Strategic%20Decision%20Modeling%20Protocol.pdf,15–26,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-029,unclear_active_parent_set,Unclear set of paths to continue,GEM-10,4,,A2-GEM-10-T4_PARENT_COVERAGE,대표 세 경로의 계속 처리는 확인되지만 전체 활성 부모 집합을 확정할 수 없다. 동일한 세 표제가 남았다는 이유만으로 전체 범위를 C로 올리지 않는다.,수치 승계나 이미 종결된 부모의 별도 문제도 이 항목 하나로 해결되지 않는다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/10.pdf,14–24,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-037,unclear_active_parent_set,Unclear set of paths to continue,PER-11,4,,SEM-B-V2-PER-11-T4_PARENT_COVERAGE,기존 카드의 모든 추가 후보에 개별 결과가 있다는 설명은 지나치게 강하다. 미로그 후보와 활성 부모의 경계가 불명확하므로 V를 유지하기보다 U로 구분한다.,대표 세 가족이 처리됐다고 전체 C도 아니다. 9월20일 재검토의 V→U와 동일한 처리이며 새 정정 건수로 중복 계산하지 않는다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/11.%20__Strategic%20Action%20Options%20Analysis__.pdf,10–15,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-023,termination_applicability,Unclear obligation after termination,GEM-10,4,,A2-GEM-10-T4_BRANCH,"추가 조합이 없는 사실은 확인된다. 그러나 이미 종료된 것으로 기록된 부모에 다음 턴의 요구를 어떻게 적용하는지 원지시가 정하지 않아, 전체 항목을 C 또는 명백한 V로 단정하지 않는다.",종료를 정당한 자동 면제로 승인한 것이 아니다. 종료 상태 자체의 타당성과 추가 대안 의무의 적용 공백을 구분한 U이다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/10.pdf,"14–24, 중심 20–24","Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-026,termination_applicability,Unclear obligation after termination,GEM-02,4,,A2-GEM-02-T4_EVENT,"일부 경로의 반영은 확인되지만, 종료된 부모에 공식 회의 지시와 경계 변화가 어떤 지위를 갖는지 원지시만으로 결정하기 어렵다. 그래서 전체 항목은 U이다.","반영된 경로까지 실패로 묶지 않으며, 종료를 임의로 허용했다고 단정하지도 않는다.",https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Gemini_2.5_Flash/2.pdf,"11–17, 중심 15–17","Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-011,certainty_language,Ambiguous certainty language,GPT-29,1,,A2-GPT-29-T1_US_ROLE,원프로필은 결정적 제거를 선호한다는 설명과 완전한 성공을 보장할 수 없다는 제약을 함께 담고 있다. 축약된 문장이 의도·주장인지 결과 보장인지 모호하므로 보수적으로 U로 둔다.,강경 대안을 선택해서 위반이라는 뜻이 아니다. 이 경계 처리에 따른 U는 9월20일 기준 보완에 이미 포함된 것으로 새 오류 발견이 아니다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V29.pdf,1–4,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-016,compound_event_linkage,Insufficient linkage of compound-event conditions,GPT-18,2,,A2-GPT-18-T2_EVENT,수치나 사건명이 있다는 사실만으로 결정조건의 이행을 확정할 수 없다. 반영을 부정할 충분한 근거도 없어 U로 둔다.,표가 없었다고 서술하지 않는다. 확인되지 않은 것은 상태 숫자의 존재가 아니라 사건과 판단의 연결이다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V18.pdf,9–10,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
HR-035,compound_event_linkage,Insufficient linkage of compound-event conditions,PER-08,4,,SEM-B-V2-PER-08-T4_EVENT,새 사건이 전혀 없었다고 설명하면 원문과 다르다. 일부 반영은 확인되지만 소련의 상반된 공식 지시까지 포함한 핵심 조건들이 각 판단에 어떻게 사용됐는지 충분히 연결되지 않아 전체 항목은 U로 둔다.,사건명 누락만으로 V를 주거나 잠수함·DEFCON2 단어만으로 C를 주지 않는다. U를 유지하더라도 기존 이유는 부분 반영을 인정하도록 보완한다.,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/8.%20U.S.%20Strategic%20Alternatives.pdf,13–17,"Principal explanatory reason from revision 17 Table A5; cross-checked against preserved item explanation, not a new label"
