check_id,run_id,turn,branch,pair_id,source_file,page,requirement_id,domain,unit,selected_action,negotiation_semantic_class,prior_state,reported_previous_state,independently_recomputed_predecision_state,predecision_state_basis,state_stage,python_gate_result,status,uncertainty_code,reason,evidence,rule_locator,rule_quote,review_completed,human_review_required,assessment_class,source_anchors_verified,scope_note,input_version_condition
SUP-THRESH-GEM-23-T1-63a3a9fad2,GEM-23,T1,Initial alternatives United States,most,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Naval Quarantine,no,"{""Tension"": "".8"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",준수,,검역 선택이며 교섭의 실행은 아니다. 실제 지정된 행동은 협상 수행이 아니므로 Diplomatic_Negotiation 금지를 어기지 않는다. 허용·권장은 협상 실행 의무가 아니다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Naval Quarantine,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T1-be716af349,GEM-23,T1,Initial alternatives United States,alt1,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Immediate Air Strikes,no,"{""Tension"": "".8"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",준수,,공습 선택이다. 실제 지정된 행동은 협상 수행이 아니므로 Diplomatic_Negotiation 금지를 어기지 않는다. 허용·권장은 협상 실행 의무가 아니다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Immediate Air Strikes,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T1-051e6c412d,GEM-23,T1,Initial alternatives United States,alt2,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Propose Secret Negotiations,yes,"{""Tension"": "".8"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",판정 불가,rule_ambiguous,개인 agency가 Disabled를 override한다는 별도 설명이 있지만 여론 허용과 긴장·지원 금지가 충돌하는 원규칙 문제는 분리한다. 이 행은 실제 비밀 협상 선택을 평가한다. 동시에 Disabled와 Enabled/Encouraged가 발생하지만 원 VDM은 변수 간 우선순위를 지정하지 않았다. 임의 우선순위를 소급해 위반 또는 준수로 확정하지 않는다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Propose Secret Negotiations,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T1-cd445791ce,GEM-23,T1,Initial alternatives Soviet Union,most,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Military Alert,no,"{""Tension"": "".95"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",준수,,경보 선택이다. 실제 지정된 행동은 협상 수행이 아니므로 Diplomatic_Negotiation 금지를 어기지 않는다. 허용·권장은 협상 실행 의무가 아니다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Military Alert,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T1-aa8d5e5bed,GEM-23,T1,Initial alternatives Soviet Union,alt1,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Retaliation,no,"{""Tension"": "".95"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",준수,,실제 보복 선택이다. 실제 지정된 행동은 협상 수행이 아니므로 Diplomatic_Negotiation 금지를 어기지 않는다. 허용·권장은 협상 실행 의무가 아니다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Retaliation,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T1-957034c5eb,GEM-23,T1,Initial alternatives Soviet Union,alt2,runs/raw_logs/Gemini_2.5_Flash/23.pdf,1-6,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Open Secret Backchannel,yes,"{""Tension"": "".95"", ""Diplomatic_Support"": "".5"", ""Public_Opinion"": "".5""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,explicit_post_discovery_baseline_before_selected_actions,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",판정 불가,rule_ambiguous,쿠바 불가침과 철수를 교환하는 비밀 교섭 맥락에서 실제 접촉을 연다. 동시에 Disabled와 Enabled/Encouraged가 발생하지만 원 VDM은 변수 간 우선순위를 지정하지 않았다. 임의 우선순위를 소급해 위반 또는 준수로 확정하지 않는다.,The baseline variables entering this turn (post-discovery) are: | Selected Action: Open a Secret Backchannel,"$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T2-0c7e788116,GEM-23,T2,Most Plausible United States,most,runs/raw_logs/Gemini_2.5_Flash/23.pdf,7-9,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Maintain and Tighten Quarantine,no,"{""Tension"": "".95"", ""Diplomatic_Support"": "".43"", ""Public_Opinion"": "".43""}","["".90"", "".45"", "".45""]","[""0.95"", ""0.43"", ""0.43""]",명시 이전 상태와 명시 유입 사건 효과만 Python 재계산; 모델이 이 중간값을 출력했다고 주장하지 않음,US_explicit_previous_plus_explicit_incoming_Defense_Prep; Soviet_reported_starting_state,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",준수,,검역 유지이다. 실제 지정된 행동은 협상 수행이 아니므로 Diplomatic_Negotiation 금지를 어기지 않는다. 허용·권장은 협상 실행 의무가 아니다.,"US: Tension: 0.90, Diplomatic_Support: 0.45, Public_Opinion: 0.45 | US Action: Maintain and Tighten Quarantine.","$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T2-ea8c69e36a,GEM-23,T2,Most Plausible United States,alt1,runs/raw_logs/Gemini_2.5_Flash/23.pdf,7-9,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Deliver an Ultimatum,ambiguous,"{""Tension"": "".95"", ""Diplomatic_Support"": "".43"", ""Public_Opinion"": "".43""}","["".90"", "".45"", "".45""]","[""0.95"", ""0.43"", ""0.43""]",명시 이전 상태와 명시 유입 사건 효과만 Python 재계산; 모델이 이 중간값을 출력했다고 주장하지 않음,US_explicit_previous_plus_explicit_incoming_Defense_Prep; Soviet_reported_starting_state,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",판정 불가,rule_ambiguous,군사적 최후통첩은 명시했으나 어떤 조건을 교섭하는지는 이 선택쌍에서 불명확하다. 단순 최후통첩이라는 이름만으로 교섭 수행을 확정하지 않는다. 원문 행동이 협상인지 일방 요구·굴복인지 명확하지 않아 그 행위에 금지가 적용되는지 확정하지 않음.,"US: Tension: 0.90, Diplomatic_Support: 0.45, Public_Opinion: 0.45 | US Action: Deliver an Ultimatum.","$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T2-913c032779,GEM-23,T2,Most Plausible United States,alt2,runs/raw_logs/Gemini_2.5_Flash/23.pdf,7-9,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Offer a Secret Trade,yes,"{""Tension"": "".95"", ""Diplomatic_Support"": "".43"", ""Public_Opinion"": "".43""}","["".90"", "".45"", "".45""]","[""0.95"", ""0.43"", ""0.43""]",명시 이전 상태와 명시 유입 사건 효과만 Python 재계산; 모델이 이 중간값을 출력했다고 주장하지 않음,US_explicit_previous_plus_explicit_incoming_Defense_Prep; Soviet_reported_starting_state,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",판정 불가,rule_ambiguous,Turkey 미사일 교환의 실제 제안이다. 동시에 Disabled와 Enabled/Encouraged가 발생하지만 원 VDM은 변수 간 우선순위를 지정하지 않았다. 임의 우선순위를 소급해 위반 또는 준수로 확정하지 않는다.,"US: Tension: 0.90, Diplomatic_Support: 0.45, Public_Opinion: 0.45 | US Action: Offer a Secret Trade.","$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
SUP-THRESH-GEM-23-T2-95e157b93a,GEM-23,T2,Most Plausible Soviet Union,most,runs/raw_logs/Gemini_2.5_Flash/23.pdf,7-9,VDM-OPTION-Tension-GTEQ0.8-Diplomatic_Negotiation;VDM-OPTION-Diplomatic_Support-LTEQ0.5-Diplomatic_Negotiation;VDM-OPTION-Public_Opinion-GT0.4-Diplomatic_Negotiation,임계값에서 실제 행동 선택 / 외교 협상 가능·금지,국가별 상태에 대응한 지정 국가 행동,Propose Negotiated Withdrawal,yes,"{""Tension"": ""1"", ""Diplomatic_Support"": "".48"", ""Public_Opinion"": "".48""}",null,null,원문 보고 상태 사용; state_stage의 시점·범위 한계 참조,US_explicit_previous_plus_explicit_incoming_Defense_Prep; Soviet_reported_starting_state,"{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",판정 불가,rule_ambiguous,미국의 쿠바 불가침 보장에 대한 철수 교섭이다. 동시에 Disabled와 Enabled/Encouraged가 발생하지만 원 VDM은 변수 간 우선순위를 지정하지 않았다. 임의 우선순위를 소급해 위반 또는 준수로 확정하지 않는다.,"US: Tension: 0.90, Diplomatic_Support: 0.45, Public_Opinion: 0.45 | USSR Action: Propose a Negotiated Withdrawal.","$.decision_options.Tension["">=0.8""].Diplomatic_Negotiation;$.decision_options.Diplomatic_Support[""<=0.5""].Diplomatic_Negotiation;$.decision_options.Public_Opinion["">0.4""].Diplomatic_Negotiation","{""Tension"": ""Disabled"", ""Diplomatic_Support"": ""Disabled"", ""Public_Opinion"": ""Strongly Encouraged""}",true,true,AI 행동 의미 대조(인간 미확인) + 독립 Python 임계 비교,true,"지정된 실제 조합의 협상 금지·허용 집행만 판정. 군사 Limited/Aggressive의 미정 행위 집합, 후보만 고려한 행동, 다른 모든 통제조건 준수는 별도.",보존 Root 입력이 당시 사용되었다는 조건부 대조; 첨부 바이트 동일성 미확정
