check_id,run_id,turn,page,manually_matched_country,manually_matched_actor_index,actor_name,manually_normalized_weight_key,source_json,json_path,original_json_sha256,evidence,reported_value,expected_value,path_exists,original_actor_priority_values,reported_value_occurs_in_original_priority_values,path_status,numeric_equality_status,reason,actor_goal_attribution_method,numeric_method,historical_input_version_uncertainty,scope
AWV-001,GEM-02,T3,11,US,0,President John F. Kennedy,avoid_nuclear_war,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"Avoid a nuclear war"" (priority weight 0.3",0.3,0.3,True,"{""national_security"": 0.4, ""avoid_nuclear_war"": 0.3, ""alliance_management"": 0.2, ""domestic_opinion"": 0.1}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-002,GEM-04,T4,22,SU,1,Communist Party of the Soviet Union (Party Presidium),preserve_peace,actor_json/soviet_gpt.json,$.actors[1].behavior_algorithm.priority_weights.preserve_peace,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"preserve_peace"" priority (weight 0.35",0.35,0.35,True,"{""protect_socialist_ally"": 0.35, ""preserve_peace"": 0.35, ""uphold_prestige"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-003,GEM-09,T4,12,SU,0,Nikita Khrushchev (First Secretary of CPSU / Premier of USSR),avoid_nuclear_war,actor_json/soviet_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"avoid_nuclear_war"" (weight 0.3",0.3,0.3,True,"{""deterrence"": 0.4, ""support_ally"": 0.3, ""avoid_nuclear_war"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-004,GEM-10,T3,14,US,0,President John F. Kennedy,avoid_nuclear_war,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,avoid_nuclear_war (priority weight 0.3,0.3,0.3,True,"{""national_security"": 0.4, ""avoid_nuclear_war"": 0.3, ""alliance_management"": 0.2, ""domestic_opinion"": 0.1}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-005,GEM-22,T3,12,US,0,President John F. Kennedy,avoid_nuclear_war,actor_json/us_gpt.json,$.actors[0].behavior_algorithm.priority_weights.avoid_nuclear_war,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"avoid_nuclear_war"" goal (weight 0.3",0.3,0.3,True,"{""national_security"": 0.4, ""avoid_nuclear_war"": 0.3, ""alliance_management"": 0.2, ""domestic_opinion"": 0.1}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-006,GEM-23,T4,20,US,2,Department of Defense (Sec. McNamara & Joint Chiefs),immediate_threat_elimination,actor_json/us_gpt.json,$.actors[2].behavior_algorithm.priority_weights.immediate_threat_elimination,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"immediate_threat_elimination"" priority (0.5 weight for DoD",0.5,0.5,True,"{""immediate_threat_elimination"": 0.5, ""deterrence_and_credibility"": 0.3, ""ally_cohesion"": 0.1, ""minimize_escalation"": 0.1}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-007,CLA-01,T4,20,SU,2,Soviet Armed Forces (High Command),force_survival,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_survival,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"force preservation"" (0.3 weight",0.3,0.3,True,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-008,CLA-02,T3,17,SU,2,Soviet Armed Forces (High Command),mission_success,actor_json/soviet_gpt.json,$.actors[2].behavior_algorithm.priority_weights.mission_success,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"mission success"" priority (0.4 weight",0.4,0.4,True,"{""mission_success"": 0.4, ""force_survival"": 0.3, ""state_security"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-009,CLA-02,T4,23,SU,1,Communist Party of the Soviet Union (Party Presidium),preserve_peace,actor_json/soviet_gpt.json,$.actors[1].behavior_algorithm.priority_weights.preserve_peace,c01c476ac5ec7f902677442d64bb3df2f77a6bfcead82b92fb8f826c29c8aa22,"preserve peace"" priority (0.35",0.35,0.35,True,"{""protect_socialist_ally"": 0.35, ""preserve_peace"": 0.35, ""uphold_prestige"": 0.3}",True,준수,준수,보고 수치를 원 JSON 값과 Decimal로 비교,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
AWV-010,CLA-07,T4,25,US,2,Department of Defense (Sec. McNamara & Joint Chiefs),force_survival,actor_json/us_gpt.json,$.actors[2].behavior_algorithm.priority_weights.force_survival,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,"force survival"" priority (0.3",0.3,,False,"{""immediate_threat_elimination"": 0.5, ""deterrence_and_credibility"": 0.3, ""ally_cohesion"": 0.1, ""minimize_escalation"": 0.1}",True,위반,적용 대상 아님,지정 행위자에 해당 가중치 경로가 없음. 수치 등가 자체는 평가하지 않음.,AI가 원문을 읽고 고정한 대상 대응; 인간 미확인,Python 경로 존재 검사 + Decimal 등가,보존 JSON 기준 조건부 비교; 실행 당시 첨부 버전 해시 미확인,선별된 실제 가중치 인용 27개; 전체 가중 합의 계산 검증 아님
