check_id,run_id,page,variable,explicit_event_terms,other_explicit_delta,reported,recalculated,status,unit,method
GEM05-T4-WAR-ACTION-T,GEM-05,14,Tension,Strike+Strike,0,.15,0.30,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately"
GEM05-T4-WAR-TOTAL-T,GEM-05,14,Tension,Strike+Strike,0.05,.20,0.35,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately"
GEM08-T4-INTERNAL-DISPUTE-IMPLIED,GEM-08,21,Leadership_Unity,,,-.10 net,-0.15,판정 불가,diagnostic implied extra effect,Python Decimal; -.15 is required to obtain the report but is NOT an imputed original effect or scored compliant effect.
GEM-02-T3-S2-LU-CLAMP,GEM-02,13,Leadership_Unity,,,0.0,0.10,위반,explicit pre-clamp value,"Python Decimal max(0,min(1,value)); source value .10"
GEM-15-T2-MAIN-T-SUM,GEM-15,8,Tension,Strong_Leadership+Diplomatic_Success,0,0.00,-0.10,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately"
GEM-15-T3-MAIN-T-CLAMP,GEM-15,11,Tension,,,1.00,0.85,위반,explicit pre-clamp value,"Python Decimal max(0,min(1,value)); source value .85"
GEM-15-T3-ALTA-T-CLAMP,GEM-15,12,Tension,,,1.00,0.90,위반,explicit pre-clamp value,"Python Decimal max(0,min(1,value)); source value .90"
GEM-25-T1-US-INTRODUCED-FORMULA,GEM-25,4,Leadership_Unity,,,.9,0.90,준수,reported-formula internal arithmetic only,Python Decimal Old+(1-Old)*factor. INTRODUCED FORMULA: original-rule compliance separately V; exclude from core rule-compliance score.
GEM-25-T1-SU-INTRODUCED-FORMULA,GEM-25,4,Leadership_Unity,,,.825,0.825,준수,reported-formula internal arithmetic only,Python Decimal Old+(1-Old)*factor. INTRODUCED FORMULA: original-rule compliance separately V; exclude from core rule-compliance score.
GEM-29-T3-US-DS-SUM,GEM-29,14,Diplomatic_Support,Strike+Diplomatic_Success,0,0,0.05,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately"
GEM-29-T4-SU-SIMPLIFY-Tension,GEM-29,18,Tension,Civil_Unrest+Strong_Leadership+Civil_Unrest,0,-.10,0.05,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately; DIAGNOSTIC ONLY: includes source-reported introduced penalty; does not certify that penalty as an original rule."
GEM-29-T4-SU-SIMPLIFY-Diplomatic_Support,GEM-29,18,Diplomatic_Support,Civil_Unrest+Strong_Leadership+Civil_Unrest,0,0,-0.05,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately; DIAGNOSTIC ONLY: includes source-reported introduced penalty; does not certify that penalty as an original rule."
GEM-29-T4-SU-SIMPLIFY-Public_Opinion,GEM-29,18,Public_Opinion,Civil_Unrest+Strong_Leadership+Civil_Unrest,0,-.10,-0.10,준수,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately; DIAGNOSTIC ONLY: includes source-reported introduced penalty; does not certify that penalty as an original rule."
GEM-29-T4-SU-SIMPLIFY-Leadership_Unity,GEM-29,18,Leadership_Unity,Civil_Unrest+Strong_Leadership+Civil_Unrest,-0.15,-.20,-0.25,위반,explicit event-set variable sum,"Python Decimal, preserved VDM constants; event-set meaning reviewed separately; DIAGNOSTIC ONLY: includes source-reported introduced penalty; does not certify that penalty as an original rule."
