run_id,local_eight_all_C,eleven_all_C,interpretation
CLA-01,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-02,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-03,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-04,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-05,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-06,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-07,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-08,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-09,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-10,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-11,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-12,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-13,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-14,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-15,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-16,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-17,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-18,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-19,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-20,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-21,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-22,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-23,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-24,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-25,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-26,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-27,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-28,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-29,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
CLA-30,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-01,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-02,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-03,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-04,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-05,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-06,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-07,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-08,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-09,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-10,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-11,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-12,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-13,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-14,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-15,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-16,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-17,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-18,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-19,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-20,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-21,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-22,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-23,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-24,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-25,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-26,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-27,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-28,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-29,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GEM-30,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-01,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-02,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-03,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-04,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-05,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-06,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-07,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-08,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-09,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-10,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-11,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-12,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-13,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-14,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-15,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-16,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-17,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-18,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-19,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-20,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-21,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-22,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-23,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-24,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-25,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-26,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-27,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-28,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-29,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
GPT-30,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-01,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-02,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-03,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-04,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-05,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-06,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-07,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-08,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-09,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-10,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-11,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-12,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-13,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-14,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-15,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-16,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-17,True,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-18,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-19,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-20,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
PER-21,False,False,Defined subcontrols only; no complete-path certification; no outcome recoding used.
