check_id,run_id,source_file,source_sha256,page,page_end,turn,branch,unit,requirement_id,domain,rule_file,rule_path,rule_type,status,reported_value,recalculated_value,evidence_quote,judgment_basis,method,review_completed,limitation_category,human_review_required,source_anchor_pass,input_version_caveat
CLA-06-ES-001-MAP,CLA-06,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec,6,6,T1,"saturate: ; --tw-sepia: ; --tw-drop-shadow: ; --tw-backdrop-blur: ; --tw-backdrop-brightness: ; --tw-backdrop-contrast: ; --tw-backdrop-grayscale: ; --tw-backdrop-hue-rotate: ; --tw-backdrop-invert: ; --tw-backdrop-opacity: ; --tw-backdrop-saturate: ; --tw-backdrop-sepia: ; --tw-contain-size: ; --tw-contain-layout: ; --tw-contain-paint: ; --tw-contain-style: ; outline-color: hsl(var(--accent-secondary-100)); scrollbar-width: thin; scrollbar-color: hsla(var(--border-300)/35%) transparent; display: grid; grid-template-columns:
repeat(1, minmax(0px, 1fr)); gap: 0.625rem;""> RESULT LOGS FOR TURN 1 ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,US:military_alert;SU:military_alert,조건부 규칙,판정 불가,US:military_alert;SU:military_alert,,[RESULT LOG - Most Plausible Path] Scenario Combination Name: Most Plausible Path Selected Actors & Actions: • United States: Naval Quarantine/Blockade • Soviet Union: Pause Deployment and Negotiate Predicted Variable Changes: Based on the effect_rules in the JSON files and Variable-Decision Matrix: United States: • tension: +0.3 (military_alert effect from quarantine preparation) • diplomatic_support: No direct effect rule applies • public_opinion: No direct effect rule applies • leadership_unity: +0.8 (military_alert effect) Soviet Union: • tension: +0.45 (military_alert effect from elevated readiness) • diplomatic_support: No direct effect rule applies • public_opinion: No direct effect rule applies • leadership_unity: +0.65 (military_alert effect) Generated Triggers: • Soviet ships approaching quarantine line • UN Security Council emergency session convened [,미국 검역의 군사 경계는 관찰되지만 소련 행동은 배치 중단·교섭이며 elevated readiness 효과의 별도 실제 행동이 분명하지 않다.,"AI direct source interpretation, frozen annotation",True,partial_mapping_uncertain,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-06-ES-002-MAP,CLA-06,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec,6,7,T1,"ine line • UN Security Council emergency session convened [RECONFIRM VARIABLE STATUS - Most Plausible Path] Starting from baseline 0.5 for all variables: United States: • tension: 0.8 (0.5 + 0.3) • diplomatic_support: 0.5 (unchanged) • military_posture: Elevated (quarantine forces deployed) • public_opinion: 0.5 (unchanged) • leadership_unity: 1.0 (0.5 + 0.8, clamped to max 1.0) Soviet Union: • tension: 0.95 (0.5 + 0.45) • diplomatic_support: 0.5 (unchanged) • military_posture: Alert (forces on standby) • public_opinion: 0.5 (unchanged) • leadership_unity: 1.0 (0.5 + 0.65, clamped to max 1.0) ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Strike;SU:military_alert,조건부 규칙,준수,Strike;SU:military_alert,,"[RESULT LOG - Hardline Response Path] Scenario Combination Name: Hardline Response Path Selected Actors & Actions:
• United States: Immediate Air Strikes on Missile Sites • Soviet Union: Military Alert and Deterrent Posture Predicted Variable Changes: Based on the Variable-Decision Matrix ""Strike"" event: United States: • tension: +0.15 (Strike event) • diplomatic_support: -0.05 (Strike event) • public_opinion: -0.05 (Strike event) • leadership_unity: -0.10 (Strike event) Soviet Union: • tension: +0.45 (military_alert effect) • diplomatic_support: No direct effect rule applies • public_opinion: No direct effect rule applies • leadership_unity: +0.65 (military_alert effect) Generated Triggers: • Soviet tactical nuclear authorization considered • NATO Article 5 consultations initiated [",즉각 미국 공습과 소련 군사 경계라는 서로 다른 행동 단계에 각각 공격/경계 효과를 연결한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-06-ES-003-MAP,CLA-06,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec,7,8,T1,"oviet tactical nuclear authorization considered • NATO Article 5 consultations initiated [RECONFIRM VARIABLE STATUS - Hardline Response Path] Starting from baseline 0.5 for all variables: United States: • tension: 0.65 (0.5 + 0.15) • diplomatic_support: 0.45 (0.5 - 0.05) • military_posture: Offensive (strike executed) • public_opinion: 0.45 (0.5 - 0.05) • leadership_unity: 0.40 (0.5 - 0.10) Soviet Union: • tension: 0.95 (0.5 + 0.45) • diplomatic_support: 0.5 (unchanged) • military_posture: Maximum Alert • public_opinion: 0.5 (unchanged) • leadership_unity: 1.0 (0.5 + 0.65, clamped to max 1.0) ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,SU:covert_detection,조건부 규칙,판정 불가,SU:covert_detection,,"[RESULT LOG - Diplomatic Delay Path] Scenario Combination Name: Diplomatic Delay Path Selected Actors & Actions: • United States: Diplomatic Negotiation with UN Involvement • Soviet Union: Complete Missile Deployment While Denying Predicted Variable Changes: United States: • No direct effect rules apply for pure diplomatic initiative Soviet Union:
• tension: +0.45 (covert_detection effect when deployment discovered) • diplomatic_support: +0.6 (covert_detection effect - diplomatic room) • public_opinion: No direct effect rule applies • leadership_unity: No direct effect rule applies Generated Triggers: • Soviet missiles become operational • U.S. domestic political backlash for perceived weakness [",소련 계속 배치의 발견은 연결되지만 미국 UN 교섭의 직접 효과가 없다고 기록한다. 제안만으로 성공 효과를 강제하지 않는다. DS 전용은 별도 위반이다.,"AI direct source interpretation, frozen annotation",True,partial_mapping_uncertain,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-001-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,6,6,T1,"backdrop-contrast: ; --tw-backdrop-grayscale: ; --tw-backdrop-hue-rotate: ; --tw-backdrop-invert: ; --tw-backdrop-opacity: ; --tw-backdrop-saturate: ; --tw-backdrop-sepia: ; --tw-contain-size: ; --tw-contain-layout: ; --tw-contain-paint: ; --tw-contain-style: ; outline-color: hsl(var(--accent-secondary-100)); scrollbar-width: thin; scrollbar-color:
hsla(var(--border-300)/35%) transparent; display: grid; grid-template-columns: repeat(1, minmax(0px, 1fr)); gap: 0.625rem;""> Based on the JSON files and Variable-Decision Matrix, I'll calculate the predicted outcomes for each strategic combination. ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,US:military_alert;SU:military_alert,조건부 규칙,준수,US:military_alert;SU:military_alert,,"RESULT LOG - Scenario 1: ""Controlled Escalation Path"" United States • Selected Action: Naval Quarantine/Blockade • Predicted Variable Change: • tension +0.30 (military_alert effect from US effect_rules) • leadership_unity +0.80 (military_alert effect from US effect_rules) • diplomatic_support: No direct effect in US rules for military_alert • public_opinion: No direct effect in US rules for military_alert Generated Triggers: • Soviet ships approaching quarantine line • International diplomatic pressure increases Soviet Union • Selected Action: Military Alert Elevation • Predicted Variable Change: • tension +0.45 (military_alert effect from Soviet effect_rules) • leadership_unity +0.65 (military_alert effect from Soviet effect_rules) • diplomatic_support: No direct effect in Soviet rules for military_alert • public_opinion: No direct effect in Soviet rules for military_alert ",양국 검역/경계 상승이라는 실제 행동에 국가별 군사 경계를 연결한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-002-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,6,7,T1,"edicted Variable Change: • tension +0.45 (military_alert effect from Soviet effect_rules) • leadership_unity +0.65 (military_alert effect from Soviet effect_rules) • diplomatic_support: No direct effect in Soviet rules for military_alert • public_opinion: No direct effect in Soviet rules for military_alert RECONFIRM VARIABLE STATUS - Scenario 1 • tension: 0.75 (baseline 0 + US 0.30 + Soviet 0.45) • diplomatic_support: 0.50 (baseline, no changes) • military_posture: Elevated Alert Status • public_opinion: 0.50 (baseline, no changes) • leadership_unity: 0.73 (average of US 0.80 and Soviet 0.65) ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Diplomatic_Success,조건부 규칙,준수,Diplomatic_Success,,"RESULT LOG - Scenario 2: ""Diplomatic Resolution Path"" United States • Selected Action: Diplomatic Freeze Initiative • Predicted Variable Change:
• Based on Variable-Decision Matrix ""Diplomatic_Success"" event: • tension -0.05 • diplomatic_support +0.10 • public_opinion +0.05 • leadership_unity +0.05 Soviet Union • Selected Action: Secret Diplomatic Outreach • Predicted Variable Change: • Based on Variable-Decision Matrix ""Diplomatic_Success"" event: • tension -0.05 • diplomatic_support +0.10 • public_opinion +0.05 • leadership_unity +0.05 ",미국 동결 협의와 소련 비밀 접촉이 상호 외교 경로를 형성한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-003-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,7,8,T1,"atic_support +0.10 • public_opinion +0.05 • leadership_unity +0.05 Soviet Union • Selected Action: Secret Diplomatic Outreach • Predicted Variable Change: • Based on Variable-Decision Matrix ""Diplomatic_Success"" event: • tension -0.05 • diplomatic_support +0.10 • public_opinion +0.05 • leadership_unity +0.05 RECONFIRM VARIABLE STATUS - Scenario 2 • tension: 0.40 (baseline 0.50 - 0.05 - 0.05) • diplomatic_support: 0.70 (baseline 0.50 + 0.10 + 0.10) • military_posture: Defensive Readiness • public_opinion: 0.60 (baseline 0.50 + 0.05 + 0.05) • leadership_unity: 0.60 (baseline 0.50 + 0.05 + 0.05) ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Strike;$.event_driven_adjustments.Defense_Prep,조건부 규칙,준수,Strike;Defense_Prep,,"RESULT LOG - Scenario 3: ""Maximum Escalation Path"" United States • Selected Action: Immediate Air Strikes • Predicted Variable Change: • Based on Variable-Decision Matrix ""Strike"" event: • tension +0.15 • diplomatic_support -0.05 • public_opinion -0.05 • leadership_unity -0.10 Soviet Union • Selected Action: Accelerate Missile Deployment • Predicted Variable Change: • Based on Variable-Decision Matrix ""Defense_Prep"" event: • tension +0.05 • diplomatic_support -0.02 • public_opinion -0.02
• leadership_unity -0.05 ",실제 공습과 소련 배치 가속을 공격/준비로 구분해 연결한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-004-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,11,12,T2,"gh tension (0.75) but unity still strong (0.73). • Next Event Triggers: • Inevitable: U.S. reconnaissance detection • Potential: U.S. military strike consideration • Potential: Soviet announcement of operational missiles Most Plausible Combinations for Scenario 1 1. Primary Path: U.S. Maintain Blockade + Soviet Order Ships to Stop • Logic: Both sides demonstrating restraint while maintaining positions. Allows face-saving for both. 2. Alternative Path: U.S. Secret Diplomatic Offer + Soviet Test with Non-Military Ship • Logic: Dual-track approach - public confrontation with private negotiation.
",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Diplomatic_Success,조건부 규칙,판정 불가,Diplomatic_Success,,"RESULT LOG - Scenario 1 Primary Path • US Action: Maintain Blockade with Selective Enforcement • Soviet Action: Order All Ships to Stop/Return • Variable Changes: • Based on ""Diplomatic_Success"" (partial): tension -0.05, diplomatic_support +0.10, public_opinion +0.05, leadership_unity +0.05 New Variable Status: • tension: 0.70 • diplomatic_support: 0.60 • public_opinion: 0.55 • leadership_unity: 0.78 Triggers: Diplomatic negotiation remains enabled; military options limited",미국 선별 검역과 소련 함정 정지/귀환이라는 절제 행동은 관찰되지만 별도 협의·합의 없이 부분 외교 성공이 성립하는 경계는 원 규칙에 정의되지 않았다.,"AI direct source interpretation, frozen annotation",True,rule_ambiguous,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-005-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,12,14,T2,"lly,"" offering limited concession preserves core interests. • Next Event Triggers: • Inevitable: U.S. response to partial measure • Potential: Cuban objection to withdrawal • Potential: Soviet military resistance Most Plausible Combinations for Scenario 2 1. Primary Path: U.S. Public Proposal for Missile-Free Zone + Soviet Propose Mutual Security Guarantee • Logic: Both sides moving toward comprehensive settlement with high diplomatic support. 2. Alternative Path: U.S. Invite UN Inspection + Soviet Announce Defensive Nature • Logic: International verification approach addressing trust issues. ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Diplomatic_Success,조건부 규칙,준수,Diplomatic_Success,,"RESULT LOG - Scenario 2 Primary Path • US Action: Public Proposal for Missile-Free Zone • Soviet Action: Propose Mutual Security Guarantee • Variable Changes:
• ""Diplomatic_Success"": tension -0.05, diplomatic_support +0.10, public_opinion +0.05, leadership_unity +0.05 New Variable Status: • tension: 0.35 • diplomatic_support: 0.80 • public_opinion: 0.65 • leadership_unity: 0.65 Triggers: Enhanced diplomatic options; military restrictions strengthened",미국 비핵지대 제안과 소련 상호 보장의 상응 제안으로 외교 진전을 관찰한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-006-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,14,17,T2,"tionale: Despite low variables, Khrushchev's personal preference for ""backchannel and personal diplomacy"" as last resort. • Next Event Triggers: • Inevitable: U.S. decision on summit • Potential: Military coup attempt • Potential: Time pressure conflicts Most Plausible Combinations for Scenario 3 1. Primary Path: U.S. Ultimatum + Soviet Strategic Forces Maximum Alert • Logic: Both sides' military pressures dominating due to leadership crises. 2. Alternative Path: U.S. Limited Air Strike + Soviet Tactical Nuclear Authorization • Logic: Worst-case escalation with both choosing military options. ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Defense_Prep,조건부 규칙,준수,Defense_Prep,,"RESULT LOG - Scenario 3 Primary Path • US Action: Ultimatum with 24-Hour Deadline • Soviet Action: Strategic Forces Maximum Alert • Variable Changes: • Combined ""Defense_Prep"" effects: tension +0.05, diplomatic_support -0.02, public_opinion -0.02, leadership_unity -0.05 New Variable Status: • tension: 0.75 • diplomatic_support: 0.41 • public_opinion: 0.41 • leadership_unity: 0.30 Triggers: Tension approaching 0.8 threshold; Leadership unity critical - ""Emergency Response Required""",미국 최후통첩과 소련 전략군 최고 경계의 공동 경로에 군사 준비를 적용한다. 소련 실제 경계가 있어 최후통첩만으로 대비를 추정한 사례와 구분한다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
CLA-09-ES-007-MAP,CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,17,19,T3,"0.4 priority weight) and showing resolve after successful defense action against reconnaissance. • Next Event Triggers: • Inevitable: U.S. strike planning acceleration • Potential: Nuclear alert escalation • Potential: International panic Most Plausible Combinations for Scenario 1 1. Primary Path: U.S. Absorb Loss + Soviet Private Message • Logic: Both leaders choosing restraint despite pressure, maintaining control over escalation. 2. Alternative Path: U.S. Limited Retaliatory Strike + Soviet Deny Responsibility • Logic: Measured military response with diplomatic cover, keeping options open. ",distinct supplemental action/event block or explicit branch facet,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json; actor JSON when indicated,$.event_driven_adjustments.Diplomatic_Success,조건부 규칙,준수,Diplomatic_Success,,"RESULT LOG - Scenario 1 Primary Path • US Action: Absorb Loss, Accelerate Diplomatic Timeline • Soviet Action: Private Message Expressing Regret • Variable Changes: • Diplomatic approach during crisis: ""Diplomatic_Success"" partial: tension -0.05, diplomatic_support +0.10, public_opinion +0.05, leadership_unity +0.05 • However, U.S. absorbing military loss: public_opinion additional -0.05, leadership_unity -0.05 New Variable Status: • tension: 0.65 • diplomatic_support: 0.70 • public_opinion: 0.55 • leadership_unity: 0.78
Triggers: Diplomatic negotiation strongly encouraged; internal pressure building",미국 외교 일정 가속과 소련 유감 메시지가 실제 상호 외교 진전으로 연결된다. 추가 손실 벌점은 별도 원 규칙 위반이다.,"AI direct source interpretation, frozen annotation",True,,True,True,Preserved inputs conditional audit; execution-time byte binding unconfirmed
