check_id,run_id,turn,branch,actor,metric,unit,source_file,page,reviewed_pages,action,requirement_id,rule_quote,rule_locator,status,evidence,reason,unknown_reason,review_completed,human_review_required,assessment_class,record_scope,input_binding_uncertainty,reported_value,recomputed_value
AL-00001,CLA-01,T2,Balanced;Time Pressure;Maximum Danger,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,9,8;9;10;11;12,격리·외교/봉쇄강화; 공습준비·비밀접촉; 제한공습·최종시한.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Maintain Quarantine with Diplomatic Opening,군부의 제거 압박과 대통령 외교 선택이 서로 다른 대안이며 마지막 경로는 실제 시한으로 전쟁 회피를 선택한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00002,CLA-01,T2,Balanced;Time Pressure;Maximum Danger,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,11,8;9;10;11;12,협상·경계시험/조건부이행; 최고경계·긴급타결; 현장핵승인·철수발표.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Authorize Local Tactical Nuclear Use,위험 감수의 해상 탐색과 조건부 이행·철수라는 다른 수단을 생성했다. 현장 핵 사용 대안은 승인 형태다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00003,CLA-01,T3,Balanced;Time Pressure;Maximum Danger,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,15,13;14;15;16;17;18,SAM보복·격추감수·공습준비; 즉각공습·대통령억제명령; 공습·시한.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Presidential Override for Restraint,대통령은 군부와 반대로 절제하는 실제 대안을 남기며 주경로는 격추를 감수해 타결한다. 다른 경로의 정치 통제 이탈 위반은 별도다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00004,CLA-01,T3,Balanced;Time Pressure;Maximum Danger,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,16,13;14;15;16;17;18,책임부인·유감협상; 핵시위·최대양보; 핵승인·즉각철수.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Maximum Concessions to Prevent War,전략균형을 지키는 군사 경계와 생존을 위한 양보·철수가 공존한다. 정치 통제 없이 핵시위를 실행하는 조합은 별도 위반이다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00005,CLA-01,T3,Time Pressure,US-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,16,13;14;15;16;17;18,Both military establishments operating beyond political control,US-A03-CONSTRAINT01,"Subordination to civilian command – the military cannot act without Presidential authorization. No matter how strongly the Joint Chiefs recommend an attack, they are bound by Kennedy’s decision to try the blockade first and must plan contingencies under his directives.",$.actors[2].constraints[0],위반,Both military establishments operating beyond political control,즉각 공습+핵시위 조합의 실행 논리가 정치 통제를 벗어난 양군의 작동이라고 명시한다. 단순 군부 권고나 위험 가능성이 아니다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00006,CLA-01,T3,Time Pressure,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,16,13;14;15;16;17;18,Both military establishments operating beyond political control,SU-A03-CONSTRAINT02,Strict civilian control – must await political directives (cannot act independently to initiate hostilities):contentReference[oaicite:35]{index=35},$.actors[2].constraints[1],위반,Both military establishments operating beyond political control,전술핵시위의 선택 조합에서 정치 통제 밖의 실제 실행을 명시한다. 승인 필요 문구를 인용했으나 실제 행동 근거는 이를 충족하지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00007,CLA-01,T4,Balanced;Time Pressure;Maximum Danger,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,21,19;20;21;22;23,비밀통신·상호완화·압박; 비상정지·군지휘위임; 준비·비공식직접타결.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],판정 불가,Delegate to Military Command,두 해결 경로는 비밀 교섭과 준비 병행이며 군 지휘 위임도 대통령이 선택하는 것으로 구체화한다. 전체 위임·붕괴 절차의 원 규칙 관계는 U다.,rule_ambiguous,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00008,CLA-01,T4,Balanced;Time Pressure;Maximum Danger,SU 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,20,19;20;21;22;23,협상·취약부대철수; 정지명령·핵경계; 종합철수안·전략최고경계.,SU-A01-STANCE;SU-A01-RISK_TOLERANCE;SU-A01-GOAL01;SU-A01-GOAL02;SU-A01-GOAL03,"Covertly offensive deterrence strategy (intimidate US to protect Cuba without provoking outright war):contentReference[oaicite:0]{index=0} | High (willing to take significant risks like secret missile deployment, though hoping to avoid nuclear war):contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5} | Deter U.S. invasion of Cuba and safeguard the Castro regime:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10} | Redress strategic imbalance with the U.S. by forward-deploying nuclear missiles (gain leverage and prestige):contentReference[oaicite:11]{index=11}:contentReference[oaicite:12]{index=12} | Maintain Soviet credibility as leader of the socialist camp by standing firm in the Western Hemisphere:contentReference[oaicite:13]{index=13}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],판정 불가,Tactical Withdrawal of Vulnerable Assets,취약 부대 철수로 전력 보존을 구현한다. 낮은 unity가 군부의 반독립 지위를 만든다는 설명은 원 민간 통제와 우선관계가 불명이다.,rule_ambiguous,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00009,CLA-01,T4,Balanced,SU-A03,명시 행위자 규칙 적용,explicit actor-rule observation,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,20,19;20;21;22;23,pulling back exposed units while maintaining deterrent,SU-A03-WEIGHT-force_survival,0.3,$.actors[2].behavior_algorithm.priority_weights.force_survival,준수,pulling back exposed units while maintaining deterrent,원 force_survival .3 가중 목표를 취약 부대 철수·억제 유지 대안의 이유로 적용했다. 수치 합의 연산은 검증하지 않는다.,,True,True,AI 원문 의미 대조(인간 미확인),명시된 해당 행동·권한 전건에 한정,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
AL-00010,CLA-02,T2,Primary;Military;Diplomatic,US 국가 행동군,행동군 목표·성향 대응,run-turn-country preserved action set,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,11,9;10;11;12;13;14;15,선별격리·완전봉쇄·공개설명; 추가공습·침공준비·피해평가; UN검증·터키교환·조건부중지.,US-A01-STANCE;US-A01-RISK_TOLERANCE;US-A01-GOAL01;US-A01-GOAL02;US-A01-GOAL03,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war. | medium | Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4} | Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict) | Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",$.actors[0].stance | $.actors[0].risk_tolerance | $.actors[0].goals[0] | $.actors[0].goals[1] | $.actors[0].goals[2],준수,Pause for Damage Assessment,군사 경로에서도 피해평가 정지를 주요 선택으로 두어 전쟁 회피와 확실한 제거를 절충한다.,,True,True,AI 원문 의미 대조(인간 미확인),나열된 분기의 모든 보존 행동대안·주요 선택에 대한 국가 목표·성향 대응. 기관별 권한·정보·가중치 집행 전체를 뜻하지 않음.,보존 공통 JSON 기준 조건부 대조. 실행별 실제 첨부 버전은 별도 결합 검증 범위.,,
