execution_id,system,status,reasoning,selection_evidence,terminal_evidence,limitations
GPT-4o-14,GPT-4o,withheld,"Main-branch linkage is clear, but the ending describes synchronized de-escalation and stabilization without establishing whether a de-escalation agreement was completed or confrontation remained unresolved. Withhold at the diplomatic-resolution/stalemate boundary rather than equating renewed diplomacy with settlement.","[{""page"": 19, ""excerpt"": ""Most Plausible Sub-Combination (1-A)""}, {""page"": 19, ""excerpt"": ""Private De-escalation Offer + Conditional Stand Down""}, {""page"": 27, ""excerpt"": ""Kennedy paused further escalation""}]","[{""page"": 27, ""excerpt"": ""a fragile but real stabilization of the crisis""}, {""page"": 27, ""excerpt"": ""the system re-entered a domain where diplomacy was again possible""}, {""page"": 28, ""excerpt"": ""Crisis stabilized just short of war; diplomacy regained ground.""}]",The record supports the reported vector and restraint; it does not unambiguously establish one final outcome under the stricter codebook.
GPT-4o-25,GPT-4o,withheld,"The narrative ending supports stalemate if it is the main branch, but it is not explicitly main-labelled. Alternative 1 shares naval quarantine, subsequent logs give the same generic actions to all branches, and the narrative's denial/continued deployment also fits Alternative 1. Report order alone cannot establish Top-1 linkage.","[{""page"": 4, ""excerpt"": ""[Most Plausible Combination]: A1. U.S. Naval Quarantine + S2. Soviet Strategic Ambiguity & Backchannel Negotiation""}]","[{""page"": 18, ""excerpt"": ""Full-scale war was narrowly avoided, but the crisis crystallized into a state of continuous brinkmanship.""}, {""page"": 19, ""excerpt"": ""War was averted; political and military tension remained entrenched""}]","The common vector belongs to the explicitly labelled main log, but linkage between that log and the final narrative is withheld. No forced narrative label assignment."
Gemini_2.5_Flash-16,Gemini 2.5 Flash,withheld,"Preferred lineage is clear. After actual retaliation, the final record reports conflict cessation and a withdrawal offer/decision, but does not establish implemented withdrawal, accepted settlement, or sustained unresolved confrontation. A unique terminal category among diplomatic resolution, post-conflict standoff and contained conflict cannot be assigned safely.","[{""page"": 3, ""excerpt"": ""Combination 1: Most Plausible Path""}, {""page"": 13, ""excerpt"": ""The \""Most Plausible Combination\"" is chosen, where the U.S. retaliates for the attack""}, {""page"": 16, ""excerpt"": ""Scenario Combination Name: From Brink of War to De-escalation""}]","[{""page"": 19, ""excerpt"": ""broadcast a unilateral offer to withdraw the missiles. The immediate military conflict ceased, and the de-escalation began.""}, {""page"": 20, ""excerpt"": ""a final Soviet decision to unilaterally withdraw""}]",Narrative ends during the transition into de-escalation; no missing final implementation is reconstructed.
Gemini_2.5_Flash-25,Gemini 2.5 Flash,withheld,"The primary final emergency-stand-down log is linked to the same narrative actions, but the ending explicitly combines an achieved mutual de-escalation agreement with a declared continuing stalemate. No missile-resolution details settle this conflict under the five-category codebook, so the outcome is withheld.","[{""page"": 16, ""excerpt"": ""Scenario 1: Most Plausible Path - Result Log""}, {""page"": 16, ""excerpt"": ""Open Emergency Communication Channel and Demand Soviet Stand-Down""}, {""page"": 16, ""excerpt"": ""Leadership Bypasses Military Command to Order a General Stand-Down""}]","[{""page"": 21, ""excerpt"": ""a mutual stand-down was agreed upon.""}, {""page"": 21, ""excerpt"": ""The scenario concludes not in victory for either side, but in a tense, terrified stalemate.""}]","[""Separate actor terminal vectors are directly printed; no common vector is derived. The numerical record does not resolve the contradictory terminal descriptions."", ""Source-linked classification does not certify arithmetic, event chronology, historical validity, or rule compliance.""]"
Gemini_2.5_Flash-28,Gemini 2.5 Flash,withheld,"The explicitly primary monitored-withdrawal/compliance path continues into the matching narrative, but its ending combines achieved missile removal and a tense peace with descriptions of severe Soviet political collapse. The codebook supplies no precedence between diplomatic resolution and internal collapse. Moreover, the preceding account places the government on the verge of a coup, while the ending does not clearly establish government replacement or cessation of governmental functions; the extent of actual collapse remains ambiguous. These coexisting terminal descriptions do not support a unique category, so the outcome is withheld without introducing a new category hierarchy.","[{""page"": 13, ""excerpt"": ""Result Log: Combination 1 (Most Plausible Path)""}, {""page"": 13, ""excerpt"": ""De-escalation Under Duress: Monitored Withdrawal vs. Compliance""}]","[{""page"": 18, ""excerpt"": ""Diplomatically, the United States achieved its primary objective: the removal of the missiles.""}, {""page"": 18, ""excerpt"": ""their internal political structure had completely unraveled.""}, {""page"": 19, ""excerpt"": ""The Soviet Union suffered a severe political collapse, altering the global balance of power.""}]","[""Actor-specific final reconfirmations only; severe internal conflict in the state record cannot resolve whether the narrative describes actual governmental collapse or profound political damage alongside an achieved settlement."", ""Source-linked classification does not certify arithmetic, event chronology, historical validity, or rule compliance.""]"
Claude_Opus_4-02,Claude Opus 4,withheld,"Primary linkage is explicit, but the same terminal assessment alternates between ongoing negotiation at maximum alert and already achieved removal/concessions. No single completed-settlement versus unresolved-confrontation outcome is assigned.","[{""page"": 4, ""excerpt"": ""PRIMARY PATH: U.S. Naval Quarantine + Soviet Acceleration/Denial""}, {""page"": 27, ""excerpt"": ""PRIMARY PATH - Most Plausible: Emergency Communication + Secret Proposal""}, {""page"": 29, ""excerpt"": ""SCENARIO PLANNING REPORT: PRIMARY PATH""}]","[{""page"": 31, ""excerpt"": ""concludes with both nations at maximum military alert while secretly negotiating a face-saving resolution""}, {""page"": 31, ""excerpt"": ""the United States secured removal of the immediate threat, while the Soviet Union gained important security concessions""}]","Conflicting ending; vector is a reported branch-log state, not a certified narrative endpoint."
Claude_Opus_4-09,Claude Opus 4,withheld,"Although the main lineage is clear, terminal prose mixes tentative space for resolution and a prolonged crisis with claims that peaceful resolution already occurred. The settlement-versus-stalemate distinction is withheld.","[{""page"": 4, ""excerpt"": ""Most Plausible: U.S. Naval Quarantine + Soviet Military Alert Elevation""}, {""page"": 24, ""excerpt"": ""RESULT LOG - Scenario 1 Primary Path""}]","[{""page"": 31, ""excerpt"": ""These mutual steps back from the brink, though tentative, create space for resolution""}, {""page"": 32, ""excerpt"": ""The crisis resolved with both superpowers stepping back from the nuclear abyss, though neither achieved their maximum objectives.""}, {""page"": 32, ""excerpt"": ""Allied nations experienced profound relief at the peaceful resolution""}, {""page"": 32, ""excerpt"": ""the Americans had to accept a prolonged crisis rather than the swift military solution some advisors preferred.""}]",Inconsistent terminal characterization; reported log values do not resolve it.
Claude_Opus_4-21,Claude Opus 4,withheld,"Main linkage is explicit, but final evaluation describes only conditions/framework for settlement while simultaneously referring to successful resolution. It does not establish whether agreement was completed or confrontation remained unresolved.","[{""page"": 4, ""excerpt"": ""Most Plausible Path: U.S. Quarantine + Soviet Diplomatic Engagement with Denial""}, {""page"": 30, ""excerpt"": ""Scenario Planning Report: Most Plausible Path""}]","[{""page"": 33, ""excerpt"": ""the framework for a negotiated settlement emerged""}, {""page"": 33, ""excerpt"": ""The successful resolution without war would likely reshape future international relations.""}, {""page"": 33, ""excerpt"": ""optimal conditions for negotiated settlement without war""}]",Reported state cannot resolve the mixed terminal characterization; no settlement is inferred from favorable variables.
Perplexity_RAG-01,Perplexity Pro,withheld,The selected final narrative simultaneously asserts unresolved stalemate and completed negotiated missile withdrawal. Full-scale war is contradicted; a unique replacement is withheld under the agreed mixed-ending rule.,"[{""page"": 15, ""excerpt"": ""Most Plausible Path Update""}, {""page"": 17, ""excerpt"": ""Scenario Combination: Most Plausible Path""}]","[{""page"": 19, ""excerpt"": ""Full-scale war averted, but a protracted stalemate emerged. Missiles removed in secret tradeoffs""}, {""page"": 20, ""excerpt"": ""Stalemate with missiles withdrawn via backchannel deals""}]","[""Final log gives only tension 1.0, diplomatic support .71 and unity .90; public opinion only appears in prior state."", ""Source-linked classification does not certify arithmetic, event chronology, historical validity, or rule compliance.""]"
Perplexity_RAG-02,Perplexity Pro,withheld,"Main branch is explicit, but terminal narrative inconsistently treats SAM strikes as rejected and as accepted/executed limited warfare. It does not supply a coherent completed settlement, unresolved terminal standoff, or actual conflict endpoint.","[{""page"": 16, ""excerpt"": ""Most Plausible Path Continuation of Blockade + Deny/Stall)""}, {""page"": 20, ""excerpt"": ""The Burning Brink (\""Most Plausible Path\"")""}]","[{""page"": 22, ""excerpt"": ""Kennedy: Rejected strikes""}, {""page"": 22, ""excerpt"": ""SAM strikes became accepted limited warfare norm""}]","[""Transcribed explicit main-combination final vector only; outcome remains withheld and arithmetic is unverified."", ""Source-linked classification does not certify arithmetic, event chronology, historical validity, or rule compliance.""]"
