check_id,run_id,source_file,source_sha256,page,page_end,turn,branch,unit,domain,requirement_id,rule_file,rule_path,rule_type,status,reported_value,recalculated_value,evidence_quote,judgment_basis,method,review_completed,human_review_required,limitation_category,input_version_caveat,does_not_certify
PER-18-GE-001-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,3,4,T1,"0.05 (Strong Leadership) +0.05 (Presidium cohesion) +0.10
This path tests whether actors can de-escalate through compromise.
Critical Triggers to Monitor
1 Tension≥0.8: Disabled diplomacy, mandatory military-first policies.
.
2 Public_Opinion≤0.4: U.S. leadership collapse risk if war anxiety spikes.
.
3 Diplomatic_Support≤0.5: USSR alliance isolation worsens NATO cohesion.
.
All assumptions derived strictly from J SON-defined actor priorities and variable matrices.
⁂
Result Logs for Strategic Action Combinations
Combination 1 : Most Plausible Path (U.S. Naval Quarantine + USSR
Deny/Negotiate)
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Defense_Prep,조건부 규칙,준수,Defense_Prep,,"Selected Actor: United States
Selected Action: Naval Quarantine w/Diplomatic Pressure
Predicted VariableC hanges:
Tension: +0.05 (Defense_Prep effect)
Diplomatic_Support: -0.02 (Defense_Prep effect)
Public_Opinion: -0.02 (Defense_Prep effect)
Leadership_Unity: -0.05 (Defense_Prep effect)
Generated Triggers:
Diplomatic_Failure (USSR denial tactic) → T ension +0.10, Diplomatic_Support -0.10[Variable
Matrix]
Next Event Triggers:
Inevitable: U.S. reconnaissance confirms Soviet denial (Covert_Detection → T ension
+0.05).
Potential: USSR backchannel proposal (Diplomatic_Success trigger if accepted).",실제 해상 검역 집행을 군사 대비에 연결한다. p3–4 렌더로 소련 부인 수치가 미국 행동에 오귀속된 추출 오류를 바로잡았다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-002-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,4,4,T1,"lected Actor: United States
Selected Action: Naval Quarantine w/Diplomatic Pressure
Predicted VariableC hanges:
Tension: +0.05 (Defense_Prep effect)
Diplomatic_Support: -0.02 (Defense_Prep effect)
Public_Opinion: -0.02 (Defense_Prep effect)
Leadership_Unity: -0.05 (Defense_Prep effect)
Generated Triggers:
Diplomatic_Failure (USSR denial tactic) → T ension +0.10, Diplomatic_Support -0.10[Variable
Matrix]
Next Event Triggers:
Inevitable: U.S. reconnaissance confirms Soviet denial (Covert_Detection → T ension
+0.05).
Potential: USSR backchannel proposal (Diplomatic_Success trigger if accepted).
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Diplomatic_Failure,조건부 규칙,판정 불가,Diplomatic_Failure,,"Selected Actor: Soviet Union
Selected Action: Deny and Negotiate via Backchannels
Predicted VariableC hanges:
Tension: +0.10 (Diplomatic_Failure effect)
Diplomatic_Support: -0.10 (Diplomatic_Failure effect)
Public_Opinion: -0.05 (Diplomatic_Failure effect)
Leadership_Unity: -0.05 (Diplomatic_Failure effect)
Generated Triggers:
Military_Alert (USSR response to U.S. pressure) → T ension +0.05[Variable-Matrix]
Next Event Triggers:
Inevitable: U.S. intensifies surveillance (Tension crosses 0.65).
Potential: OAS condemnation (Diplomatic_Support falls below 0 .5).",선택은 부인과 비밀 협상 개시다. 실패 효과와 이후 수용 가능한 비밀 제안이 함께 기록되지만 실제 거절/실패가 발생한 시점은 명시되지 않는다.,AI direct source interpretation; recovered PDF character geometry,True,True,event_occurrence_boundary,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-003-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,4,5,T1,"nerated Triggers:
Military_Alert (USSR response to U.S. pressure) → T ension +0.05[Variable-Matrix]
Next Event Triggers:
Inevitable: U.S. intensifies surveillance (Tension crosses 0.65).
Potential: OAS condemnation (Diplomatic_Support falls below 0 .5).
[RECONFIRMV ARIABLE STATUS]
Tension: 0.65 (0.5 initial + 0.05 US  + 0.10 USSR)
Diplomatic_Support: 0.48 (0.6 initial - 0.02 US  - 0.10 USSR)
Public_Opinion: 0.53 (0.6 initial - 0.02 US  - 0.05 USSR)
Leadership_Unity: 0.60 (0.7 initial - 0.05 US  - 0.05 USSR)
Combination 2 : Hardline Response Path (U.S. Air Strikes + USSR Accelerate
Deployment)
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Strike,조건부 규칙,준수,Strike,,"Selected Actor: United States
Selected Action: Air Strikes Followed by Invasion Plans
Predicted VariableC hanges:
Tension: +0.15 (Strike effect)
Diplomatic_Support: -0.05 (Strike effect)
Public_Opinion: -0.05 (Strike effect)
Leadership_Unity: -0.10 (Strike effect)
Generated Triggers:
Defense_Prep (USSR retaliation) → T ension +0.05[Variable-Matrix]
Next Event Triggers:
Inevitable: Soviet forces go to high alert (Military_Alert → T ension +0.15).
Potential: Direct naval clash (Strike trigger).",실제 공습 후 침공 계획 경로의 공습 실행과 Strike가 대응한다. p4–5 원본 렌더로 정상 문맥을 확인했다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-004-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,5,5,T1,"  - 0.05 USSR)
Combination 2 : Hardline Response Path (U.S. Air Strikes + USSR Accelerate
Deployment)
Selected Actor: United States
Selected Action: Air Strikes Followed by Invasion Plans
Predicted VariableC hanges:
Tension: +0.15 (Strike effect)
Diplomatic_Support: -0.05 (Strike effect)
Public_Opinion: -0.05 (Strike effect)
Leadership_Unity: -0.10 (Strike effect)
Generated Triggers:
Defense_Prep (USSR retaliation) → T ension +0.05[Variable-Matrix]
Next Event Triggers:
Inevitable: Soviet forces go to high alert (Military_Alert → T ension +0.15).
Potential: Direct naval clash (Strike trigger).
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Defense_Prep,조건부 규칙,준수,Defense_Prep,,"Selected Actor: Soviet Union
Selected Action: Accelerate Missile Deployment
Predicted VariableC hanges:
Tension: +0.10 (Defense_Prep effect)
Diplomatic_Support: -0.02 (Defense_Prep effect)
Public_Opinion: -0.02 (Defense_Prep effect)
Leadership_Unity: -0.05 (Defense_Prep effect)
Generated Triggers:
Nuclear_Retaliation_Risk (Operational missiles detected) → T ension +0.15[1]
Next Event Triggers:
Inevitable: U.S. invasion preparations (Leadership_Unity dips below 0 .6).
Potential: Tactical nuclear authorization (Tension > 0.8).",미사일 배치 가속은 실제 공격 전 준비 단계다. 사건 의미는 대응하지만 tension 상수 .10은 별도 위반이다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-005-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,5,6,T1,"ted Triggers:
Nuclear_Retaliation_Risk (Operational missiles detected) → T ension +0.15[1]
Next Event Triggers:
Inevitable: U.S. invasion preparations (Leadership_Unity dips below 0 .6).
Potential: Tactical nuclear authorization (Tension > 0.8).
[RECONFIRMV ARIABLE STATUS]
Tension: 0.80 (0.5 initial + 0.15 US  + 0.10 USSR  + 0.05 trigger)
Diplomatic_Support: 0.53 (0.6 initial - 0.05 US  - 0.02 USSR)
Public_Opinion: 0.53 (0.6 initial - 0.05 US  - 0.02 USSR)
Leadership_Unity: 0.55 (0.7 initial - 0.10 US  - 0.05 USSR)
Combination 3 : Diplomatic Resolution Path (U.S. Sanctions + USSR Offer Trade)
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Economic_Sanctions,조건부 규칙,준수,Economic_Sanctions,,"Selected Actor: United States
Selected Action: Sanctions + Public Diplomacy
Predicted VariableC hanges:
Tension: +0.10 (Economic_Sanctions effect)
Diplomatic_Support: -0.05 (Economic_Sanctions effect)
Public_Opinion: -0.05 (Economic_Sanctions effect)
Leadership_Unity: -0.05 (Economic_Sanctions effect)
Generated Triggers:
Diplomatic_Success (USSR offer) → D iplomatic_Support +0.10[Variable-Matrix]
Next Event Triggers:
Inevitable: UN mediation talks (Diplomatic_Support rises above 0.65).
Potential: U.S.-USSR secret deal (Strong_Leadership trigger).",실제 제재와 공개 외교를 선택하고 제재 효과를 연결한다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-006-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,6,6,T1,"ution Path (U.S. Sanctions + USSR Offer Trade)
Selected Actor: United States
Selected Action: Sanctions + Public Diplomacy
Predicted VariableC hanges:
Tension: +0.10 (Economic_Sanctions effect)
Diplomatic_Support: -0.05 (Economic_Sanctions effect)
Public_Opinion: -0.05 (Economic_Sanctions effect)
Leadership_Unity: -0.05 (Economic_Sanctions effect)
Generated Triggers:
Diplomatic_Success (USSR offer) → D iplomatic_Support +0.10[Variable-Matrix]
Next Event Triggers:
Inevitable: UN mediation talks (Diplomatic_Support rises above 0.65).
Potential: U.S.-USSR secret deal (Strong_Leadership trigger).
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Diplomatic_Success,조건부 규칙,준수,Diplomatic_Success,,"Selected Actor: Soviet Union
Selected Action: Offer Trade in Secret Talks
Predicted VariableC hanges:
Tension: -0.05 (Diplomatic_Success effect)
Diplomatic_Support: +0.10 (Diplomatic_Success effect)
Public_Opinion: +0.05 (Diplomatic_Success effect)
Leadership_Unity: +0.05 (Diplomatic_Success effect)
Generated Triggers:
Alliance_Strengthening (Cuba security guarantee) → D iplomatic_Support +0.10[Variable
Matrix]
Next Event Triggers:
Inevitable: U.S. Turkey missile compromise (Diplomatic_Success threshold met).
Potential: Hardliner backlash (Internal_Dispute → L eadership_Unity -0.05).",실제 비밀 교환 제안으로 UN 중재와 미국의 터키 미사일 양보를 예측한다. 이미 외교 채널이 작동하는 경로의 제한적 진전이다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-007-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,8,8,T2,"ibleP ath
U.S. Tighten Quarantine+  USSRO ffer Compromise
Logic:
U.S. reinforces blockade legitimacy via OAS[US_state_department].
USSR’s backchannel aligns with Khrushchev’s ""retreat-with-honor""
doctrine[SOVIET_Khrushchev].
Prevents Tension threshold breach (0.75  < 0.80).
AlternativeP ath 1
U.S. Ultimatum+  USSRN aval Challenge
Logic:
Defense Department’s urgency overrules State[US_defense_department].
USSR Armed Forces defy political caution[SOVIET_Military].
Triggers Military Conflict Risk (Tension = 0.95).
Result Logs for Scenario 1
Combination 1.1 : Tighten Quarantine + Offer Compromise
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Alliance_Strengthening;Defense_Prep,조건부 규칙,준수,Alliance_Strengthening;Defense_Prep,,"Selected Actor: United States
Selected Action: Tighten Quarantine with OAS Backing
Predicted VariableC hange:
Diplomatic_Support: +0.10 (Alliance_Strengthening)
Tension: +0.05 (Defense_Prep)
Generated Triggers:
Soviet diplomatic counteroffer (Diplomatic_Success: Tension -0.05)",OAS의 뒷받침과 검역 강화라는 구체 행동 각각에 동맹 강화 및 군사 대비를 연결한다. 일부 변수만 적용한 집계는 별도다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-008-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,8,8,T2,"ernativeP ath 1
U.S. Ultimatum+  USSRN aval Challenge
Logic:
Defense Department’s urgency overrules State[US_defense_department].
USSR Armed Forces defy political caution[SOVIET_Military].
Triggers Military Conflict Risk (Tension = 0.95).
Result Logs for Scenario 1
Combination 1.1 : Tighten Quarantine + Offer Compromise
Selected Actor: United States
Selected Action: Tighten Quarantine with OAS Backing
Predicted VariableC hange:
Diplomatic_Support: +0.10 (Alliance_Strengthening)
Tension: +0.05 (Defense_Prep)
Generated Triggers:
Soviet diplomatic counteroffer (Diplomatic_Success: Tension -0.05)
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Diplomatic_Success,조건부 규칙,준수,Diplomatic_Success,,"Selected Actor: Soviet Union
Selected Action: Publicly Deny, Privately Offer Compromise
Predicted VariableC hange:
Diplomatic_Support: +0.10 (Diplomatic_Success)
Tension: -0.05 (Diplomatic_Success)
Generated Triggers:
U.S.-USSR secret negotiations (Strong_Leadership: Leadership_Unity +0.10)",OAS 검역 경로에서 소련의 비밀 절충 제안과 실제 미소 비밀 협상 개설이 연결된다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-009-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,9,9,T2,"5 (Defense_Prep)
Generated Triggers:
Soviet diplomatic counteroffer (Diplomatic_Success: Tension -0.05)
Selected Actor: Soviet Union
Selected Action: Publicly Deny, Privately Offer Compromise
Predicted VariableC hange:
Diplomatic_Support: +0.10 (Diplomatic_Success)
Tension: -0.05 (Diplomatic_Success)
Generated Triggers:
U.S.-USSR secret negotiations (Strong_Leadership: Leadership_Unity +0.10)
[RECONFIRMV ARIABLE STATUS]
Tension: 0.75 (0.75  + 0.05  - 0.05)
Diplomatic_Support: 0.64 (0.44  + 0.10  + 0.10)
Public_Opinion: 0.49
Leadership_Unity: 0.50
Combination 1.2 : Ultimatum +  Naval Challenge
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Strike,조건부 규칙,위반,Strike,,"Selected Actor: United States
Selected Action: Issue Ultimatum f or Missile Removal
Predicted VariableC hange:
Tension: +0.15 (Strike)
Leadership_Unity: -0.10 (Strike)
Generated Triggers:
Soviet forces alert status (Military_Alert: Tension +0.05)",미국 행동은 미사일 철수 최후통첩 발령이며 실제 타격은 없다. 이를 Strike로 계산한다. 이후 소련 경계/해상 교전은 별도 예측 사건이다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
PER-18-GE-010-MAP,PER-18,runs/raw_logs/Perplexity_RAG/18. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,b624441c87c3bcfa55e45ddda163803f5fd321193a5fb0da4f2b9f66c0d55e81,9,9,T2,"iplomatic_Success)
Tension: -0.05 (Diplomatic_Success)
Generated Triggers:
U.S.-USSR secret negotiations (Strong_Leadership: Leadership_Unity +0.10)
[RECONFIRMV ARIABLE STATUS]
Tension: 0.75 (0.75  + 0.05  - 0.05)
Diplomatic_Support: 0.64 (0.44  + 0.10  + 0.10)
Public_Opinion: 0.49
Leadership_Unity: 0.50
Combination 1.2 : Ultimatum +  Naval Challenge
Selected Actor: United States
Selected Action: Issue Ultimatum f or Missile Removal
Predicted VariableC hange:
Tension: +0.15 (Strike)
Leadership_Unity: -0.10 (Strike)
Generated Triggers:
Soviet forces alert status (Military_Alert: Tension +0.05)
",selected actor/action result block,행동–VDM 사건 의미 대응,P-VDM-01;P-EFFECT-01,vdm/Variable-Decision Matrix.json; actor JSON when indicated,Defense_Prep,조건부 규칙,준수,Defense_Prep,,"Selected Actor: Soviet Union
Selected Action: Order Naval Challenge to Blockade
Predicted VariableC hange:
Tension: +0.15 (Defense_Prep)
Leadership_Unity: -0.05 (Defense_Prep)
Generated Triggers:
Naval engagement in Caribbean (Strike: Tension +0.15)",함정의 검역 도전은 먼저 군사 대비로 처리하고 실제 해상 교전은 별도 후속 Strike로 구분한다. .15 상수는 별도 위반이다.,AI direct source interpretation; recovered PDF character geometry,True,True,,Preserved input conditional audit; per-run input bytes unconfirmed,"complete event vector, aggregation, constants, inheritance, authority, thresholds, narrative"
