case_id,original_check_id,scope,in_common_denominator,independent_sample
HR-001,CLA-13-SEM2-T1_SU_ROLE,common_selected,false,false
HR-002,CLA-01-SEM2-T1_SU_ROLE,common_selected,false,false
HR-003,CLA-19-SEM2-T3_BRANCH,common_selected,false,false
HR-004,CLA-04-SEM2-T4_BRANCH,common_selected,false,false
HR-005,CLA-03-SEM2-T4_BRANCH,common_selected,false,false
HR-006,CLA-12-SEM2-T4_EVENT,common_selected,false,false
HR-007,CLA-02-SEM2-T3_EVENT,common_selected,false,false
HR-008,CLA-03-SEM2-T4_EVENT,common_selected,false,false
HR-009,CLA-08-SEM2-T2_PARENT_COVERAGE,common_selected,false,false
HR-010,CLA-13-SEM2-T4_PARENT_COVERAGE,common_selected,false,false
HR-011,A2-GPT-29-T1_US_ROLE,common_selected,false,false
HR-012,A2-GPT-19-T3_BRANCH,common_selected,false,false
HR-013,A2-GPT-11-T2_BRANCH,common_selected,false,false
HR-014,A2-GPT-25-T2_BRANCH,common_selected,false,false
HR-015,A2-GPT-03-T3_EVENT,common_selected,false,false
HR-016,A2-GPT-18-T2_EVENT,common_selected,false,false
HR-017,A2-GPT-10-T3_PARENT_COVERAGE,common_selected,false,false
HR-018,A2-GPT-12-T4_PARENT_COVERAGE,common_selected,false,false
HR-019,A2-GPT-25-T2_PARENT_COVERAGE,common_selected,false,false
HR-020,A2-GEM-01-T1_US_ROLE,common_selected,false,false
HR-021,A2-GEM-04-T2_BRANCH,common_selected,false,false
HR-022,GEM-15-SEM2-T4_BRANCH,common_selected,false,false
HR-023,A2-GEM-10-T4_BRANCH,common_selected,false,false
HR-024,SEM-B-V2-GEM-24-T4_EVENT,common_selected,false,false
HR-025,SEM-B-V2-GEM-25-T2_EVENT,common_selected,false,false
HR-026,A2-GEM-02-T4_EVENT,common_selected,false,false
HR-027,SEM-B-V2-GEM-23-T2_PARENT_COVERAGE,common_selected,false,false
HR-028,GEM-16-SEM2-T3_PARENT_COVERAGE,common_selected,false,false
HR-029,A2-GEM-10-T4_PARENT_COVERAGE,common_selected,false,false
HR-030,SEM-B-V2-PER-13-T1_US_ROLE,common_selected,false,false
HR-031,SEM-B-V2-PER-02-T1_US_ROLE,common_selected,false,false
HR-032,SEM-B-V2-PER-26-T4_BRANCH,common_selected,false,false
HR-033,SEM-B-V2-PER-20-T3_BRANCH,common_selected,false,false
HR-034,SEM-B-V2-PER-17-T3_EVENT,common_selected,false,false
HR-035,SEM-B-V2-PER-08-T4_EVENT,common_selected,false,false
HR-036,SEM-B-V2-PER-12-T2_PARENT_COVERAGE,common_selected,false,false
HR-037,SEM-B-V2-PER-11-T4_PARENT_COVERAGE,common_selected,false,false
HR-038,SEM-B-V2-PER-21-T3_PARENT_COVERAGE,common_selected,false,false
TRACE-CLA01,local_trace,representative_discrepancy,false,false
TRACE-GEM28,SUP-NARR-GEM-28-02,representative_discrepancy,false,false
