case_id,check_id,ai_label,current_core_label,match,applied_as_new_change
HR-001,CLA-13-SEM2-T1_SU_ROLE,C,C,true,false
HR-002,CLA-01-SEM2-T1_SU_ROLE,V,V,true,false
HR-003,CLA-19-SEM2-T3_BRANCH,C,C,true,false
HR-004,CLA-04-SEM2-T4_BRANCH,V,V,true,false
HR-005,CLA-03-SEM2-T4_BRANCH,U,U,true,false
HR-006,CLA-12-SEM2-T4_EVENT,C,C,true,false
HR-007,CLA-02-SEM2-T3_EVENT,V,V,true,false
HR-008,CLA-03-SEM2-T4_EVENT,U,U,true,false
HR-009,CLA-08-SEM2-T2_PARENT_COVERAGE,C,C,true,false
HR-010,CLA-13-SEM2-T4_PARENT_COVERAGE,U,U,true,false
HR-011,A2-GPT-29-T1_US_ROLE,U,U,true,false
HR-012,A2-GPT-19-T3_BRANCH,C,C,true,false
HR-013,A2-GPT-11-T2_BRANCH,V,V,true,false
HR-014,A2-GPT-25-T2_BRANCH,U,U,true,false
HR-015,A2-GPT-03-T3_EVENT,C,C,true,false
HR-016,A2-GPT-18-T2_EVENT,U,U,true,false
HR-017,A2-GPT-10-T3_PARENT_COVERAGE,C,C,true,false
HR-018,A2-GPT-12-T4_PARENT_COVERAGE,V,V,true,false
HR-019,A2-GPT-25-T2_PARENT_COVERAGE,U,U,true,false
HR-020,A2-GEM-01-T1_US_ROLE,C,C,true,false
HR-021,A2-GEM-04-T2_BRANCH,C,C,true,false
HR-022,GEM-15-SEM2-T4_BRANCH,V,V,true,false
HR-023,A2-GEM-10-T4_BRANCH,U,U,true,false
HR-024,SEM-B-V2-GEM-24-T4_EVENT,C,C,true,false
HR-025,SEM-B-V2-GEM-25-T2_EVENT,V,V,true,false
HR-026,A2-GEM-02-T4_EVENT,U,U,true,false
HR-027,SEM-B-V2-GEM-23-T2_PARENT_COVERAGE,C,C,true,false
HR-028,GEM-16-SEM2-T3_PARENT_COVERAGE,V,V,true,false
HR-029,A2-GEM-10-T4_PARENT_COVERAGE,U,U,true,false
HR-030,SEM-B-V2-PER-13-T1_US_ROLE,C,C,true,false
HR-031,SEM-B-V2-PER-02-T1_US_ROLE,V,V,true,false
HR-032,SEM-B-V2-PER-26-T4_BRANCH,C,C,true,false
HR-033,SEM-B-V2-PER-20-T3_BRANCH,V,V,true,false
HR-034,SEM-B-V2-PER-17-T3_EVENT,C,C,true,false
HR-035,SEM-B-V2-PER-08-T4_EVENT,U,U,true,false
HR-036,SEM-B-V2-PER-12-T2_PARENT_COVERAGE,C,C,true,false
HR-037,SEM-B-V2-PER-11-T4_PARENT_COVERAGE,U,U,true,false
HR-038,SEM-B-V2-PER-21-T3_PARENT_COVERAGE,V,V,true,false
