run_id,marker,component,regex,count,pages,first_excerpt
CLA-01,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,12,1;2;3;4;5;12,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-01,explicit_result_log_label,result_log,result[ _-]?log,6,5;6;7;12;17;23,"ix, I'll calculate the predicted outcomes for each strategic action combination.RESULT LOG - Combination 1: ""Balanced Confrontation Path""U.S. Quarantine + Soviet Pause/NegotiateSelected Actor: United States•Sel"
CLA-01,all_four_state_dimensions,tension,tension,76,3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19;21;22;23;25;26;27;29;32,".Next Event Triggers:•Inevitable: U.S. military counter-alert, Increased global tension•Potential: Accidental escalation, Allied concerns, Nuclear forces activationConflict AssessmentWhen U.S. and Soviet act"
CLA-01,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),44,4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;26;29,"e and recognize nuclear war's catastrophic potential. Variables: Tension +0.05, Diplomatic_Support +0.10.2. Alternative Path 1: U.S. Diplomatic Freeze + Soviet Denial/AccelerationLogic: State Department pushes their pr"
CLA-01,all_four_state_dimensions,public_opinion,public[ _-]?opinion,34,6;7;8;10;11;12;13;14;15;16;17;18;19;21;22;23;25;29,"ents):•Diplomatic_Success anticipated: tension -0.05, diplomatic_support +0.10, public_opinion +0.05, leadership_unity +0.05Generated Triggers: Negotiation channels opening, Military deployment haltedRECONFIRM VARI"
CLA-01,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),79,4;6;7;8;10;11;12;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;31;32;33;34,"crisis as construction continues during negotiations. Variables: Tension +0.10, Leadership_Unity -0.05 (U.S.).3. Alternative Path 2: U.S. Air Strike Preparation + Soviet Military AlertLogic: Military advisors on both"
CLA-01,trigger_or_threshold,trigger_or_threshold,trigger|threshold,93,2;3;4;6;7;9;10;11;12;14;15;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33;34,"eference, allowing time for negotiations while demonstrating resolve.Next Event Triggers:•Inevitable: Soviet response at sea (ships approaching blockade line)•Potential: Soviet ship confrontation (if they re"
CLA-01,variable_status_label,generic_variable_status,variable[ _-]?status,3,6;7,"ted Triggers: Negotiation channels opening, Military deployment haltedRECONFIRM VARIABLE STATUS - Combination 1•tension: 0.75 (baseline 0.5 + 0.3 - 0.05)•diplomatic_support: 0.60 (baseline 0.5 + 0.10)•military_postu"
CLA-01,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,6;7,"0.05Generated Triggers: Negotiation channels opening, Military deployment haltedRECONFIRM VARIABLE STATUS - Combination 1•tension: 0.75 (baseline 0.5 + 0.3 - 0.05)•diplomatic_support: 0.60 (baseline 0.5 + 0.10)•military_postu"
CLA-01,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-01,metadata_labels_present,temperature_label,temperature,0,,
CLA-01,metadata_labels_present,top_p_label,top[_ -]?p,1,17, Air Campaign + Soviet Nuclear AuthorizationLogic: Military doctrines create unstoppable escalation to nuclear threshold.RESULT LOGSScenario 1: U.S. Absorb Loss + Soviet Express Regret•Diplomatic_Success 
CLA-01,metadata_labels_present,seed_label,seed,0,,
CLA-01,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-01,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-02,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,17,1;2;4;6;7;8,sion Modeling FrameworkSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-02,explicit_result_log_label,result_log,result[ _-]?log,6,6;7;14;20;27,"on Matrix, I'll calculate the predicted outcomes for each strategic combination.RESULT LOG - PRIMARY PATHScenario Combination Name: U.S. Naval Quarantine + Soviet Acceleration/Denial PathSelected Actor: United "
CLA-02,all_four_state_dimensions,tension,tension,67,4;6;7;8;9;10;11;12;14;15;16;17;19;20;21;22;24;25;27;28;30;35;37,hms prioritizing controlled escalation over immediate conflict.Variable Impact:•Tension: +0.10 (military preparations both sides)•Diplomatic Support: -0.02 (unilateral U.S. action)•Public Opinion: Pending an
CLA-02,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),53,4;6;7;8;9;11;12;14;15;16;17;18;19;20;21;22;24;25;26;27;28;35,ate conflict.Variable Impact:•Tension: +0.10 (military preparations both sides)•Diplomatic Support: -0.02 (unilateral U.S. action)•Public Opinion: Pending announcement•Leadership Unity: Stable initially2. ALTERNATIVE P
CLA-02,all_four_state_dimensions,public_opinion,public[ _-]?opinion,49,4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;24;25;27;28;36,ary preparations both sides)•Diplomatic Support: -0.02 (unilateral U.S. action)•Public Opinion: Pending announcement•Leadership Unity: Stable initially2. ALTERNATIVE PATH 1: U.S. Air Strikes + Soviet Military Alert
CLA-02,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),48,4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;23;24;25;27;28;36,ic Support: -0.02 (unilateral U.S. action)•Public Opinion: Pending announcement•Leadership Unity: Stable initially2. ALTERNATIVE PATH 1: U.S. Air Strikes + Soviet Military AlertLogic: Represents hawkish elements prev
CLA-02,trigger_or_threshold,trigger_or_threshold,trigger|threshold,111,2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;30;31;32;33;34;35;36,"ile addressing the constraint that ""inaction is the greatest danger.""Next Event Triggers:•Inevitable: Soviet ships approach quarantine line (forcing confrontation decision)•Probable: OAS/UN diplomatic meetin"
CLA-02,variable_status_label,generic_variable_status,variable[ _-]?status,6,6;7;8;14;15,at Quarantine Line]•[Time Pressure from Continuing Missile Deployment]RECONFIRM VARIABLE STATUS - PRIMARY PATH•tension: 0.75 (starting from assumed baseline 0)•diplomatic_support: 0.5 (unchanged from assumed baselin
CLA-02,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,6;7;8,rontation at Quarantine Line]•[Time Pressure from Continuing Missile Deployment]RECONFIRM VARIABLE STATUS - PRIMARY PATH•tension: 0.75 (starting from assumed baseline 0)•diplomatic_support: 0.5 (unchanged from assumed baselin
CLA-02,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-02,metadata_labels_present,temperature_label,temperature,0,,
CLA-02,metadata_labels_present,top_p_label,top[_ -]?p,1,10,"submarine detection near quarantine zone1.Escalate to Full Blockade (All Ships Stopped) Rationale: Defense Department (0.25 power) likely pressing for stronger action given their view that ""blockade alone"
CLA-02,metadata_labels_present,seed_label,seed,0,,
CLA-02,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-02,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-03,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,14,1;2;3;4;5;6;7;8;9,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-03,explicit_result_log_label,result_log,result[ _-]?log,5,6;7;8;14;20,"inmax(0px, 1fr)); gap: 0.625rem;"">STRATEGIC ACTION COMBINATIONS - TURN 1 RESULTSRESULT LOG - Scenario 1: ""Measured Confrontation Path""Combination: U.S. Naval Quarantine + Soviet Diplomatic Denial/NegotiationUni"
CLA-03,all_four_state_dimensions,tension,tension,70,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;28;29,ntial:•U.S. military action before missiles operational•Increased international tension•Cuban vulnerability during deploymentOption 2: Diplomatic Denial and NegotiationRationale (from JSON):•Khrushchev prefe
CLA-03,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),59,4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;29,for face-saving resolutionVariable Impact:•Tension: +0.05 (Defense_Prep effect)•Diplomatic_Support: -0.02 •Public_Opinion: -0.02•Leadership_Unity: -0.052. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLog
CLA-03,all_four_state_dimensions,public_opinion,public[ _-]?opinion,46,5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;24;26;27;28;29,ariable Impact:•Tension: +0.05 (Defense_Prep effect)•Diplomatic_Support: -0.02 •Public_Opinion: -0.02•Leadership_Unity: -0.052. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic:•Defense Department 
CLA-03,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),52,5;7;8;9;10;11;12;13;14;15;16;18;19;20;21;23;24;25;26;27;29,n: +0.05 (Defense_Prep effect)•Diplomatic_Support: -0.02 •Public_Opinion: -0.02•Leadership_Unity: -0.052. Alternative Path 1: U.S. Air Strikes + Soviet Military AlertLogic:•Defense Department pressure for decisive ac
CLA-03,trigger_or_threshold,trigger_or_threshold,trigger|threshold,62,2;3;4;7;8;9;10;11;12;13;14;16;17;18;19;20;21;23;25;26;27,"tate Department supports ""quarantine as a means to pressure the USSR""Next Event Triggers:•Inevitable: Soviet response to blockade (compliance or challenge)•Potential:•Soviet ships attempting to run blockade "
CLA-03,variable_status_label,generic_variable_status,variable[ _-]?status,3,7;8;9, communications initiated•Continued covert missile deployment attemptsRECONFIRM VARIABLE STATUS - Scenario 1Starting from baseline (0.5 for all variables):•tension: 0.5 + 0.3 + 0.45 = 1.0 (clamped to 1.0)•diplomatic
CLA-03,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,7;8;9,ackchannel communications initiated•Continued covert missile deployment attemptsRECONFIRM VARIABLE STATUS - Scenario 1Starting from baseline (0.5 for all variables):•tension: 0.5 + 0.3 + 0.45 = 1.0 (clamped to 1.0)•diplomatic
CLA-03,metadata_labels_present,model_identifier_label,(?:model|system)[ _-]?(?:name|version|identifier|id),0,,
CLA-03,metadata_labels_present,temperature_label,temperature,0,,
CLA-03,metadata_labels_present,top_p_label,top[_ -]?p,1,10,"essel intercepted during blockade - non-military cargo allowed, military cargo stopped/turned back.SCENARIO 1: ""MEASURED CONFRONTATION PATH""Current Variables: tension: 1.0, diplomatic_support: 1.0, public"
CLA-03,metadata_labels_present,seed_label,seed,0,,
CLA-03,metadata_labels_present,timestamp_label,(?:run|execution)[ _-]?(?:time|timestamp|date),0,,
CLA-03,independent_checker_phrase,checker_phrase,independent (?:rule|transition|state) checker|deterministic (?:recalculation|recomputation|validator),0,,
CLA-04,artifact_reference,artifact,\bJSON\b|Variable[-– ]Decision Matrix|\bVDM\b,21,1;2;3;5;6;7;8;10;11;12;25,ision Modeling ProtocolSharesoviet_gpt.json116 linesjsonus_gpt.json155 linesjsonVariable-Decision Matrix.json63 linesjsondiv]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 [ & _ . i g n o r e - p r e - b 
CLA-04,explicit_result_log_label,result_log,result[ _-]?log,9,5;6;7;8;13;19;25,cted outcomes for each strategic combination.COMBINATION 1: Most Plausible Path[RESULT LOG - United States]•Scenario Combination Name: Most Plausible Path (Naval Quarantine + Military Alert)•Selected Actor: Uni
CLA-04,all_four_state_dimensions,tension,tension,68,3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;20;22;23;24;25;26;28;29;32;35;36;37,avoiding direct confrontation.Next Event Triggers:•Inevitable: Increased global tension (per Variable Matrix: +0.45)•Potential: Accidental escalation from heightened alert•Potential: Pressure for either back
CLA-04,all_four_state_dimensions,diplomatic_support_alias,diplomatic[ _-]?(?:support|room|engagement),48,3;4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;22;23;24;26;29;30;32;33;35;36,"edibility•Potential: Missiles becoming operational changing strategic balance2. Diplomatic Engagement with Security GuaranteesRationale (from JSON): Per Khrushchev's trigger threshold: ""If a viable compromise is offered g"
CLA-04,all_four_state_dimensions,public_opinion,public[ _-]?opinion,43,6;7;8;9;11;12;13;14;15;16;17;18;20;22;23;24;26;29;32;33;35;36," US effect_rules: ""military_alert"")•diplomatic_support: No direct rule provided•public_opinion: No direct rule providedGenerated Triggers:•Soviet ships approaching blockade line•Required OAS/UN backing for legitima"
CLA-04,all_four_state_dimensions,leadership_unity_alias,leadership[ _-]?(?:unity|cohesion),65,4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;28;29;30;32;34;35;36,"t attack"" threshold. Variables: Tension spikes dramatically (+0.15 per strike), Leadership Unity drops (-0.10), pushing toward military conflict trigger (>0.8).3. Alternative Path 2: U.S. Diplomatic Freeze + Soviet C"
CLA-04,trigger_or_threshold,trigger_or_threshold,trigger|threshold,112,2;3;4;6;7;8;10;11;12;13;14;16;17;18;19;20;22;23;24;25;29;30;31;32;33;34;35;36,"dy's ""balanced crisis management"" approach and medium risk tolerance.Next Event Triggers:•Inevitable: Soviet response at sea (ships approaching blockade line)•Potential: Soviet naval confrontation if ships r"
CLA-04,variable_status_label,generic_variable_status,variable[ _-]?status,12,6;7;8;13;14;20;26,"rs:•Elevated military readiness status•Urgent Presidium deliberations[RECONFIRM VARIABLE STATUS - Combination 1]Assuming baseline values of 0.5:•tension: 0.875 (0.5 + 0.3 + 0.45 = 1.275, clamped to max 1.0 → 0.875 a"
CLA-04,explicit_reconfirm_variable_status,explicit_reconfirmation,reconfirm(?:ed)?[ _-]?variable[ _-]?status,3,6;7;8,"ted Triggers:•Elevated military readiness status•Urgent Presidium deliberations[RECONFIRM VARIABLE STATUS - Combination 1]Assuming baseline values of 0.5:•tension: 0.875 (0.5 + 0.3 + 0.45 = 1.275, clamped to max 1.0 → 0.875 a"
