execution_id,source_commit,raw_log_path,source_pdf_sha256,source_url,download_required_for_new_pdf_review,needed_for_fixed_label_aggregation
GPT-4o-01,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,5b719bdd43372cc576043419b9abdff92627fd32b3ed0bf74f439ea9c1555f54,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V1.pdf,true,false
GPT-4o-02,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,841b7b9fe14dfd575acca1315fa4ddd5d5ce28674d9f053188bfccb2968253c4,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V2.pdf,true,false
GPT-4o-03,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V3.pdf,f2ffaacf63446d0349875fa6a15f65971b3a9130bf9bf071035952189c2bf35b,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V3.pdf,true,false
GPT-4o-04,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V4.pdf,95c63ce082198bc429b45c484279b7887410e35a7aef3ca5d65cf31edd70b91b,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V4.pdf,true,false
GPT-4o-05,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V5.pdf,28218a57fa385b6d821654bcfe6a491c593cb096e0a6d565246cc2055e6cd334,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V5.pdf,true,false
GPT-4o-06,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V6.pdf,9774116c3cb26e1e5074757116f478be4a37245408d420e1fa7aaf56107b3de9,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V6.pdf,true,false
GPT-4o-07,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V7.pdf,0d3091d3a53a6368abfef39deee17ddab276b321a1e00b8e71fffbe692e834b0,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V7.pdf,true,false
GPT-4o-08,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V8.pdf,7ae272d0a426e2a6f8ede13771fa4df309df1ee68514d2914fe79c082de4fada,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V8.pdf,true,false
GPT-4o-09,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,607655405a9010782d4b8b5c48542e810ea26919eb223a708d534add0181d646,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V9.pdf,true,false
GPT-4o-10,6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V10.pdf,c95c58c512afda8d047eb925bd47801968f42f53b2d18458d6cccce3aa1c3aad,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/GPT-4o/GPT_%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98%20V10.pdf,true,false
