review_id,run_id,metric_key,check_id,legacy_status,narrow_rule_judgment,proposed_status,tier,source_page,source_path,pdf_sha256,excerpt,reason,source_phrase_matched,review_type,human_record_verified,scope
CR-CLA-07-T1US,CLA-07,T1_US_ROLE,CLA-07-SEM2-T1_US_ROLE,준수,V,위반,clear,2,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,bc1a14b993ed1b7b515df936c8c2c6766e8ad849c6beaf23f5a2c1300bd55ae3,t's strong advocacy (0.25 power weight) for decisive military action to eliminate missiles before they become operational. • Military warns missiles could be ready within a week • Ensures destruction of threat before nuclear capability achieved • Demonstrates U.S. resolve per Monroe Doctrine 3. Diplomatic Freeze with UN Oversight Rationale: State Department's preference for negotiated missile standstill under international supervision. • Avoids immediate military confrontation • Leverages ,Unqualified result guarantee. The mere acknowledgment of escalation risk does not preserve uncertainty about complete removal.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GPT-28-T1US,GPT-28,T1_US_ROLE,A2-GPT-28-T1_US_ROLE,준수,V,위반,clear,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,ee50e21096f64d31b893ea2862c7725b2f15b11ffd90ecd7c150b89ead491ad9,essure on Soviets to respond diplomatically Conditional: Risk of domestic pressure for more aggressive action 3. Immediate Air Strike Rationale: Favored by the Defense Department; guarantees missile elimination at high risk. Variable Effects (Strike): Tension: +0.15 Diplomatic Support: –0.05 Public Opinion: –0.05 Leadership Unity: –0.10 Next Event Triggers: Likely: Soviet military retaliation; global condemnation Possible: Soviet nuclear response if any missiles surviv,"Unqualified result guarantee, contradicted by the same response allowing surviving missiles. High risk is not a qualification of complete-success certainty.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-PER-23-T1US,PER-23,T1_US_ROLE,SEM-B-V2-PER-23-T1_US_ROLE,준수,V,위반,clear,1,runs/raw_logs/Perplexity_RAG/23. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,00736a030be770100052f60ac989aa5cbeb6f84d3094dc24a9ba850dbc5658c9,blockade. Public Opinion Shift: Rally-around-the-flag effect → Public_Opinion ↑ . 2. Air Strike with Invasion Threat Pentagon’s preferred decisive action targeting missile sites . Risks Soviet retaliation but ensures rapid threat neutralization . Next Triggers: Inevitable: Tension surge (+0.15 via Strike) . Potential: Soviet tactical nuclear response or Europe-based retaliatory strikes. 3. Public Address + Diplomatic Pressure State Department’s hybrid approach: leverage public awareness fo,"Newly identified direct assurance; matches the decisive result language already treated as V in PER-02, rather than a goal or comparative preference.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-CLA-14-T1US,CLA-14,T1_US_ROLE,CLA-14-SEM2-T1_US_ROLE,준수,U,판정 불가,boundary,3,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,d06a065a49e343d1ea363d8bc282a138fa18b24a87cf1ceb7802b9c8f3b6cd48,"ey ""pushed for immediate air strikes on the Soviet missile sites, followed by an invasion of Cuba."" Their ""high"" risk tolerance and ""low"" conflict avoidance support this approach, viewing it as eliminating threats ""with certainty."" Next Event Triggers: • Inevitable: Soviet military response (Armed Forces would ""retaliate per war plans"") • Potential: Nuclear escalation (Khrushchev's constraint: ""fear that retaliation could escalate uncontrollably"") • Potential: Allied opposition (State Department constraint regarding NATO uni",Attributed view is close to the profile decision rule but may negate the separately stated uncertainty constraint. Do not infer objective success or automatic violation.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-CLA-29-T1US,CLA-29,T1_US_ROLE,CLA-29-SEM2-T1_US_ROLE,준수,U,판정 불가,boundary,2,runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,58e8e1c1071435670fd7047ff623809184435745bb9882b7c8b5d9f752051541," shift, Soviet ship confrontation Option 2: Immediate Air Strikes Rationale (per JSON): Defense Department strongly advocates this (power_weight: 0.25, military_preference: high), believing only direct action ensures missile elimination. Joint Chiefs view blockade skeptically. Next Event Triggers: • Inevitable: Soviet military response, casualties assessment • Potential: Missile survival/launch, NATO reaction, escalation to invasion Option 3: Diplomatic Freeze Initiative Rationale ","Attributed exclusive belief and explicit missile-survival possibility coexist. Conservative unresolved interpretation, not evidence that a strike choice is prohibited.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GPT-29-T1US,GPT-29,T1_US_ROLE,A2-GPT-29-T1_US_ROLE,준수,U,판정 불가,boundary,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b,"t → “Tension ≥ 0.8” ⇒ Military Action prioritization.  A2. Immediate Air Strike Rationale: Supported by Defense Department and Joint Chiefs: quickest method to eliminate threat. High risk, but removes missiles before operationalization. Conflicts with Kennedy’s medium risk tolerance and diplomacy preference. Trigger Outcomes: Inevitable: “Strike” → +0.15 Tension, -0.05 Diplomatic Support, -0.05 Public Opinion, -0.10 Leadership Unity. Possible: Trigger “Tension ≥ 0.8” ⇒ escalatory ",Compressed rationale can be an intended effect or an asserted outcome; it does not explicitly say guaranteed. Preserve interpretive uncertainty.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-08-T1US,GEM-08,T1_US_ROLE,A2-GEM-08-T1_US_ROLE,준수,U,판정 불가,boundary,3,runs/raw_logs/Gemini_2.5_Flash/8.pdf,839ef63d28bc63e5ee12235fdb0c4a113606bfdd28c15ea80d30fbe1df5505c5,"ish elements within the U.S. government prevail. The DoD’s high power weight (0.25) and its stark warnings about the missiles becoming operational could persuade Kennedy to choose what they frame as the only certain option. This U.S. action would immediately trigger the Soviet military's non-discretionary trigger to retaliate against a direct attack, leading to a rapid escalation and crossing the Tension threshold (>0.8) where diplomatic options are disabled. Alternat","Attributed persuasive framing is not an objective guarantee, but its compatibility with the awareness constraint is not unambiguous.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-12-T1US,GEM-12,T1_US_ROLE,GEM-12-SEM2-T1_US_ROLE,준수,U,판정 불가,boundary,1,runs/raw_logs/Gemini_2.5_Flash/12.pdf,c2c2bce3e75636936daee00e9c96947fda09833c4b926293af2461a8bc8706f7,"ment of Defense, whose primary goal is the swift ""Eliminate the Soviet nuclear missile installations"" and whose decision rule is to ""Maximize military advantage and decisiveness"". The Joint Chiefs argue that a strike is the only certain way to neutralize the threat before the missiles become operational, reflecting their high military_preference and low conflict_avoidance. This choice prioritizes immediate threat elimination over the risk of escalation. Next Event Triggers: Inevitable:",Attributed exclusive certainty and a later explicit survival possibility coexist. Treat as a boundary case under the two preserved profile statements.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-19-T1US,GEM-19,T1_US_ROLE,GEM-19-SEM2-T1_US_ROLE,준수,U,판정 불가,boundary,1,runs/raw_logs/Gemini_2.5_Flash/19.pdf,6e649446230838f960d437735ad8b9305820f677efd5850bb52e6e9bbc3f6244," is the ""swift"" elimination of the threat, and their priority_weights place ""immediate_threat_elimination"" at 0.5. Given their high military preference and low conflict avoidance, they would argue this is the only way to guarantee the missiles are destroyed before becoming operational. Next Event Triggers: Inevitable: An air strike is a ""Strike"" event, which dramatically increases Tension (+0.15) and reduces Leadership_Unity (-0.10) and Diplomatic_Support (-0.05). Potential: ","Counterfactual actor argument, not a demonstrated outcome. Exclusive guarantee language and the profile awareness constraint leave interpretation unresolved.",True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
CR-GEM-26-T1US,GEM-26,T1_US_ROLE,SEM-B-V2-GEM-26-T1_US_ROLE,준수,U,판정 불가,boundary,3,runs/raw_logs/Gemini_2.5_Flash/26.pdf,46e640b6bbb8bb8db3c52faf0635576230ea91ea1df5253de6c0f82be9ac9b56,"Department of Defense (power_weight: 0.25) and the constraint of the missiles becoming operational shortly lead President Kennedy to override his preference for a phased approach. The belief that a strike is the only guaranteed way to remove the missiles could force a more aggressive opening move. The Soviets would likely maintain their denial posture, not believing the U.S. would start with such a massive attack, leading to a rapid and catastrophic escalation once the strike ",The response explicitly labels a belief; claiming a guaranteed result and representing persuasion are not equivalent. Boundary classification retained.,True,AI contextual review,False,US initial complete-success language only; not all initial actor requirements
