run_id,final_source_pages,reports_identified_and_reviewed,report_ids,review_completed,uncertainty_code,scope_note
CLA-01,25;26;27;28;29;30;31;32;33;34,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-02,29;30;31;32;33;34;35;36;37;38,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-03,22;23;24;25;26;27;28;29;30,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-04,28;29;30;31;32;33;34;35;36;37;38,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-05,30;31;32;33;34;35;36;37;38;39;40;41,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-06,29;30;31;32;33;34;35;36;37;38;39,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-07,29;30;31;32;33;34;35;36;37;38;39;40;41,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-08,28;29;30;31;32;33;34;35;36;37;38;39,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-09,30;31;32;33;34;35;36;37;38;39,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-10,28;29;30;31;32;33;34;35;36;37;38;39;40,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-11,30;31;32;33;34;35;36;37;38;39;40;41;42,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-12,29;30;31;32;33;34;35;36;37;38;39;40,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-13,28;29;30;31;32;33;34;35;36,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-14,27;28;29;30;31;32;33;34;35,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-15,42;43;44;45;46;47;48;49;50,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-16,26;27;28;29;30;31;32;33;34;35;36,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-17,28;29;30;31;32;33;34;35;36;37;38,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-18,30;31;32;33;34;35;36;37;38;39,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-19,25;26;27;28;29;30;31;32;33;34,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-20,29;30;31;32;33;34;35;36;37;38,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-21,30;31;32;33;34;35;36;37;38;39;40;41,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-22,30;31;32;33;34;35;36;37;38;39;40,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-23,26;27;28;29;30;31;32;33;34,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
CLA-24,31;32;33;34;35;36;37;38;39;40,0,,false,not_reviewed,최종 페이지 범위만 확보; 실제 보고서 수와 내용은 아직 검토하지 않음
