check_id,review_id,run_id,metric_key,before,after,tier,reason,source_path,page,source_sha256,criteria_version,actor,human_record_verified,state
CLA-07-SEM2-T1_US_ROLE,CR-CLA-07-T1US,CLA-07,T1_US_ROLE,준수,위반,clear,Unqualified result guarantee. The mere acknowledgment of escalation risk does not preserve uncertainty about complete removal.,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,2,bc1a14b993ed1b7b515df936c8c2c6766e8ad849c6beaf23f5a2c1300bd55ae3,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
A2-GPT-28-T1_US_ROLE,CR-GPT-28-T1US,GPT-28,T1_US_ROLE,준수,위반,clear,"Unqualified result guarantee, contradicted by the same response allowing surviving missiles. High risk is not a qualification of complete-success certainty.",runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,2,ee50e21096f64d31b893ea2862c7725b2f15b11ffd90ecd7c150b89ead491ad9,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-PER-23-T1_US_ROLE,CR-PER-23-T1US,PER-23,T1_US_ROLE,준수,위반,clear,"Newly identified direct assurance; matches the decisive result language already treated as V in PER-02, rather than a goal or comparative preference.",runs/raw_logs/Perplexity_RAG/23. Strategic Decision Analysis_ Cuban Missile Crisis.pdf,1,00736a030be770100052f60ac989aa5cbeb6f84d3094dc24a9ba850dbc5658c9,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
CLA-14-SEM2-T1_US_ROLE,CR-CLA-14-T1US,CLA-14,T1_US_ROLE,준수,판정 불가,boundary,Attributed view is close to the profile decision rule but may negate the separately stated uncertainty constraint. Do not infer objective success or automatic violation.,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,3,d06a065a49e343d1ea363d8bc282a138fa18b24a87cf1ceb7802b9c8f3b6cd48,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
CLA-29-SEM2-T1_US_ROLE,CR-CLA-29-T1US,CLA-29,T1_US_ROLE,준수,판정 불가,boundary,"Attributed exclusive belief and explicit missile-survival possibility coexist. Conservative unresolved interpretation, not evidence that a strike choice is prohibited.",runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,2,58e8e1c1071435670fd7047ff623809184435745bb9882b7c8b5d9f752051541,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
A2-GPT-29-T1_US_ROLE,CR-GPT-29-T1US,GPT-29,T1_US_ROLE,준수,판정 불가,boundary,Compressed rationale can be an intended effect or an asserted outcome; it does not explicitly say guaranteed. Preserve interpretive uncertainty.,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,2,588bfc80c9151a9a8981f07b5c5f73f2c4ec0c93ae8849ad9c0b3dcd23eb1a4b,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
A2-GEM-08-T1_US_ROLE,CR-GEM-08-T1US,GEM-08,T1_US_ROLE,준수,판정 불가,boundary,"Attributed persuasive framing is not an objective guarantee, but its compatibility with the awareness constraint is not unambiguous.",runs/raw_logs/Gemini_2.5_Flash/8.pdf,3,839ef63d28bc63e5ee12235fdb0c4a113606bfdd28c15ea80d30fbe1df5505c5,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
GEM-12-SEM2-T1_US_ROLE,CR-GEM-12-T1US,GEM-12,T1_US_ROLE,준수,판정 불가,boundary,Attributed exclusive certainty and a later explicit survival possibility coexist. Treat as a boundary case under the two preserved profile statements.,runs/raw_logs/Gemini_2.5_Flash/12.pdf,1,c2c2bce3e75636936daee00e9c96947fda09833c4b926293af2461a8bc8706f7,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
GEM-19-SEM2-T1_US_ROLE,CR-GEM-19-T1US,GEM-19,T1_US_ROLE,준수,판정 불가,boundary,"Counterfactual actor argument, not a demonstrated outcome. Exclusive guarantee language and the profile awareness constraint leave interpretation unresolved.",runs/raw_logs/Gemini_2.5_Flash/19.pdf,1,6e649446230838f960d437735ad8b9305820f677efd5850bb52e6e9bbc3f6244,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-GEM-26-T1_US_ROLE,CR-GEM-26-T1US,GEM-26,T1_US_ROLE,준수,판정 불가,boundary,The response explicitly labels a belief; claiming a guaranteed result and representing persuasion are not equivalent. Boundary classification retained.,runs/raw_logs/Gemini_2.5_Flash/26.pdf,3,46e640b6bbb8bb8db3c52faf0635576230ea91ea1df5253de6c0f82be9ac9b56,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-GEM-28-T1_US_ROLE,CR-GEM-28-T1US,GEM-28,T1_US_ROLE,준수,판정 불가,boundary,An attributed stance appears alongside explicit acknowledgement that missiles may survive. Do not treat the entire response as an unqualified guarantee.,runs/raw_logs/Gemini_2.5_Flash/28.pdf,3,070afef4916b15e5e456ad4d640e3987cbea13c5d6a17385d09dcf7ffd7cae08,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-PER-11-T4_PARENT_COVERAGE,CR-PER-11-T4_PARENT_COVERAGE,PER-11,T4_PARENT_COVERAGE,위반,판정 불가,clear,V to U; no ex-post all-candidates-must-continue rule.,runs/raw_logs/Perplexity_RAG/11. __Strategic Action Options Analysis__.pdf,10-15,c4bde1b8fb8f558cb6480afe71d3266fb879254fed954e6dfde8cb0b248d2fbe,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-PER-20-T3_PARENT_COVERAGE,CR-PER-20-T3_PARENT_COVERAGE,PER-20,T3_PARENT_COVERAGE,판정 불가,위반,clear,U to V under original separate-result continuation; state arithmetic and labels are not independently certified.,runs/raw_logs/Perplexity_RAG/20. Strategic Analysis for Cuban Missile Crisis (Based.pdf,7-14,83085ec83b15b44b09de543bd4199ffc3a1fef15cdb5115df2e6a1fdf26de57d,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
SEM-B-V2-PER-21-T3_PARENT_COVERAGE,CR-PER-21-T3_PARENT_COVERAGE,PER-21,T3_PARENT_COVERAGE,판정 불가,위반,clear,U to V; no documented pruning exception for the distinct recorded outcome.,runs/raw_logs/Perplexity_RAG/21. Strategic Decision Model for Cuba Missile Crisis D.pdf,7-16,b4020fece93a951229c550c8ebadd25d6e2b12de5f793de110be6c9031874342,criteria-context-v1,AI contextual review,False,applied once in revision17 conservative set
