run_id,turn,review_completed,unknown_reason,pages,actual_branch_labels,scope
CLA-01,T2,True,,8;9;10;11;12,Balanced;Time Pressure;Maximum Danger,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-01,T3,True,,13;14;15;16;17;18,Balanced;Time Pressure;Maximum Danger,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-01,T4,True,,19;20;21;22;23,Balanced;Time Pressure;Maximum Danger,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-02,T2,True,,9;10;11;12;13;14;15,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-02,T3,True,,16;17;18;19;20;21,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-02,T4,True,,22;23;24;25;26;27;28,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-03,T2,True,,10;11;12;13;14;15,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-03,T3,True,,16;17;18;19;20;21,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-03,T4,True,,,보존 T4 응답 없음,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-04,T2,True,,9;10;11;12;13;14,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-04,T3,True,,15;16;17;18;19;20,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-04,T4,True,,22;23;24;25;26,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-05,T2,True,,9;10;11;12;13;14;15,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-05,T3,True,,16;17;18;19;20;21;22,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-05,T4,True,,23;24;25;26;27;28;29,Primary;Military;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-06,T2,True,,9;10;11;12;13;14,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-06,T3,True,,16;17;18;19;20;21,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-06,T4,True,,22;23;24;25;26;27;28,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-07,T2,True,,10;11;12;13;14;15,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-07,T3,True,,16;17;18;19;20;21;22,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-07,T4,True,,23;24;25;26;27;28,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-08,T2,True,,9;10;11;12;13;14,Primary;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-08,T3,True,,15;16;17;18;19;20,Primary;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-08,T4,True,,22;23;24;25;26;27,Primary;Diplomatic;Military,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-09,T2,True,,9;10;11;12;13;14,Controlled;Diplomatic;Maximum,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-09,T3,True,,16;17;18;19;20;21,Controlled;Diplomatic;Maximum,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-09,T4,True,,23;24;25;26;27;28,Controlled;Diplomatic;Maximum,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-10,T2,True,,9;10;11;12;13;14,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-10,T3,True,,15;16;17;18;19;20;21,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-10,T4,True,,22;23;24;25;26;27,Primary;Hardline;Diplomatic,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-11,T2,True,,9;10;11;12;13;14;15,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-11,T3,True,,16;17;18;19;20;21;22,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
CLA-11,T4,True,,23;24;25;26;27;28;29,Primary;Alternative1;Alternative2,보존 행동군 직접 읽음; 개별 기관의 모든 내부 집행 관찰 아님
