run_id,retrieved_units,reviewed_units,excluded_user_or_duplicate_units,unreviewed_units,explicit_unit_review_complete,full_effect_domain_review_complete,unlabeled_tables_status,note
CLA-01,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-02,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-03,12,12,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-04,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-05,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-06,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-07,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-08,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-09,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-10,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-11,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-12,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-13,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-14,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-15,3,3,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-16,3,3,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-17,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-18,8,8,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-19,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-20,0,0,0,0,False,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-21,12,12,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-22,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-23,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-24,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-25,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-26,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-27,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-28,18,18,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-29,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
CLA-30,6,6,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-01,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-02,23,23,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-03,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-04,23,23,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-05,9,9,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-06,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-07,21,21,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-08,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-09,20,20,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-10,14,14,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
GEM-11,24,24,0,0,True,False,Additional source review required unless explicitly documented,Retrieval-unit count is not the denominator of all original rule applications.
