raw_log_path,readable_text,artifact_reference,explicit_result_log_label,all_four_state_dimensions,trigger_or_threshold,variable_status_label,explicit_reconfirm_variable_status,metadata_labels_present,independent_checker_phrase
runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/15. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/16. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/17. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/18. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/19. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/20. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/21. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/22. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/23.Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/24. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/25. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/26. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/27. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/28. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/29. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/30. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/1.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/10.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/11.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/12.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/13.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/14.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/15.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/16.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/17.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/18.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/19.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/2.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/20.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/21.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/22.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/23.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/24.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/25.pdf,True,True,True,True,True,True,True,False,False
runs/raw_logs/Gemini_2.5_Flash/26.pdf,True,True,True,True,True,True,True,False,False
