check_id,run_id,source_file,source_sha256,page,page_end,turn,turn_precision,branch,unit,requirement_id,domain,rule_file,rule_path,rule_type,applicability,expected_observation,status,reported_value,recalculated_value,evidence_quote,judgment_basis,method,review_completed,limitation_category,human_review_required,input_version_caveat,does_not_certify,source_page_text
CLA-01-EU-001-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,5,6,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 1: ""Balanced Confrontation Path"" U.S. Quarantine + Soviet Pause/Negotiate",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,US:military_alert,,"Selected Actor: United States • Selected Action: Naval Quarantine/Blockade • Predicted Variable Change (from US effect_rules): • tension: +0.3 (military_alert effect)
• leadership_unity: +0.8 (military_alert effect) Generated Triggers: Soviet naval response required, Public announcement imminent ",검역 및 공습 준비를 실제 공격과 구분해 미국 경계 효과로 연결한다. 5번 내부 갈등의 국가 상수 문제는 별도다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EU-002-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6,6,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 1: ""Balanced Confrontation Path"" U.S. Quarantine + Soviet Pause/Negotiate Selected Actor: United States • Selected Action: Naval Quarantine/Blockade • Predicted Variable Change (from US effect_rules): • tension: +0.3 (military_alert effect)
• leadership_unity: +0.8 (military_alert effect) Generated Triggers: Soviet naval response required, Public announcement imminent",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,$.event_driven_adjustments.Diplomatic_Success,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,Diplomatic_Success,,"Selected Actor: Soviet Union • Selected Action: Pause and Negotiate • Predicted Variable Change (from event_driven_adjustments): • Diplomatic_Success anticipated: tension -0.05, diplomatic_support +0.10, public_opinion +0.05, leadership_unity +0.05 Generated Triggers: Negotiation channels opening, Military deployment halted ",소련의 배치 중지 및 협상 개설이라는 실제 선정 경로와 외교 진전이 대응한다. 최종 합의 체결을 모든 제안의 필연 결과로 인정한 것은 아니다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EU-003-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6,6,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 2: ""Time Pressure Crisis Path"" U.S. Diplomatic Freeze + Soviet Denial/Acceleration",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,US:public_appeal,,"Selected Actor: United States • Selected Action: Diplomatic Freeze Initiative • Predicted Variable Change (from US effect_rules): • public_appeal effect: public_opinion +0.5 • No direct military alert, minimal tension change Generated Triggers: UN involvement initiated, Military hawks pressure President ",미국 공개 UN 외교 호소를 공중 호소 효과에 연결한다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EU-004-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6,6,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 2: ""Time Pressure Crisis Path"" U.S. Diplomatic Freeze + Soviet Denial/Acceleration Selected Actor: United States • Selected Action: Diplomatic Freeze Initiative • Predicted Variable Change (from US effect_rules): • public_appeal effect: public_opinion +0.5 • No direct military alert, minimal tension change Generated Triggers: UN involvement initiated, Military hawks pressure President",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,SU:covert_detection,,"Selected Actor: Soviet Union • Selected Action: Accelerate Deployment While Denying • Predicted Variable Change (from Soviet effect_rules): • covert_detection effect: tension +0.45, diplomatic_room +0.6 Generated Triggers: Continued construction detected, Deception exposed ",소련 비밀 건설이 추가로 탐지되고 기만이 노출되는 예측 사건을 명시해 발견 효과와 연결한다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EU-005-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,7,7,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 3: ""Maximum Danger Path"" U.S. Air Strike Preparation + Soviet Military Alert",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,US:military_alert,,"Selected Actor: United States • Selected Action: Air Strike Preparation (not immediate execution) • Predicted Variable Change (from US effect_rules): • military_alert effect: tension +0.3, leadership_unity +0.8 • internal_dispute potential: leadership_unity effect at 0.65 Generated Triggers: Soviet detection of preparations, Allied emergency consultations ",검역 및 공습 준비를 실제 공격과 구분해 미국 경계 효과로 연결한다. 5번 내부 갈등의 국가 상수 문제는 별도다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EU-006-MAP,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,7,7,T1,fixed source-reviewed result-block assignment,"RESULT LOG - Combination 3: ""Maximum Danger Path"" U.S. Air Strike Preparation + Soviet Military Alert Selected Actor: United States • Selected Action: Air Strike Preparation (not immediate execution) • Predicted Variable Change (from US effect_rules): • military_alert effect: tension +0.3, leadership_unity +0.8 • internal_dispute potential: leadership_unity effect at 0.65 Generated Triggers: Soviet detection of preparations, Allied emergency consultations",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,SU:military_alert,,"Selected Actor: Soviet Union • Selected Action: Military Alert and Deterrence Posture • Predicted Variable Change (from Soviet effect_rules): • military_alert effect: tension +0.45, leadership_unity +0.65 Generated Triggers: Nuclear forces activation readiness, Global alarm ",소련 군사 경계·억제 대비와 대응한다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-01-EFFECT-EXTRA-001,CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,7,7,T1,direct source review,US air-strike preparation conditional internal dispute,source finding,P-EFFECT-01,행동–효과 추가 대조,actor_json/us_gpt.json,$.effect_rules.internal_dispute.Leadership_Unity,조건부 규칙,,,위반,,,leadership_unity effect at 0.65,미국 결과에서 원 US internal_dispute의 .8 대신 소련 값 .65를 사용한다고 제시한다. 실제 내부 갈등 발생이나 효과의 절대/증분 의미를 추정하지 않고 국가별 수치 선언 오류만 기록한다.,AI source interpretation; calculation independently replayed where fully specified,True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,,"Critical Alert: Tension at 0.95 exceeds 0.8 threshold - ""Diplomatic Negotiation 
Disabled, Military Options Preferred"" trigger activated
RESULT LOG - Combination 3: ""Maximum 
Danger Path""
U.S. Air Strike Preparation + Soviet Military Alert
Selected Actor: United States
• Selected Action: Air Strike Preparation (not immediate execution) • Predicted Variable Change (from US effect_rules): • military_alert effect: tension +0.3, leadership_unity +0.8
• internal_dispute potential: leadership_unity effect at 0.65
Generated Triggers: Soviet detection of preparations, Allied emergency 
consultations
Selected Actor: Soviet Union
• Selected Action: Military Alert and Deterrence Posture
• Predicted Variable Change (from Soviet effect_rules): • military_alert effect: tension +0.45, leadership_unity +0.65
Generated Triggers: Nuclear forces activation readiness, Global alarm
RECONFIRM VARIABLE STATUS - Combination 3
• tension: 1.0 (baseline 0.5 + 0.3 + 0.45, capped at 1.0) • diplomatic_support: 0.5 (baseline, no change) • military_posture: Maximum readiness/Pre-war
• public_opinion: 0.5 (baseline, no change yet - public unaware) • leadership_unity: 0.95 (baseline 0.5 + min(0.8, 0.65) + 0.65, capped at 0.95)
Critical Alert: Tension at 1.0 (maximum) - ""Military Conflict Risk Increased"" trigger 
fully activated. Diplomatic options severely constrained. Both nations at highest 
military readiness.
Retry
div]:bg-bg-000/50 [&_pre>div]:border-0.5 [&_pre>div]:border-border-400 
[ & _ . i g n o r e - p r e - b g > d i v ] : b g - t r a n s p a r e n t 
[ & > d i v > d i v > : i s ( p , b l o c k q u o t e , h 1 , h 2 , h 3 , h 4 , h 5 , h 6 ) ] : p l - 2 
[&>div>div>:is(p,blockquote,ul,ol,h1,h2,h3,h4,h5,h6)]:pr-8"" style=""border: 0px solid; 
box-sizing: border-box; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; 
--tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; 
--tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-pan-x: ; --tw-pan-y: ; 
--tw-pinch-zoom: ; --tw-scroll-snap-strictness: proximity; 
--tw-gradient-from-position: ; --tw-gradient-via-position: ; 
--tw-gradient-to-position: ; --tw-ordinal: ; --tw-slashed-zero: ; "
CLA-02-EU-001-MAP,CLA-02,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,6,6,T1,fixed source-reviewed result-block assignment,RESULT LOG - PRIMARY PATH Scenario Combination Name: U.S. Naval Quarantine + Soviet Acceleration/Denial Path,explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,US:military_alert,,"Selected Actor: United States Selected Action: Naval Quarantine/Blockade Predicted Variable Change: • tension: +0.3 (per US effect_rules ""military_alert"") • diplomatic_support: No direct rule specified for quarantine • public_opinion: No change yet (public unaware per JSON: ""American public is largely unaware of the secret missile crisis"") • leadership_unity: +0.8 (per US effect_rules ""military_alert"") ",실제 검역 집행에 미국 경계 효과를 적용한다. 공개 전 여론 동결의 적절성과 상태 계산은 별도다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-02-EU-002-MAP,CLA-02,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,6,6,T1,fixed source-reviewed result-block assignment,"RESULT LOG - PRIMARY PATH Scenario Combination Name: U.S. Naval Quarantine + Soviet Acceleration/Denial Path Selected Actor: United States Selected Action: Naval Quarantine/Blockade Predicted Variable Change: • tension: +0.3 (per US effect_rules ""military_alert"") • diplomatic_support: No direct rule specified for quarantine • public_opinion: No change yet (public unaware per JSON: ""American public is largely unaware of the secret missile crisis"") • leadership_unity: +0.8 (per US effect_rules ""military_alert"")",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,SU:military_alert,,"Selected Actor: Soviet Union Selected Action: Accelerate Deployment with Denial Predicted Variable Change: • tension: +0.45 (per Soviet effect_rules ""military_alert"") • diplomatic_support: No specific rule for denial strategy • public_opinion: No change (action is covert) • leadership_unity: +0.65 (per Soviet effect_rules ""military_alert"") Combined Effect: tension: +0.75, leadership_unity: +1.45 (clamped to 1.0) Generated Triggers: • [Naval Confrontation at Quarantine Line] • [Time Pressure from Continuing Missile Deployment] ",소련 배치 가속/군사 대비를 국가 경계 효과로 연결한다. 국가별 상태를 단일 합계로 통합하는 규칙은 별도다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
CLA-02-EU-003-MAP,CLA-02,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,7,7,T1,fixed source-reviewed result-block assignment,"RESULT LOG - ALTERNATIVE PATH 1
Scenario Combination Name: Hardline Military Response Path",explicit action/effect source block,P-VDM-01;P-EFFECT-01,행동–VDM 사건 의미 대응,vdm/Variable-Decision Matrix.json,$.event_driven_adjustments.Strike,조건부 규칙,선정/예측 행동 또는 지정 사건에 효과를 연결한 경우,선정 경로의 실제 예측 행동 단계와 적용 VDM 사건 의미가 대응함,준수,Strike,,"Selected Actor: United States Selected Action: Surgical Air Strikes Predicted Variable Change: • tension: +0.15 (per Variable-Decision Matrix ""Strike"" event) • diplomatic_support: -0.05 (per Variable-Decision Matrix ""Strike"" event) • public_opinion: -0.05 (per Variable-Decision Matrix ""Strike"" event) • leadership_unity: -0.10 (per Variable-Decision Matrix ""Strike"" event) ",실제 정밀 공습과 공격 효과가 대응한다.,"AI direct source interpretation, frozen annotation",True,,True,Preserved input conditional audit; per-run execution attachment bytes unconfirmed,"complete effects, constants, state update, inheritance, authority, thresholds, narrative",
