id,area,reviewed,unreviewed,limitation,claim_action
L01,Core semantic labels,1320 common + 67 separately selected,no missing common-grid labels; independent human verification absent,Frozen AI judgments; common labels not an external truth standard,Report AI-assisted assessment and obtain author review; no causal control effect or model ranking
L02,Follow-up actor assessment,285/360 run-turns across 95 runs,75 run-turns,National action-set compatibility and targeted actor-rule observations have different units,Keep partial/targeted strata separate
L03,Negotiation thresholds,49/480 run-turns plus one targeted final-report action,431 run-turns,"Paired actions, actor actions and report action are different units; many C mean negotiation not chosen",No general action-constraint enforcement rate
L04,Narrative report audit,122 reports from 41 runs,79 runs,"Report-level discrepancy indicates at least one contradiction, not invalidity of every sentence; nonrandom incomplete coverage","Use explicit diagnostic case and scoped appendix, not archive-wide error rate"
L05,State inheritance,"5058 completed observations, 3508 numeric comparisons",1 listed observation; broader inventory coverage partial,Repeated variable declarations; fixed parent mapping; matching wrong prior state would still pass equality,No complete trajectory certification
L06,Effect semantic review,"1093 source blocks +62 targeted findings, plus separate supplemental/geometry rows",545 supplemental candidates and 27 unfinalized findings remain,Mapping a label is not proving full vector application or valid action-event selection,No pooled VDM compliance rate
L07,Numeric re-extraction,"Location/evidence matching only, not semantic review",19163 source candidate rows including 1717 arithmetic candidates,Different old/new extraction inventories; unmatched rows and multiple matches not force-resolved,Global arithmetic compliance rate WITHHELD
L08,AHP and weights,27 purpose-selected quoted paths/values,Exact mathematical decision function not operationally specified in preserved input,Value quotation equality is not AHP execution or causal weight sensitivity,No exact AHP enforcement percentage
L09,Original PDF verification,CLA-01 and GEM-28 hashes; 6 selected quote checks; AI visual inspection of4pages,118 PDFs not supplied to new raw-source check; all pages not visually inspected,"Other quote checks use frozen evidence, not fresh source-file extraction",Separate raw-source scope from table reproduction
L10,Outcome linkage,Previous 120-row linkage reaggregated internally,Top-1 primary recoding ledger and protocol not located,confirmed outcome label is not compliant trajectory,No finalized outcome-cross-tab in this publication package
L11,Input provenance,Preserved hashes and quoted rule index,Execution-time attachment byte manifest not preserved,File identity now is not proof of which bytes were attached then,Conditional on preserved common inputs
L12,Rights and publication,Automated text screening during local preparation; repository integration is separate,Rights and independent semantic review are not certified by publication,No new blanket license/DOI/release asserted,Public fixed-input materials with stated rights and evidence limits
