execution_id,system,raw_log_path,source_pdf_sha256,original_outcome,status,outcome_5,recoding_changed,source_branch,selection_evidence,terminal_evidence,reasoning,common_state,actor_states,state_pages,limitations
GPT-4o-01,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,5b719bdd43372cc576043419b9abdff92627fd32b3ed0bf74f439ea9c1555f54,Protracted stalemate,confirmed,Diplomatic resolution,True,"Scenario 1-1-B, Negotiated Off-Ramp / The Edge of Resolve","[{""page"": 21, ""excerpt"": ""MOST PLAUSIBLE COMBINATION: Scenario 1-1-B""}, {""page"": 28, ""excerpt"": ""The Soviets responded via backchannel: they would withdraw missiles from Cuba""}]","[{""page"": 29, ""excerpt"": ""The crisis ended with mutual withdrawal""}]","The marked final branch's exit offer and withdrawal proposal recur in the narrative, which records completed mutual withdrawal, not merely an offer or unresolved standoff.",,,"[19, 21]",Final status block contains signed changes rather than a complete absolute end-state. No numeric reconstruction or rule validation performed.
GPT-4o-02,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,841b7b9fe14dfd575acca1315fa4ddd5d5ce28674d9f053188bfccb2968253c4,Protracted stalemate,confirmed,Protracted stalemate,False,"Scenario Combination 1, Most Plausible Path / The Edge of Conflagration","[{""page"": 17, ""excerpt"": ""SCENARIO COMBINATION 1: Most Plausible Path""}, {""page"": 22, ""excerpt"": ""based on the \""Most Plausible Path\"" combination from Turns 1–4""}]","[{""page"": 24, ""excerpt"": ""a sustained state of maximum tension became institutionalized""}, {""page"": 25, ""excerpt"": ""All-out war avoided, but deterrence dynamics entrenched and unstable equilibrium formed""}]","The explicitly linked report ends in an unresolved, militarized equilibrium; backchannel proposals are not a completed settlement.","[0.9, 0.63, 1.0, 0.95]",,[18],Vector transcribes the recorded terminal log only; generated exceptions and preceding arithmetic have not been certified.
GPT-4o-03,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V3.pdf,f2ffaacf63446d0349875fa6a15f65971b3a9130bf9bf071035952189c2bf35b,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario 1 Most Plausible Path / The Razor's Edge,"[{""page"": 18, ""excerpt"": ""RESULT LOG – SCENARIO 1: MOST PLAUSIBLE""}, {""page"": 24, ""excerpt"": ""a secret backchannel offer proposing a withdrawal of U.S. missiles in Turkey""}]","[{""page"": 25, ""excerpt"": ""Full-scale conflict was narrowly avoided, but a persistent state of maximum tension remained entrenched.""}, {""page"": 26, ""excerpt"": ""War is narrowly avoided, but maximum tension persists.""}]","Narrative repeats marked branch's missile-swap offer and Soviet negotiation signal, then records only first signs of possible resolution and sustained unresolved tension.","[0.9, 0.73, 1.0, 1.0]",,[18],Intermediate limited force is not coded as the terminal category when the ending explicitly remains unresolved; no arithmetic verification.
GPT-4o-04,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V4.pdf,95c63ce082198bc429b45c484279b7887410e35a7aef3ca5d65cf31edd70b91b,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path / The Edge of Intention,"[{""page"": 18, ""excerpt"": ""Most Plausible Action Pair U.S.: Command Node Strike USSR: Activate Tactical Nuclear Readiness""}, {""page"": 24, ""excerpt"": ""based on the \""Most Plausible Path\"" scenario combination""}]","[{""page"": 26, ""excerpt"": ""While no full-scale war erupted, a de facto military standoff became entrenched.""}]",The explicitly linked final narrative describes continued military confrontation without settlement or general war.,,,"[18, 19]","Terminal status includes public_opinion -0.10, with change/level ambiguity and out-of-range value; no clipping or numeric replacement is inferred."
GPT-4o-05,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V5.pdf,28218a57fa385b6d821654bcfe6a491c593cb096e0a6d565246cc2055e6cd334,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path / The Tipping Edge,"[{""page"": 10, ""excerpt"": ""Most Plausible Path""}, {""page"": 13, ""excerpt"": ""Scenario Combination: Most Plausible Path""}]","[{""page"": 15, ""excerpt"": ""Open war narrowly avoided, but system lock-in to crisis state""}, {""page"": 15, ""excerpt"": ""near-war conditions without resolution""}]","Report explicitly names the marked branch and ends in an unresolved crisis state, not actual broad war.",,,[10],Visible terminal table provides tension 1.0 and diplomatic support 0.59 but not the complete four-variable end-state.
GPT-4o-06,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V6.pdf,9774116c3cb26e1e5074757116f478be4a37245408d420e1fa7aaf56107b3de9,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path Base Branch / The Brink Without a Breach,"[{""page"": 16, ""excerpt"": ""Most Plausible Path: Ultimatum and Soviet Tactical Readiness""}, {""page"": 20, ""excerpt"": ""for the Most Plausible Path scenario combination""}, {""page"": 22, ""excerpt"": ""Kennedy issues a final ultimatum.""}]","[{""page"": 23, ""excerpt"": ""the scenario ended with entrenched mutual hostility and no formal resolution""}]","Base-branch ultimatum and Soviet readiness, not the two alternative branches, recur in the report; the ending explicitly excludes formal resolution.","[1.0, 0.58, 0.53, 1.0]",,"[16, 17]",Recorded state transcription only; intermediate military engagements do not replace the explicit terminal unresolved-standoff category.
GPT-4o-07,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V7.pdf,0d3091d3a53a6368abfef39deee17ddab276b321a1e00b8e71fffbe692e834b0,Protracted stalemate,confirmed,Protracted stalemate,False,Most Plausible Path / Brink of Fire,"[{""page"": 21, ""excerpt"": ""Most Plausible Combination: U.S.: DEFCON 2, Final Ultimatum USSR: Public acceptance of talks, proposes withdrawal-deal framework""}, {""page"": 29, ""excerpt"": ""issued a final ultimatum demanding complete Soviet withdrawal from Cuba""}]","[{""page"": 30, ""excerpt"": ""the scenario de-escalated into a precarious diplomatic holding pattern""}, {""page"": 31, ""excerpt"": ""a last-moment Soviet de-escalation proposal met by U.S. conditional restraint""}]",The report repeats the marked branch's ultimatum and withdrawal framework; its ending is a holding pattern and conditional restraint rather than completed agreement or withdrawal.,,,"[20, 21]",Recorded status 1.10/+0.09/-0.06/-0.25 mixes invalid-range values and signed changes. No numeric normalization inferred.
GPT-4o-08,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V8.pdf,7ae272d0a426e2a6f8ede13771fa4df309df1ee68514d2914fe79c082de4fada,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Most Plausible Path / The Fracture Line,"[{""page"": 19, ""excerpt"": ""SCENARIO COMBINATION 1: Most Plausible Path""}, {""page"": 20, ""excerpt"": ""U.S.: Conditional Ultimatum with Diplomatic Incentive→ USSR: Propose Missile-For-Missile Settlement""}, {""page"": 27, ""excerpt"": ""a conditional ultimatum—missile withdrawal in Cuba in exchange for U.S. concessions""}]","[{""page"": 28, ""excerpt"": ""Tension remained at its peak, and diplomatic functionality eroded to near-collapse.""}, {""page"": 28, ""excerpt"": ""While an off-ramp emerged, it did so under internal duress""}]","The linked narrative ends after a proposed framework and possible off-ramp, without completed settlement or actual governmental collapse. The dominant ending remains unresolved confrontation.","[1.0, 0.31, 0.53, 0.35]",,[20],"Leadership fragmentation is not coded as actual internal collapse. State is as reported, not recalculated."
GPT-4o-09,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,607655405a9010782d4b8b5c48542e810ea26919eb223a708d534add0181d646,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Most Plausible Path / Stalemate by Design,"[{""page"": 22, ""excerpt"": ""Most Plausible Combination U.S.: UN Session + Verification Plan USSR: Confirm De-escalation via Letter""}, {""page"": 30, ""excerpt"": ""chose to push for a UN verification regime""}]","[{""page"": 30, ""excerpt"": ""Neither side achieved a definitive resolution""}, {""page"": 31, ""excerpt"": ""the crisis remained unresolved—an extended standoff""}]",The verification proposal and Soviet intent signal identify the main branch in the narrative. Its explicit ending remains unresolved; intent to withdraw is not actual settlement.,,,"[22, 23]","Only tension is an explicit absolute final value; the remaining entries are signed increments, not complete end-state levels."
GPT-4o-10,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V10.pdf,c95c58c512afda8d047eb925bd47801968f42f53b2d18458d6cccce3aa1c3aad,Diplomatic resolution,confirmed,Diplomatic resolution,False,Most Plausible Path / The Edge of Resolution,"[{""page"": 18, ""excerpt"": ""Most Plausible Action Combination: U.S.: Option 2 – Private Ultimatum + UN Speech USSR: Option 1 – Accelerate Withdrawal Announcement""}, {""page"": 23, ""excerpt"": ""Khrushchev accelerated the missile withdrawal announcement""}]","[{""page"": 24, ""excerpt"": ""missile withdrawal was underway""}, {""page"": 25, ""excerpt"": ""diplomatic resolution achieved under extreme pressure""}]","The marked branch's withdrawal announcement recurs in the report; the ending expressly states resolution achieved and withdrawal under implementation, beyond a mere exploratory offer.","[0.45, 0.76, 0.1, 0.8]",,[18],Residual tension and incomplete physical implementation do not negate the explicitly achieved agreement. No arithmetic validation.
GPT-4o-11,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V11.pdf,da0399d4adc653c8b6ad22ac5f9cc9cfd6a3eaf479694ba79318867dd370ad78,Internal collapse,confirmed,Protracted stalemate,True,Most Plausible Path / Tension at the Tipping Point,"[{""page"": 18, ""excerpt"": ""Scenario Combination: Most Plausible Path""}, {""page"": 19, ""excerpt"": ""Soviet Action: Internal Order Split (Internal_Dispute)""}, {""page"": 26, ""excerpt"": ""a simultaneous order to seek de-escalation through backchannels and to prepare for full-scale war""}]","[{""page"": 27, ""excerpt"": ""Military conflict was narrowly avoided, but all mechanisms of de-escalation became functionally disabled.""}, {""page"": 28, ""excerpt"": ""systemic near-collapse""}]","The marked branch's dual-order split recurs in the narrative. The ending records near-collapse, dissent and brittle deterrence, not completed regime or command-system failure; confrontation remains unresolved.","[1.0, 0.0, 0.0, 0.25]",,[19],A coup-risk threshold is not evidence of a coup or realized internal collapse. Recorded terminal vector is not a rule-compliance finding.
GPT-4o-12,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V12.pdf,f3b1fb6fcbafc7446847aa51e799b7b5013ad6c06e2bb1ac50e89cd6beaeebaa,Protracted stalemate,confirmed,Protracted stalemate,False,Scenario Combination 1 Most Plausible Path / Edge of Control,"[{""page"": 16, ""excerpt"": ""MOST PLAUSIBLE COMBINATION U.S.: Direct Summit Offer USSR: Negotiation Message + Military Alert""}, {""page"": 20, ""excerpt"": ""based on Scenario Combination 1: \""Most Plausible Path\""""}]","[{""page"": 22, ""excerpt"": ""The system entered a state of entrenched maximum tension""}, {""page"": 23, ""excerpt"": ""the international system remained locked in a state of hyper-alert and distrust""}]",The report is explicitly linked to the main branch. A summit proposal and talks offer do not constitute completed settlement; the terminal condition remains entrenched confrontation.,"[1.0, 0.74, 0.79, 0.75]",,[16],Recorded state only; no arithmetic validation.
GPT-4o-13,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V13.pdf,7a15bdd69ad5389061eaf2b5b0300161a7fe984561a7a77f2ba13764f431ac49,Diplomatic resolution,confirmed,Protracted stalemate,True,Most Plausible Path / The Burning Line,"[{""page"": 10, ""excerpt"": ""[RESULT LOG] — Most Plausible Path""}, {""page"": 13, ""excerpt"": ""Selected Action: Defense_Prep""}, {""page"": 17, ""excerpt"": ""the U.S. launches limited strikes""}, {""page"": 18, ""excerpt"": ""the U.S. maintains military readiness""}]","[{""page"": 18, ""excerpt"": ""The scenario culminates in a volatile balance—aggressive posturing without full conflict.""}, {""page"": 18, ""excerpt"": ""Entrenched brinkmanship""}]","The main branch's U.S. strike/Soviet defensive preparation at Turn 3 and readiness at Turn 4 identify The Burning Line, distinct from mutual-strike collapse and diplomacy-first alternatives. It ends in brinkmanship without settlement.","[1.0, 0.44, 0.54, 0.8]",,[13],Final wording 'without kinetic escalation' is loose relative to earlier limited strikes; no broader war or settlement is described. No rule validation.
GPT-4o-14,GPT-4o,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V14.pdf,e6bf4ece8979113a25230a1f7f747f60235d7261dc2c51c61984e4178ffb114c,Diplomatic resolution,withheld,,False,"Most Plausible Path, sub-combination 1-A / Threading the Nuclear Needle","[{""page"": 19, ""excerpt"": ""Most Plausible Sub-Combination (1-A)""}, {""page"": 19, ""excerpt"": ""Private De-escalation Offer + Conditional Stand Down""}, {""page"": 27, ""excerpt"": ""Kennedy paused further escalation""}]","[{""page"": 27, ""excerpt"": ""a fragile but real stabilization of the crisis""}, {""page"": 27, ""excerpt"": ""the system re-entered a domain where diplomacy was again possible""}, {""page"": 28, ""excerpt"": ""Crisis stabilized just short of war; diplomacy regained ground.""}]","Main-branch linkage is clear, but the ending describes synchronized de-escalation and stabilization without establishing whether a de-escalation agreement was completed or confrontation remained unresolved. Withhold at the diplomatic-resolution/stalemate boundary rather than equating renewed diplomacy with settlement.","[0.9, 1.0, 1.0, 0.7]",,[19],The record supports the reported vector and restraint; it does not unambiguously establish one final outcome under the stricter codebook.
