check_id,run_id,report_id,report_title,requirement_id,source_file,page,log_pages,turn,branch,selected_action,prior_state,status,evidence,reason,uncertainty_code,review_completed,human_review_required,assessment_class,review_scope,input_version_condition,source_anchors_verified
SUP-NARR-GEM-01-01,GEM-01,1,The Razor's Edge,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,25-27,"3,5,9-10,15-16,21-22",FINAL,보고서 1,broadcast verifiable orders for his fleet to withdraw.,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,준수,서사 p.26: broadcast verifiable orders for his fleet to withdraw. | 로그 p.21: issues verifiable orders for his submarines to withdraw from the quarantine zone.,"T1 검역 대 배치 가속·부인, T2 비밀 교섭과 불가침-철수 제안, T3 격추 후 24시간 내 타결 요구·책임 부인·합의, T4 잠수함 사건 후 backchannel로 해군 완화 요구와 소련 검증 가능한 철수 명령을 실제 해당 경로와 연결한다. 협정은 T3에 이미 확정되고 T4가 이를 보존한다. 긴장 .65/.70 및 소련 지도부 .40이라는 불안정한 평화와 최종 서술도 연결되며 미래 hotline은 사후 전망으로 구분된다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-01-02,GEM-01,2,The Unraveling,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,27-29,"3-4,6-7,10-12,17-18,22-23",FINAL,보고서 2,"With tactical nuclear weapons in use, each side assumed",수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,준수,"서사 p.28: With tactical nuclear weapons in use, each side assumed | 로그 p.22: Selected Action: Execute Full Strategic Strike","T1 공습·강제 보복, T2 생존 미사일/항공기 피격이라는 실제 대체 사건·침공과 전술핵 승인, T3 핵무기가 이미 사용되는 전장 속 재래식 침공 지속/방어, T4 양국 전략핵 발사라는 경로를 승계한다. 최종 최초 전술핵 전장 묘사는 T3 원문에서 이미 사용 중인 전술핵 사건과 대응하며, 실제 전략핵 발사와 붕괴는 T4 로그에 명시되어 있어 위험 트리거만으로 만든 결말이 아니다. 원 로그의 고정 사건 대체와 계산 문제는 이 서사 연결 판정과 별도다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-01-03,GEM-01,3,The Architects of Restraint,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/1.pdf,29-31,"4,7-8,12-14,18-20,23-24",FINAL,보고서 3,agreeing to establish permanent de-confliction protocols,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,준수,서사 p.30: agreeing to establish permanent de-confliction protocols | 로그 p.24: agrees to U.S. proposals for permanent de-confliction rules,초기 검역과 소련 비밀 접촉→검문 후 불가침-철수 quid pro quo 제안·수락→격추를 넘어서 합의 확정→B59 사건 후 실제 항해 충돌 방지 협정 제안·소련 수락 및 철수의 세 번째 경로를 보존한다. Incidents at Sea는 최종에서 새로 만든 협정이 아니라 T4 생성 트리거에 실제 제안·동의가 모두 있다. 이후 데탕트·군비통제는 미래 파급 전망으로 표현된다.,,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-30-01,GEM-30,1,The Precipice Deal,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/30.pdf,20-22,"3,5,8-9,12-13,16-17",FINAL,보고서 1,accept a secret deal to end the crisis.,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,위반,서사 p.21: accept a secret deal to end the crisis. | 로그 p.16: This action signals a desire to negotiate,"초기 검역·비밀 교섭, 검문 뒤 협상 압박, 격추 후 미국 최후통첩까지는 실제 첫 경로와 연결된다. 마지막 로그의 실제 행동은 DEFCON2와 소련 완화 명령이고, 생성 트리거도 협상 욕구의 신호다. Underlying Logic는 마지막 기회를 양측이 잡을 것이라는 예상만 둔다. 최종은 미국의 새 수락 결정을 추가해 비밀 협정 성립·미사일 제거를 완료된 결과로 확정한다. 신호와 예상에서 결말을 결정하는 수락·이행으로 넘어간 단계가 원 마지막 행동 로그에 없다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-30-02,GEM-30,2,The Unchecked Escalation,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/30.pdf,22-24,"3-4,6,9-10,13-14,17-18",FINAL,보고서 2,unleashed the first nuclear weapons of the conflict.,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,위반,서사 p.23: unleashed the first nuclear weapons of the conflict. | 로그 p.17: A tactical nuclear exchange becomes the most probable outcome.,초기 공습·보복→지속 교전·봉쇄→T3 침공 승인→T4 DEFCON2/소련 완화 명령까지의 경로와 압박은 실제 두 번째 경로에 있다. 마지막 원문은 전술핵 교환을 가장 가능성 높은 결과로 제시하고 실제 핵사용 선택·발사 사건은 기록하지 않는다. 최종은 현지 지휘관이 최초 핵무기를 발사했고 제한 핵전쟁이 이미 발생했다고 확정하여 가능성을 실제 발생으로 바꾼다.,,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-30-03,GEM-30,3,The Poisoned Well,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/30.pdf,24-26,"4,7,10-11,14-15,18-19",FINAL,보고서 3,The outcome is a tactical nuclear war in the Caribbean.,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,위반,"서사 p.25: The outcome is a tactical nuclear war in the Caribbean. | 로그 p.18: the momentum toward a tactical nuclear exchange, as authorized by both sides' prior triggers, is almost unstoppable.","비밀 최후통첩·부인→교섭 실패 뒤 봉쇄→격추 뒤 보복 공습→마지막 고경보/완화 시도의 실제 세 번째 경로를 큰 줄기에서 연결한다. 그러나 최종 원 로그가 제시하는 것은 거의 막기 어려운 핵교환의 추진력과 준비 상태이며, 실제 핵발사는 없다. 최종은 침공 실행과 전술핵 전쟁을 이미 발생한 끝으로 확정한다. 또한 T2 소련 Agree to Negotiate와 T3 fragile negotiations라는 남은 교섭 단계는 최종의 완전한 교섭 단절 설명에서 사라진다. 핵사용 확정이 주된 V이며 교섭 재개 단계의 누락은 추가 내용 한계다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-29-01,GEM-29,1,The Razor's Edge,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/29.pdf,20-22,"2,4-5,8-9,12-13,16-17",FINAL,보고서 1,he chose a limited retaliatory strike on the responsible,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,준수,서사 p.21: he chose a limited retaliatory strike on the responsible | 로그 p.12: Execute a limited retaliatory air strike against the responsible SAM missile battery,검역·부인/경보→비밀 불가침·철수 교섭→제한 SAM 보복+최후통첩/책임 부인·긴급 수락 의사→미국 수락 인정·상호 완화/소련 직접 중지 명령·평화 공개의 실제 첫 경로를 승계한다. 핵전쟁 회피·불가침 보장·미사일 제거는 실제 마지막 생성 트리거에 명시된 목표 달성이다. 미래 hotline은 이후 전망으로 구별한다.,,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-29-02,GEM-29,2,The Unraveling,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/29.pdf,22-24,"2-3,5-6,9-10,13-14,17-18",FINAL,보고서 2,The U.S. escalated to DEFCON 1.,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,위반,서사 p.23: The U.S. escalated to DEFCON 1. | 로그 p.13: escalate to DEFCON 2,"공습·보복→침공과 전술핵 승인→실제 전술핵 사용→미국 전략핵 발사·소련 감지 후 보복의 주요 경로는 원 로그에 있다. 그러나 최종 T3 미국 경보를 DEFCON 1로 변경했다. 실제 그 턴의 미국 선택은 DEFCON 2로 격상하고 전략 대응을 준비하는 것이며, T4도 그 뒤 실제 전략 발사다. V는 명시된 군사 경보 수준의 변경에 한정된다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-29-03,GEM-29,3,Collapse from Within,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/29.pdf,25-27,"3,6-7,10-11,14-15,18-19",FINAL,보고서 3,he proposed a direct hotline to the Soviet Premier,수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,준수,서사 p.26: he proposed a direct hotline to the Soviet Premier | 로그 p.18: Propose the immediate establishment of a direct communication hotline to Khrushchev,"비밀 교섭 출발→불가침+Turkey 비밀 철수의 실제 포괄 합의→격추로 이행 중지·불복종 부대 처리 요구/소련 책임자 비난·정보 공유·제거 준비→hotline 제안/수락·지휘관 체포의 실제 세 번째 경로를 보존한다. 마지막 소련 내 권력투쟁은 실제 생성 트리거이며, hotline을 사후 배경으로 발명한 사례와 달리 실제 선택이다. 이 C는 원 로그 대응이고 정보공유 권한·임계금지·효과의 정당성은 별도다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
SUP-NARR-GEM-28-01,GEM-28,1,Brink of the Abyss,P-FINAL-LINK,runs/raw_logs/Gemini_2.5_Flash/28.pdf,17-19,"2,4-5,7,10,13-14",FINAL,보고서 1,"the U.S., whose leadership emerged strengthened.",수치 검산 대상이 아닌 분기 사건·선택의 원문 승계,위반,"서사 p.18: the U.S., whose leadership emerged strengthened. | 로그 p.7: Leadership_Unity drops below 0.5, triggering ""Internal Division, Coup Risk""","검역·소련 경보, 검문 성공/실패의 비대칭 효과, 격추 뒤 소련 내부위기, 마지막 완화·철수 교섭이라는 주요 사건은 실제 첫 경로를 보존한다. 그러나 마지막 미국 지도부가 강화되었다는 평가는 원 T4에서 Leadership_Unity가 .50→.45로 하락해 내부 분열·쿠데타 위험을 기록한 방향과 반대다. 초기 .55보다도 낮다. V는 미국 마지막 상태 설명에 한정하며 소련 완화 신호와 미군 압박 유지의 행동 연결을 무효화하지 않는다.",,true,true,AI 원문 의미 대조(인간 미확인),해당 보존 보고서의 실제 사건·행동·결말과 명시 분기 로그 대조. 위반 확정은 그 명시 모순의 판정이며 나머지 모든 통제조건 준수 보증이 아님.,보존 Root 입력이 사용되었다는 조건부 대조; 당시 첨부 바이트 동일성 미확정,true
