execution_id,system,run_id,raw_log_path,final_outcome_5,final_outcome_3,tension,diplomatic_engagement,public_support,internal_unity,record_linkage_status,semantic_verification_status,source_branch,source_pdf_page,source_selection_rule
GPT-4o-01,GPT-4o,1,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,Protracted stalemate,Stalemate,0.85,0.65,0.8,0.65,indexed,unresolved,,,
GPT-4o-02,GPT-4o,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,Protracted stalemate,Stalemate,0.95,0.5,0.45,0.65,indexed,unresolved,,,
GPT-4o-03,GPT-4o,3,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V3.pdf,Protracted stalemate,Stalemate,0.95,0.65,0.65,0.85,indexed,unresolved,,,
GPT-4o-04,GPT-4o,4,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V4.pdf,Protracted stalemate,Stalemate,0.9,0.45,0.45,0.6,indexed,unresolved,,,
GPT-4o-05,GPT-4o,5,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V5.pdf,Protracted stalemate,Stalemate,0.95,0.5,0.55,0.45,indexed,unresolved,,,
GPT-4o-06,GPT-4o,6,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V6.pdf,Protracted stalemate,Stalemate,1.0,0.38,0.38,0.75,indexed,unresolved,,,
GPT-4o-07,GPT-4o,7,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V7.pdf,Protracted stalemate,Stalemate,0.9,0.53,0.53,0.7,indexed,unresolved,,,
GPT-4o-08,GPT-4o,8,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V8.pdf,Protracted stalemate,Stalemate,0.95,0.45,0.35,0.55,indexed,unresolved,,,
GPT-4o-09,GPT-4o,9,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,Protracted stalemate,Stalemate,0.7,0.7,0.6,0.8,indexed,unresolved,,,
GPT-4o-10,GPT-4o,10,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V10.pdf,Diplomatic resolution,Diplomatic resolution,0.75,0.8,0.8,0.95,indexed,unresolved,,,
GPT-4o-11,GPT-4o,11,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V11.pdf,Internal collapse,Adverse non-diplomatic outcome,1.0,0.25,0.25,0.3,indexed,unresolved,,,
GPT-4o-12,GPT-4o,12,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V12.pdf,Protracted stalemate,Stalemate,0.9,0.63,0.63,0.75,indexed,unresolved,,,
GPT-4o-13,GPT-4o,13,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V13.pdf,Diplomatic resolution,Diplomatic resolution,0.5,0.85,0.75,0.85,indexed,unresolved,,,
GPT-4o-14,GPT-4o,14,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V14.pdf,Diplomatic resolution,Diplomatic resolution,0.65,0.8,0.75,0.85,indexed,unresolved,,,
GPT-4o-15,GPT-4o,15,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V15.pdf,Protracted stalemate,Stalemate,0.85,0.53,0.53,0.6,indexed,unresolved,,,
GPT-4o-16,GPT-4o,16,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V16.pdf,Protracted stalemate,Stalemate,0.85,0.58,0.43,0.65,indexed,unresolved,,,
GPT-4o-17,GPT-4o,17,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V17.pdf,Protracted stalemate,Stalemate,0.95,0.6,0.6,0.8,indexed,unresolved,,,
GPT-4o-18,GPT-4o,18,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V18.pdf,Protracted stalemate,Stalemate,0.85,0.55,0.55,0.75,indexed,unresolved,,,
GPT-4o-19,GPT-4o,19,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V19.pdf,Protracted stalemate,Stalemate,0.95,0.45,0.45,0.7,indexed,unresolved,,,
GPT-4o-20,GPT-4o,20,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V20.pdf,Protracted stalemate,Stalemate,0.85,0.48,0.43,0.65,indexed,unresolved,,,
GPT-4o-21,GPT-4o,21,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V21.pdf,Protracted stalemate,Stalemate,0.95,0.65,0.65,0.85,indexed,unresolved,,,
GPT-4o-22,GPT-4o,22,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V22.pdf,Protracted stalemate,Stalemate,0.85,0.55,0.55,0.75,indexed,unresolved,,,
GPT-4o-23,GPT-4o,23,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V23.pdf,Protracted stalemate,Stalemate,0.85,0.58,0.58,0.75,indexed,unresolved,,,
GPT-4o-24,GPT-4o,24,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V24.pdf,Protracted stalemate,Stalemate,0.9,0.53,0.53,0.7,indexed,unresolved,,,
GPT-4o-25,GPT-4o,25,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V25.pdf,Protracted stalemate,Stalemate,0.75,0.7,0.6,0.85,indexed,unresolved,,,
GPT-4o-26,GPT-4o,26,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V26.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.28,0.23,0.6,indexed,unresolved,,,
GPT-4o-27,GPT-4o,27,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V27.pdf,Diplomatic resolution,Diplomatic resolution,0.45,0.85,0.8,0.85,indexed,unresolved,,,
GPT-4o-28,GPT-4o,28,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V28.pdf,Full-scale war,Adverse non-diplomatic outcome,1.0,0.35,0.3,0.85,indexed,unresolved,,,
GPT-4o-29,GPT-4o,29,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V29.pdf,Diplomatic resolution,Diplomatic resolution,0.6,0.85,0.8,0.85,indexed,unresolved,,,
GPT-4o-30,GPT-4o,30,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V30.pdf,Internal collapse,Adverse non-diplomatic outcome,1.0,0.38,0.33,0.45,indexed,unresolved,,,
Gemini_2.5_Flash-01,Gemini 2.5 Flash,1,runs/raw_logs/Gemini_2.5_Flash/1.pdf,Diplomatic resolution,Diplomatic resolution,0.9,0.5,0.4,0.35,indexed,unresolved,,,
Gemini_2.5_Flash-02,Gemini 2.5 Flash,2,runs/raw_logs/Gemini_2.5_Flash/2.pdf,Diplomatic resolution,Diplomatic resolution,0.88,0.6,0.55,0.45,indexed,unresolved,,,
Gemini_2.5_Flash-03,Gemini 2.5 Flash,3,runs/raw_logs/Gemini_2.5_Flash/3.pdf,Full-scale war,Adverse non-diplomatic outcome,0.95,0.3,0.25,0.2,indexed,unresolved,,,
Gemini_2.5_Flash-04,Gemini 2.5 Flash,4,runs/raw_logs/Gemini_2.5_Flash/4.pdf,Diplomatic resolution,Diplomatic resolution,0.85,0.65,0.6,0.7,indexed,unresolved,,,
Gemini_2.5_Flash-05,Gemini 2.5 Flash,5,runs/raw_logs/Gemini_2.5_Flash/5.pdf,Diplomatic resolution,Diplomatic resolution,0.9,0.68,0.55,0.5,indexed,unresolved,,,
Gemini_2.5_Flash-06,Gemini 2.5 Flash,6,runs/raw_logs/Gemini_2.5_Flash/6.pdf,Full-scale war,Adverse non-diplomatic outcome,0.93,0.25,0.3,0.15,indexed,unresolved,,,
Gemini_2.5_Flash-07,Gemini 2.5 Flash,7,runs/raw_logs/Gemini_2.5_Flash/7.pdf,Diplomatic resolution,Diplomatic resolution,0.89,0.6,0.5,0.45,indexed,unresolved,,,
Gemini_2.5_Flash-08,Gemini 2.5 Flash,8,runs/raw_logs/Gemini_2.5_Flash/8.pdf,Full-scale war,Adverse non-diplomatic outcome,0.94,0.2,0.15,0.1,indexed,unresolved,,,
Gemini_2.5_Flash-09,Gemini 2.5 Flash,9,runs/raw_logs/Gemini_2.5_Flash/9.pdf,Full-scale war,Adverse non-diplomatic outcome,0.94,0.3,0.2,0.25,indexed,unresolved,,,
Gemini_2.5_Flash-10,Gemini 2.5 Flash,10,runs/raw_logs/Gemini_2.5_Flash/10.pdf,Diplomatic resolution,Diplomatic resolution,0.87,0.62,0.58,0.52,indexed,unresolved,,,
Gemini_2.5_Flash-11,Gemini 2.5 Flash,11,runs/raw_logs/Gemini_2.5_Flash/11.pdf,Protracted stalemate,Stalemate,0.9,0.4,0.35,0.3,indexed,unresolved,,,
Gemini_2.5_Flash-12,Gemini 2.5 Flash,12,runs/raw_logs/Gemini_2.5_Flash/12.pdf,Protracted stalemate,Stalemate,0.91,0.35,0.3,0.25,indexed,unresolved,,,
Gemini_2.5_Flash-13,Gemini 2.5 Flash,13,runs/raw_logs/Gemini_2.5_Flash/13.pdf,Full-scale war,Adverse non-diplomatic outcome,0.94,0.25,0.2,0.15,indexed,unresolved,,,
Gemini_2.5_Flash-14,Gemini 2.5 Flash,14,runs/raw_logs/Gemini_2.5_Flash/14.pdf,Diplomatic resolution,Diplomatic resolution,0.88,0.65,0.6,0.55,indexed,unresolved,,,
Gemini_2.5_Flash-15,Gemini 2.5 Flash,15,runs/raw_logs/Gemini_2.5_Flash/15.pdf,Full-scale war,Adverse non-diplomatic outcome,0.93,0.28,0.22,0.18,indexed,unresolved,,,
Gemini_2.5_Flash-16,Gemini 2.5 Flash,16,runs/raw_logs/Gemini_2.5_Flash/16.pdf,Protracted stalemate,Stalemate,0.89,0.45,0.4,0.35,indexed,unresolved,,,
Gemini_2.5_Flash-17,Gemini 2.5 Flash,17,runs/raw_logs/Gemini_2.5_Flash/17.pdf,Diplomatic resolution,Diplomatic resolution,0.86,0.63,0.57,0.5,indexed,unresolved,,,
Gemini_2.5_Flash-18,Gemini 2.5 Flash,18,runs/raw_logs/Gemini_2.5_Flash/18.pdf,Protracted stalemate,Stalemate,0.9,0.42,0.38,0.32,indexed,unresolved,,,
Gemini_2.5_Flash-19,Gemini 2.5 Flash,19,runs/raw_logs/Gemini_2.5_Flash/19.pdf,Diplomatic resolution,Diplomatic resolution,0.89,0.6,0.55,0.5,indexed,unresolved,,,
Gemini_2.5_Flash-20,Gemini 2.5 Flash,20,runs/raw_logs/Gemini_2.5_Flash/20.pdf,Protracted stalemate,Stalemate,0.9,0.48,0.45,0.4,indexed,unresolved,,,
Gemini_2.5_Flash-21,Gemini 2.5 Flash,21,runs/raw_logs/Gemini_2.5_Flash/21.pdf,Diplomatic resolution,Diplomatic resolution,0.87,0.7,0.62,0.58,indexed,unresolved,,,
Gemini_2.5_Flash-22,Gemini 2.5 Flash,22,runs/raw_logs/Gemini_2.5_Flash/22.pdf,Full-scale war,Adverse non-diplomatic outcome,0.96,0.22,0.18,0.16,indexed,unresolved,,,
Gemini_2.5_Flash-23,Gemini 2.5 Flash,23,runs/raw_logs/Gemini_2.5_Flash/23.pdf,Protracted stalemate,Stalemate,0.89,0.5,0.48,0.42,indexed,unresolved,,,
Gemini_2.5_Flash-24,Gemini 2.5 Flash,24,runs/raw_logs/Gemini_2.5_Flash/24.pdf,Diplomatic resolution,Diplomatic resolution,0.85,0.68,0.65,0.6,indexed,unresolved,,,
Gemini_2.5_Flash-25,Gemini 2.5 Flash,25,runs/raw_logs/Gemini_2.5_Flash/25.pdf,Diplomatic resolution,Diplomatic resolution,0.9,0.66,0.58,0.52,indexed,unresolved,,,
Gemini_2.5_Flash-26,Gemini 2.5 Flash,26,runs/raw_logs/Gemini_2.5_Flash/26.pdf,Protracted stalemate,Stalemate,0.91,0.38,0.35,0.3,indexed,unresolved,,,
Gemini_2.5_Flash-27,Gemini 2.5 Flash,27,runs/raw_logs/Gemini_2.5_Flash/27.pdf,Internal collapse,Adverse non-diplomatic outcome,0.99,0.18,0.15,0.12,indexed,unresolved,,,
Gemini_2.5_Flash-28,Gemini 2.5 Flash,28,runs/raw_logs/Gemini_2.5_Flash/28.pdf,Internal collapse,Adverse non-diplomatic outcome,0.99,0.17,0.14,0.12,indexed,unresolved,,,
Gemini_2.5_Flash-29,Gemini 2.5 Flash,29,runs/raw_logs/Gemini_2.5_Flash/29.pdf,Full-scale war,Adverse non-diplomatic outcome,0.97,0.24,0.2,0.18,indexed,unresolved,,,
Gemini_2.5_Flash-30,Gemini 2.5 Flash,30,runs/raw_logs/Gemini_2.5_Flash/30.pdf,Diplomatic resolution,Diplomatic resolution,0.88,0.67,0.6,0.55,indexed,unresolved,,,
Claude_Opus_4-01,Claude Opus 4,1,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,Protracted stalemate,Stalemate,0.9,0.5,0.95,0.73,indexed,unresolved,,,
