legacy_candidate_id,run_id,mapped_check_id,status,review_completed,evidence_limitation_category,reason,source_file,page,evidence
CLA-01-N-00159,CLA-01,CLA-01-INH-E001-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00160,CLA-01,CLA-01-INH-E001-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00161,CLA-01,CLA-01-INH-E001-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00162,CLA-01,CLA-01-INH-E001-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00163,CLA-01,CLA-01-INH-E002-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00164,CLA-01,CLA-01-INH-E002-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00165,CLA-01,CLA-01-INH-E002-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00166,CLA-01,CLA-01-INH-E002-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00167,CLA-01,CLA-01-INH-E003-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00168,CLA-01,CLA-01-INH-E003-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00169,CLA-01,CLA-01-INH-E004-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00170,CLA-01,CLA-01-INH-E004-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00171,CLA-01,CLA-01-INH-E004-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00172,CLA-01,CLA-01-INH-E004-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00173,CLA-01,CLA-01-INH-E005-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00174,CLA-01,CLA-01-INH-E005-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00175,CLA-01,CLA-01-INH-E005-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00176,CLA-01,CLA-01-INH-E005-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00177,CLA-01,CLA-01-INH-E006-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00178,CLA-01,CLA-01-INH-E006-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00179,CLA-01,CLA-01-INH-E006-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00180,CLA-01,CLA-01-INH-E006-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00181,CLA-01,CLA-01-INH-E007-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00182,CLA-01,CLA-01-INH-E007-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00183,CLA-01,CLA-01-INH-E007-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00184,CLA-01,CLA-01-INH-E007-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00185,CLA-01,CLA-01-INH-E008-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00186,CLA-01,CLA-01-INH-E008-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00187,CLA-01,CLA-01-INH-E008-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00188,CLA-01,CLA-01-INH-E008-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00189,CLA-01,CLA-01-INH-E009-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00190,CLA-01,CLA-01-INH-E009-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00191,CLA-01,CLA-01-INH-E009-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-01-N-00192,CLA-01,CLA-01-INH-E009-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00195,CLA-03,CLA-03-INH-E001-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00196,CLA-03,CLA-03-INH-E001-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00197,CLA-03,CLA-03-INH-E001-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00198,CLA-03,CLA-03-INH-E001-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00199,CLA-03,CLA-03-INH-E002-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00200,CLA-03,CLA-03-INH-E002-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00201,CLA-03,CLA-03-INH-E002-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00202,CLA-03,CLA-03-INH-E002-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00203,CLA-03,CLA-03-INH-E003-U1-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00204,CLA-03,CLA-03-INH-E003-U1-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00205,CLA-03,CLA-03-INH-E003-U1-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00206,CLA-03,CLA-03-INH-E003-U1-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00207,CLA-03,CLA-03-INH-E001-U2-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00208,CLA-03,CLA-03-INH-E001-U2-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00209,CLA-03,CLA-03-INH-E001-U2-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00210,CLA-03,CLA-03-INH-E001-U2-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00211,CLA-03,CLA-03-INH-E002-U2-Tension,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00212,CLA-03,CLA-03-INH-E002-U2-Diplomatic_Support,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00213,CLA-03,CLA-03-INH-E002-U2-Public_Opinion,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
CLA-03-N-00214,CLA-03,CLA-03-INH-E002-U2-Leadership_Unity,준수,True,,물리적 원문 행을 직접 검토한 부모 연결의 목표 상태에 대응시킴. 기존 자동 분기키는 부모 판단에 사용하지 않음.,,,
