requirement_id,source_file,json_path_or_page,original_requirement,type,applicability,expected_observable,decision_method,ambiguity,input_version,domain,actor,audit_rule_id
US-A01-STANCE,actor_json/us_gpt.json,$.actors[0].stance,"Determined to force the removal of Soviet nuclear missiles from Cuba, favoring a naval quarantine (blockade) as the initial step rather than an immediate air strike:contentReference[oaicite:0]{index=0}. Kennedy believes that inaction is the greatest danger – the United States cannot simply live with the missiles (“doing nothing” is unacceptable):contentReference[oaicite:1]{index=1}. His approach is firm but measured: demand dismantlement of the Cuban missile bases, while avoiding steps that would needlessly provoke a nuclear war.",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,stance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-IDEOLOGY,actor_json/us_gpt.json,$.actors[0].ideology,Pragmatic Cold War liberal internationalist – anti-communist and committed to defending the Western Hemisphere (invoking principles like the Monroe Doctrine) but also valuing allied consultation and global stability. He seeks a solution that protects U.S. security and credibility without undermining alliances or moral authority:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}.,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,ideology에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-RISK_TOLERANCE,actor_json/us_gpt.json,$.actors[0].risk_tolerance,medium,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,risk_tolerance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-CONFLICT_AVOIDANCE,actor_json/us_gpt.json,$.actors[0].conflict_avoidance,medium,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,conflict_avoidance에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-DIPLOMACY_PREFERENCE,actor_json/us_gpt.json,$.actors[0].diplomacy_preference,high,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,diplomacy_preference에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-MILITARY_PREFERENCE,actor_json/us_gpt.json,$.actors[0].military_preference,medium,선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 제안·행동,military_preference에 맞는 판단 근거와 목표 간 절충이 실제 대안·행동에 반영됨,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,정성/숫자 선호를 절대 금지 또는 선택확률로 바꾸지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-PREFERENCE
US-A01-POWER,actor_json/us_gpt.json,$.actors[0].power_weight,0.4,가중치·수치 계산,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 국내 의사결정 조합·선택,해당 영향력 값을 사용한 선택 근거; 수식이 제공된 경우에 한해 재계산,값 인용·계산식이 노출된 부분만 독립 검산. 정의되지 않은 선택확률·최다득표 규칙을 생성하지 않음.,국가수준 권력비중의 실제 집계·효용 결합·샘플링 알고리즘이 명시되지 않음.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-WEIGHT
US-A01-GOAL01,actor_json/us_gpt.json,$.actors[0].goals[0],Eliminate the threat of Soviet nuclear missiles in Cuba (ensure all offensive weapons are removed):contentReference[oaicite:4]{index=4},선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-GOAL
US-A01-GOAL02,actor_json/us_gpt.json,$.actors[0].goals[1],Avoid a nuclear war while resolving the crisis (find a way to compel Soviet retreat without escalating to full conflict),선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-GOAL
US-A01-GOAL03,actor_json/us_gpt.json,$.actors[0].goals[2],"Maintain U.S. credibility and strength in the Cold War context (demonstrate that the U.S. will confront Soviet challenges, to deter future threats):contentReference[oaicite:5]{index=5}",선호·목표,실행의 actor JSON 버전이 본 파일로 식별되거나 내용상 일치가 확인된 경우; 미확인 시 조건부 대조 / 해당 행위자의 선택,목표를 추구하거나 다른 명시 목표와의 절충을 보여 주는 선택·이유,인간 검토: 각 선택의 목표·위험·타협 근거와 대안의 상대적 우선순위를 대조. 선호와 다른 행동 하나 또는 불리한 결말만으로 위반 처리하지 않음.,목표 달성의 실패는 그 자체로 준수 위반이 아님.,0c6701c7923ff3bb5e06413fe5d460da7c91a3422d26d3944f84b0f0fae2e15f,역할·행동 통제,President John F. Kennedy,ACTOR-GOAL
