run_id,phase,source_file,pages,available_response_pages,unit_status,review_completed,not_reviewed_reason
CLA-01,T1,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-01,T2,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,7;8;9;10;11;12,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-01,T3,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,12;13;14;15;16;17;18,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-01,T4,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,18;19;20;21;22;23,6,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-01,FINAL,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,25;26;27;28;29;30;31;32;33;34,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-02,T1,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-02,T2,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,8;9;10;11;12;13;14;15,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-02,T3,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,15;16;17;18;19;20;21,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-02,T4,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,21;22;23;24;25;26;27;28,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-02,FINAL,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,29;30;31;32;33;34;35;36;37;38,10,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-03,T1,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8;9,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-03,T2,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,9;10;11;12;13;14;15,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-03,T3,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,15;16;17;18;19;20;21,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-03,T4,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,,0,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-03,FINAL,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,22;23;24;25;26;27;28;29;30,9,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-04,T1,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-04,T2,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-04,T3,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,14;15;16;17;18;19;20,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-04,T4,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,20;21;22;23;24;25;26,7,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-04,FINAL,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,28;29;30;31;32;33;34;35;36;37;38,11,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-05,T1,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,1;2;3;4;5;6;7;8,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
CLA-05,T2,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,8;9;10;11;12;13;14;15,8,대조대상 목록 확보,false,이 인벤토리 생성은 내용 판정이 아님
