unit_id,run_id,disposition,basis
CLA-06-ES-001,CLA-06,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-06-ES-002,CLA-06,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-06-ES-003,CLA-06,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-001,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-002,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-003,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-004,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-005,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-006,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-007,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-008,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-009,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-010,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-011,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-09-ES-012,CLA-09,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-10-ES-001,CLA-10,not_reviewed,
CLA-10-ES-002,CLA-10,not_reviewed,
CLA-10-ES-003,CLA-10,not_reviewed,
CLA-10-ES-004,CLA-10,not_reviewed,
CLA-10-ES-005,CLA-10,not_reviewed,
CLA-10-ES-006,CLA-10,not_reviewed,
CLA-10-ES-007,CLA-10,not_reviewed,
CLA-10-ES-008,CLA-10,not_reviewed,
CLA-10-ES-009,CLA-10,not_reviewed,
CLA-12-ES-001,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-002,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-003,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-004,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-005,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-006,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-007,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-008,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-009,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-010,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-011,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-12-ES-012,CLA-12,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-15-ES-001,CLA-15,not_reviewed,
CLA-15-ES-002,CLA-15,not_reviewed,
CLA-15-ES-003,CLA-15,not_reviewed,
CLA-16-ES-001,CLA-16,not_reviewed,
CLA-16-ES-002,CLA-16,not_reviewed,
CLA-16-ES-003,CLA-16,not_reviewed,
CLA-16-ES-004,CLA-16,not_reviewed,
CLA-16-ES-005,CLA-16,not_reviewed,
CLA-16-ES-006,CLA-16,not_reviewed,
CLA-16-ES-007,CLA-16,not_reviewed,
CLA-16-ES-008,CLA-16,not_reviewed,
CLA-16-ES-009,CLA-16,not_reviewed,
CLA-16-ES-010,CLA-16,not_reviewed,
CLA-16-ES-011,CLA-16,not_reviewed,
CLA-16-ES-012,CLA-16,not_reviewed,
CLA-17-ES-001,CLA-17,not_reviewed,
CLA-17-ES-002,CLA-17,not_reviewed,
CLA-17-ES-003,CLA-17,not_reviewed,
CLA-17-ES-004,CLA-17,not_reviewed,
CLA-17-ES-005,CLA-17,not_reviewed,
CLA-17-ES-006,CLA-17,not_reviewed,
CLA-17-ES-007,CLA-17,not_reviewed,
CLA-17-ES-008,CLA-17,not_reviewed,
CLA-17-ES-009,CLA-17,not_reviewed,
CLA-20-ES-001,CLA-20,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-20-ES-002,CLA-20,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-20-ES-003,CLA-20,reviewed_distinct,Original joint result block directly read; following alternative/turn/UI text excluded from judgment.
CLA-22-ES-001,CLA-22,not_reviewed,
CLA-22-ES-002,CLA-22,not_reviewed,
CLA-22-ES-003,CLA-22,not_reviewed,
CLA-22-ES-004,CLA-22,not_reviewed,
CLA-22-ES-005,CLA-22,not_reviewed,
CLA-22-ES-006,CLA-22,not_reviewed,
CLA-22-ES-007,CLA-22,not_reviewed,
CLA-22-ES-008,CLA-22,not_reviewed,
CLA-22-ES-009,CLA-22,not_reviewed,
CLA-28-ES-001,CLA-28,not_reviewed,
CLA-28-ES-002,CLA-28,not_reviewed,
CLA-28-ES-003,CLA-28,not_reviewed,
CLA-29-ES-001,CLA-29,not_reviewed,
CLA-29-ES-002,CLA-29,not_reviewed,
CLA-29-ES-003,CLA-29,not_reviewed,
CLA-29-ES-004,CLA-29,not_reviewed,
CLA-29-ES-005,CLA-29,not_reviewed,
CLA-29-ES-006,CLA-29,not_reviewed,
CLA-29-ES-007,CLA-29,not_reviewed,
CLA-29-ES-008,CLA-29,not_reviewed,
CLA-29-ES-009,CLA-29,not_reviewed,
CLA-30-ES-001,CLA-30,not_reviewed,
CLA-30-ES-002,CLA-30,not_reviewed,
CLA-30-ES-003,CLA-30,not_reviewed,
CLA-30-ES-004,CLA-30,not_reviewed,
CLA-30-ES-005,CLA-30,not_reviewed,
CLA-30-ES-006,CLA-30,not_reviewed,
CLA-30-ES-007,CLA-30,not_reviewed,
CLA-30-ES-008,CLA-30,not_reviewed,
CLA-30-ES-009,CLA-30,not_reviewed,
GEM-02-ES-001,GEM-02,reviewed_distinct_action_or_event,p9 실제 미국 결과로그 및 p13 이미 실행된 공습 문맥 확인; EU11 소련 행동과 별개.
GEM-02-ES-002,GEM-02,excluded_duplicate_context,1은 EU의 동일 미국 공습 블록을 줄바꿈 때문에 재검색. 2는 기존 결과로그의 계산 정정 설명이며 독립 행동-사건 적용이 아니다.
GEM-05-ES-001,GEM-05,reviewed_distinct_action_or_event,PDFium 원문 및 전후 문맥을 직접 대조
GEM-05-ES-002,GEM-05,reviewed_distinct_action_or_event,PDFium 원문 및 전후 문맥을 직접 대조
GEM-05-ES-003,GEM-05,reviewed_distinct_action_or_event,PDFium 원문 및 전후 문맥을 직접 대조
GEM-05-ES-004,GEM-05,excluded_duplicate_context,이후 명시 Selected Actor 결과로그에 이미 포함된 경로의 선행 설명/대안 목록. 독립 적용으로 이중 집계하지 않음. 읽은 문맥은 해당 EU 판정의 근거로 사용.
GEM-05-ES-005,GEM-05,excluded_duplicate_context,이후 명시 Selected Actor 결과로그에 이미 포함된 경로의 선행 설명/대안 목록. 독립 적용으로 이중 집계하지 않음. 읽은 문맥은 해당 EU 판정의 근거로 사용.
GEM-05-ES-006,GEM-05,excluded_duplicate_context,이후 명시 Selected Actor 결과로그에 이미 포함된 경로의 선행 설명/대안 목록. 독립 적용으로 이중 집계하지 않음. 읽은 문맥은 해당 EU 판정의 근거로 사용.
