run_id,pages_screened,retrieval_span_count,contextually_adjudicated,screening_only,no_global_semantic_verdict,source_pdf_sha256
CLA-01,1-4,2,False,True,True,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314
CLA-02,1-4,2,False,True,True,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7
CLA-03,1-5,1,False,True,True,b38d30d7290f6dd06dfdd11e9e91d690046307e35d589010665a82cf73f85c9c
CLA-04,1-4,2,False,True,True,40ed9943db9822e0a9e63d8f4a7e9b9b6d53c0b5bc29ac3b092464de64a84acd
CLA-05,1-4,3,False,True,True,f668bfe0fa63e29d37bd0bc5e77f2d848cdc7902d3b0e8a196771f492768310b
CLA-06,1-4,2,False,True,True,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec
CLA-07,1-4,2,True,False,True,bc1a14b993ed1b7b515df936c8c2c6766e8ad849c6beaf23f5a2c1300bd55ae3
CLA-08,1-4,3,False,True,True,5b336e028ed2a632165b9753b8e14d1f6ac1b74fd84c15e74c5f80a91002f706
CLA-09,1-4,2,False,True,True,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb
CLA-10,1-4,2,False,True,True,5255cd8d71f9307c8ed99cef241c860e42aa46b41ac602bc69fd74491fc6da3e
CLA-11,1-4,1,False,True,True,7bcd520a56e9b07a3c24bc40692aa4cfdc76a448b0e7cae4845ddc14f769112b
CLA-12,1-4,2,False,True,True,14eb5bc5437bb94e9347990891c7f714425ce1bcea18d1d717d056901de5869a
CLA-13,1-5,2,False,True,True,ed12e96517ebf09d595c80a487509e61c148bf3203963f0d7f5f3c9887cdf7d0
CLA-14,1-8,2,True,False,True,d06a065a49e343d1ea363d8bc282a138fa18b24a87cf1ceb7802b9c8f3b6cd48
CLA-15,1-6,2,False,True,True,8c74bc5d7c3173bd504a72b0e7f67e036dfa659ebb86c93df50015772406dba4
CLA-16,1-4,1,False,True,True,512cad7aeb7d57f010cb83ce1de3b46e8604e4c5a9ab56ce7439249bd51d173b
CLA-17,1-4,2,False,True,True,23cb50f75cbbfed2b24308abbcdb2c3d80b63f35f95d56c38ff116faadbe5895
CLA-18,1-4,2,False,True,True,1335cd9261700838df1005974bc9b6d8e0d588edc4e6fa98266cf7f7b4b6f4eb
CLA-19,1-4,4,False,True,True,865cb6b736997d80879ca1e14a2ac4287a22d947f1e8a9001777cd989ad1739e
CLA-20,1-4,2,False,True,True,140f97c1fe5bcdeecb443b961d760f556823b2c59f8599d0117a7a94b159194c
CLA-21,1-4,4,False,True,True,5ee44e1ed46e15915bd9c886afecd1bd24314e9cb01852c1cef874e5cef627f7
CLA-22,1-4,2,False,True,True,d074b16e3594924462b1c7d66b1276a5e557b97922f485b616c78fb2455293b5
CLA-23,1-4,3,False,True,True,286ed2b46996ee5f703069d95d599a17d5b40279c8e8653363fd76a7fc8b48bf
CLA-24,1-5,3,False,True,True,822278632565a419957939665a946d23b1996d89c719f726bcdc7e6bf50c8934
CLA-25,1-5,2,False,True,True,2f6cac443ec1cf8b7d33cca5e1f424a04d3bed2d80d10edca11eb64b73791b06
CLA-26,1-4,2,False,True,True,7e77386b1508cb0ccb67234a4c65ac36e1ba14a49f024211c4968f9d6dec192e
CLA-27,1-4,4,False,True,True,74ebc65e71943daab5b1d67c2f483bc0681058e99d10903ee21cd20e8d26f517
CLA-28,1-4,1,False,True,True,b8f3364ae20410873bc6b6a153c4f6b11b653f6b27b8b1a574020e2e6869a337
CLA-29,1-4,2,True,False,True,58e8e1c1071435670fd7047ff623809184435745bb9882b7c8b5d9f752051541
CLA-30,1-4,1,False,True,True,b2d21bce34c5189b872a0904e6ffd2720ff48da70483eee12737cde23898c37a
GEM-01,1-4,3,False,True,True,60b683fad5d8af65fc9934a49a4bc262b5f63f9c4271a5c57f250c9a4cd86edc
GEM-02,1-4,5,False,True,True,f60a793430a7ec5a8d7948d4d8877506baf6a7c56e7f77de8451d1d02533a744
GEM-03,1-4,4,False,True,True,092f0ead211ce16053d0f731365505ea2e743c6b270d04d511de98c537ce8bbc
GEM-04,1-4,6,False,True,True,b9f04fc684f85dd185114908f8a63c8a1d06480aa75654a33e7708e5a460a0da
GEM-05,1-4,4,False,True,True,8382b0cabe6a0bf0580fcb4f11d3fd8175782776ba78f990a78490a52f2c63f5
GEM-06,1-4,6,False,True,True,18c44b91110590a552fded979dd21edaa1820df5c18a98cd0daecaee41b00136
GEM-07,1-4,6,False,True,True,717dc2371128a4a1db840c6fb1b92f909e4d4df3278c30de36a293cd69e0f746
GEM-08,1-4,4,True,False,True,839ef63d28bc63e5ee12235fdb0c4a113606bfdd28c15ea80d30fbe1df5505c5
GEM-09,1-4,7,False,True,True,efa339c5b9d76c8a994d137771ed819addd5ce7beec7cecc7665ff57853bc665
GEM-10,1-4,3,False,True,True,af69ef34182f9377e7841f1d52bead035465690250852c6534352750132c57a1
GEM-11,1-4,6,True,False,True,1e7cc5584589422807c07a6e553a76bd75c7d2987baf595494cc8ee58b062e5b
GEM-12,1-4,4,True,False,True,c2c2bce3e75636936daee00e9c96947fda09833c4b926293af2461a8bc8706f7
GEM-13,1-4,8,False,True,True,ccf30441bebecfd97a4409496d8fff4aadec2b8480a9db6ba8168c506776b861
GEM-14,1-4,4,False,True,True,32558992e6b4380b514ad18b74013c5da25a4475b714b431da1d3a71b49fd364
GEM-15,1-4,5,False,True,True,cd82705ab9c0dc918addd8d0c11cdce02690709153d644f9d712a416f7620010
GEM-16,1-4,5,False,True,True,323a16d61a463622c71f23b05bed082d5acd543c6651915856faffe298449e7c
GEM-17,1-4,3,False,True,True,6066886a021fcdd753f7cda12cda04a70cd6d1bdd2aef6ac8f8a112415114b83
GEM-18,1-4,6,False,True,True,aaa0d621f0c19f50ff8297f4fb55ee4d8a07bddde5d253b44931494c6b5ccbed
GEM-19,1-4,3,True,False,True,6e649446230838f960d437735ad8b9305820f677efd5850bb52e6e9bbc3f6244
GEM-20,1-4,6,False,True,True,b5366f0317c70f3f2ca2d4adac5d59e5ee6abce2235f4a485e1c61d5fa34312d
GEM-21,1-4,4,False,True,True,48780cb2300f1e4a3dcfdfc5be7e89a40fbd9812d79b098fbc28175fc8f1432e
GEM-22,1-4,6,True,False,True,bfa358bdaed1913da73d49cfb017ac39e9767ca320223b8a6252c09fcaf08dba
GEM-23,1-4,7,False,True,True,939e97ca32c21fcc8ba046295057b74065589dbd0a1cc4571edc78dfc53a589f
GEM-24,1-4,5,False,True,True,9638caa8bc4fa08de4553906e1c5f485dbb91a60ac0fb4c28ae40f3d841cad38
GEM-25,1-4,4,False,True,True,cc8ae9cce3fa6720e3e004d5795c653b28396fd13694062ec29cc3059fae60bb
GEM-26,1-4,4,True,False,True,46e640b6bbb8bb8db3c52faf0635576230ea91ea1df5253de6c0f82be9ac9b56
GEM-27,1-4,5,True,False,True,429f9d8d033969cc1fd79087ded0cff5286c4a770cf53a1be22d289e3076bcd1
GEM-28,1-4,5,True,False,True,070afef4916b15e5e456ad4d640e3987cbea13c5d6a17385d09dcf7ffd7cae08
GEM-29,1-4,5,False,True,True,3871fee4f4a6d1531606622af87a18536f355399a51cc73bb347dfee051f2383
GEM-30,1-4,4,False,True,True,deec8ca1b5a32775554e7d53d93e80d6907e431576576dd28dff077d314be431
GPT-01,1-5,4,False,True,True,5b719bdd43372cc576043419b9abdff92627fd32b3ed0bf74f439ea9c1555f54
GPT-02,1-4,1,False,True,True,841b7b9fe14dfd575acca1315fa4ddd5d5ce28674d9f053188bfccb2968253c4
