check_family,check_id,calculated,stored,match,scope
inheritance,CLA-01-INH-E001-U1-Tension,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E001-U1-Diplomatic_Support,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E001-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E001-U1-Leadership_Unity,0.85,0.85,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E002-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E002-U1-Diplomatic_Support,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E002-U1-Public_Opinion,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E002-U1-Leadership_Unity,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E003-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E003-U1-Diplomatic_Support,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E003-U1-Public_Opinion,0.5,0.5,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E003-U1-Leadership_Unity,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E004-U1-Tension,0.75,0.75,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E004-U1-Diplomatic_Support,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E004-U1-Public_Opinion,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E004-U1-Leadership_Unity,0.80,0.80,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E005-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E005-U1-Diplomatic_Support,0.50,0.50,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E005-U1-Public_Opinion,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E005-U1-Leadership_Unity,0.40,0.40,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E006-U1-Tension,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E006-U1-Diplomatic_Support,0.55,0.55,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E006-U1-Public_Opinion,0.60,0.60,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E006-U1-Leadership_Unity,1.0,1.0,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E007-U1-Tension,0.65,0.65,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E007-U1-Diplomatic_Support,0.80,0.80,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E007-U1-Public_Opinion,0.70,0.70,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E007-U1-Leadership_Unity,0.95,0.95,True,fixed parent identification and value transcription
inheritance,CLA-01-INH-E008-U1-Tension,1.0,1.0,True,fixed parent identification and value transcription
