repo_commit,repo_path,github_git_blob_sha1,local_git_blob_sha1,sha256,bytes,byte_identity_status,source_url,hash_basis
6867755772bfb74dd56c211df8c9a399607b5419,actor_json/soviet_gpt.json,30c80cf985ad84f03ff10057ae74b6e59ecf6983,30c80cf985ad84f03ff10057ae74b6e59ecf6983,890b9307ecb6c834c9394dd25aa37263a839d7abfcc7d7ee6328544adf023853,10982,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/actor_json/soviet_gpt.json,fresh pinned-ref GitHub content bytes; verified against live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,actor_json/us_gpt.json,1b5e14eec6590ce6917998c68632ec6461459213,1b5e14eec6590ce6917998c68632ec6461459213,b168157ebb536175294ad6a2aa5a196963f58a725f08f98eba4a601d12a6b3a1,27679,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/actor_json/us_gpt.json,fresh pinned-ref GitHub content bytes; verified against live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,protocols/Simulation_Protocol_English.docx,5661b73a2e52035eadd29761eca0c7800c73a46d,5661b73a2e52035eadd29761eca0c7800c73a46d,57dedb9530562737578e5a766f6185c776322b91ce3690cd571a2596d4383846,25974,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/protocols/Simulation_Protocol_English.docx,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,protocols/prompt_templates/Prompt.pdf,289d169372fcf20e75ae06af638c1a97868cf5eb,289d169372fcf20e75ae06af638c1a97868cf5eb,a3b87d66392bba576d5ecd97c1b526f361138ba9656fb63a4cac8bbef9d5719a,53830,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/protocols/prompt_templates/Prompt.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,083309a2dc4a7265cd81faee7fa93b0f369f5aae,083309a2dc4a7265cd81faee7fa93b0f369f5aae,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,214928,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,c550d97dcc5d9a105a28202b98a17130ed3af49a,c550d97dcc5d9a105a28202b98a17130ed3af49a,5255cd8d71f9307c8ed99cef241c860e42aa46b41ac602bc69fd74491fc6da3e,245976,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,6d1e54d22435299933d088f24cadb8efa776b3dd,6d1e54d22435299933d088f24cadb8efa776b3dd,7bcd520a56e9b07a3c24bc40692aa4cfdc76a448b0e7cae4845ddc14f769112b,243596,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/11. Strategic Decision Modeling Protocol.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,edf00e7daab6501498b3cdad78b1d74fc1a44ff2,edf00e7daab6501498b3cdad78b1d74fc1a44ff2,14eb5bc5437bb94e9347990891c7f714425ce1bcea18d1d717d056901de5869a,237676,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/12. Strategic Decision Modeling Protocol.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,741482b203f3fa69e3e5444aa6b60a0c2ca4f9cd,741482b203f3fa69e3e5444aa6b60a0c2ca4f9cd,ed12e96517ebf09d595c80a487509e61c148bf3203963f0d7f5f3c9887cdf7d0,219506,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/13. Strategic Decision Modeling Protocol.pdf,local bytes matched to live Git blob SHA-1
6867755772bfb74dd56c211df8c9a399607b5419,runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,d51a70eb1b39b0bb39cc26491364c9ca03670a48,d51a70eb1b39b0bb39cc26491364c9ca03670a48,d06a065a49e343d1ea363d8bc282a138fa18b24a87cf1ceb7802b9c8f3b6cd48,259911,MATCH,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/14. Strategic Decision Modeling Framework.pdf,local bytes matched to live Git blob SHA-1
