check_id,reference_field,historical_extraction_reference,extraction_availability,alternative_source_file,alternative_source_commit,alternative_source_url,alternative_source_sha256,recorded_page,recorded_excerpt_field,recorded_excerpt_nonempty,fixed_label_aggregation_requires_missing_extraction,full_window_or_coverage_equivalence_certified,alternative_status
SEM-B-V2-PER-01-T1_US_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T1_SU_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T2_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T3_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,9,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T4_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,15,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T2_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T3_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,9,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-01-T4_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/1. Strategic Decision Modeling_ U.S. Discovery of Cub.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/1.%20Strategic%20Decision%20Modeling_%20U.S.%20Discovery%20of%20Cub.pdf,3a5f70972ae4b178b2ba9ff51b3127770e918103fe41b688c11032b827bb532c,15,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T1_US_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T1_SU_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T2_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T3_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,11,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T4_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,16,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T2_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T3_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,11,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-02-T4_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/2. Strategic Options Analysis_ U.S. Discovery of Sovi.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/2.%20Strategic%20Options%20Analysis_%20U.S.%20Discovery%20of%20Sovi.pdf,bdd671738db7d1f126dbe72a53027c5970ac761a90731b39a00766aa34082e53,16,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T1_US_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,2,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T1_SU_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,2,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T2_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,6,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T3_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,8,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T4_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,10,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T2_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,6,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T3_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,8,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-03-T4_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/3. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/3.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,f66660795410dafe3f5701cb7adfc38276bcd171429e66f79411bb5e18b79d0c,10,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T1_US_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T1_SU_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,1,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T2_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T3_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,10,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T4_BRANCH,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,13,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T2_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,5,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T3_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,10,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-04-T4_EVENT,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/4. Strategic Alternatives & Conflict Scenarios.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/4.%20Strategic%20Alternatives%20%26%20Conflict%20Scenarios.pdf,e690d7c16a86bd88adbd6a64cf76c62061eaeafa4af8304cfd4dcf5ab4611803,13,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-05-T1_US_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/5. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/5.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,b168b0ce9bf51ef2a92086c472372d37641efe0d4584cc53cdb0cbf28d12af48,2,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
SEM-B-V2-PER-05-T1_SU_ROLE,evidence_file,semantic_v2/sem_b_evidence.json,NOT_INCLUDED_IN_PUBLIC_CANDIDATE,runs/raw_logs/Perplexity_RAG/5. You are a tool for modeling strategic decisions. A.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Perplexity_RAG/5.%20You%20are%20a%20tool%20for%20modeling%20strategic%20decisions.%20A.pdf,b168b0ce9bf51ef2a92086c472372d37641efe0d4584cc53cdb0cbf28d12af48,2,evidence,True,False,False,PINNED_SOURCE_PAGE_AND_EXCERPT_AVAILABLE
