check_id,run_id,edge_id,source_file,source_sha256,previous_page,page,previous_turn,turn,branch,actor,variable,requirement_id,rule_source_file,rule_locator,rule_quote,previous_value,reported_value,recomputed_value,difference,status,reason,evidence,parent_mapping_basis,comparison_mode,unit,review_completed,evidence_limitation_category,human_review_required,assessment_class,input_binding_status,legacy_candidate_ids
CLA-01-INH-E001-U1-Tension,CLA-01,CLA-01-INH-E001,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:10-15,8:39-40,1,2,Balanced Confrontation,shared,Tension,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.75,0.75,0.75,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L10] RECONFIRM VARIABLE STATUS - Combination 1
[p6 L11] • tension: 0.75 (baseline 0.5 + 0.3 - 0.05)
[p6 L12] • diplomatic_support: 0.60 (baseline 0.5 + 0.10)
[p6 L13] • military_posture: Alert/Defensive
[p6 L14] • public_opinion: 0.55 (baseline 0.5 + 0.05)
[p6 L15] • leadership_unity: 0.85 (baseline 0.5 + 0.8 + 0.05, capped at 0.85)
다음 시작/수식 기준:
[p8 L39] Current Variables: tension: 0.75, diplomatic_support: 0.60, public_opinion: 0.55,
[p8 L40] leadership_unity: 0.85",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00159
CLA-01-INH-E001-U1-Diplomatic_Support,CLA-01,CLA-01-INH-E001,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:10-15,8:39-40,1,2,Balanced Confrontation,shared,Diplomatic_Support,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.60,0.60,0.60,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L10] RECONFIRM VARIABLE STATUS - Combination 1
[p6 L11] • tension: 0.75 (baseline 0.5 + 0.3 - 0.05)
[p6 L12] • diplomatic_support: 0.60 (baseline 0.5 + 0.10)
[p6 L13] • military_posture: Alert/Defensive
[p6 L14] • public_opinion: 0.55 (baseline 0.5 + 0.05)
[p6 L15] • leadership_unity: 0.85 (baseline 0.5 + 0.8 + 0.05, capped at 0.85)
다음 시작/수식 기준:
[p8 L39] Current Variables: tension: 0.75, diplomatic_support: 0.60, public_opinion: 0.55,
[p8 L40] leadership_unity: 0.85",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00160
CLA-01-INH-E001-U1-Public_Opinion,CLA-01,CLA-01-INH-E001,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:10-15,8:39-40,1,2,Balanced Confrontation,shared,Public_Opinion,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.55,0.55,0.55,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L10] RECONFIRM VARIABLE STATUS - Combination 1
[p6 L11] • tension: 0.75 (baseline 0.5 + 0.3 - 0.05)
[p6 L12] • diplomatic_support: 0.60 (baseline 0.5 + 0.10)
[p6 L13] • military_posture: Alert/Defensive
[p6 L14] • public_opinion: 0.55 (baseline 0.5 + 0.05)
[p6 L15] • leadership_unity: 0.85 (baseline 0.5 + 0.8 + 0.05, capped at 0.85)
다음 시작/수식 기준:
[p8 L39] Current Variables: tension: 0.75, diplomatic_support: 0.60, public_opinion: 0.55,
[p8 L40] leadership_unity: 0.85",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00161
CLA-01-INH-E001-U1-Leadership_Unity,CLA-01,CLA-01-INH-E001,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:10-15,8:39-40,1,2,Balanced Confrontation,shared,Leadership_Unity,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.85,0.85,0.85,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L10] RECONFIRM VARIABLE STATUS - Combination 1
[p6 L11] • tension: 0.75 (baseline 0.5 + 0.3 - 0.05)
[p6 L12] • diplomatic_support: 0.60 (baseline 0.5 + 0.10)
[p6 L13] • military_posture: Alert/Defensive
[p6 L14] • public_opinion: 0.55 (baseline 0.5 + 0.05)
[p6 L15] • leadership_unity: 0.85 (baseline 0.5 + 0.8 + 0.05, capped at 0.85)
다음 시작/수식 기준:
[p8 L39] Current Variables: tension: 0.75, diplomatic_support: 0.60, public_opinion: 0.55,
[p8 L40] leadership_unity: 0.85",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00162
CLA-01-INH-E002-U1-Tension,CLA-01,CLA-01-INH-E002,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:33-38,10:3-4,1,2,Time Pressure Crisis,shared,Tension,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.95,0.95,0.95,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L33] RECONFIRM VARIABLE STATUS - Combination 2
[p6 L34] • tension: 0.95 (baseline 0.5 + 0.45)
[p6 L35] • diplomatic_support: 0.60 (baseline 0.5, diplomatic_room converts to +0.1)
[p6 L36] • military_posture: Heightened readiness
[p6 L37] • public_opinion: 1.0 (baseline 0.5 + 0.5, capped at 1.0)
[p6 L38] • leadership_unity: 0.5 (baseline, no change)
다음 시작/수식 기준:
[p10 L3] Current Variables: tension: 0.95, diplomatic_support: 0.60, public_opinion: 1.0,
[p10 L4] leadership_unity: 0.5",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00163
CLA-01-INH-E002-U1-Diplomatic_Support,CLA-01,CLA-01-INH-E002,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:33-38,10:3-4,1,2,Time Pressure Crisis,shared,Diplomatic_Support,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.60,0.60,0.60,0.00,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L33] RECONFIRM VARIABLE STATUS - Combination 2
[p6 L34] • tension: 0.95 (baseline 0.5 + 0.45)
[p6 L35] • diplomatic_support: 0.60 (baseline 0.5, diplomatic_room converts to +0.1)
[p6 L36] • military_posture: Heightened readiness
[p6 L37] • public_opinion: 1.0 (baseline 0.5 + 0.5, capped at 1.0)
[p6 L38] • leadership_unity: 0.5 (baseline, no change)
다음 시작/수식 기준:
[p10 L3] Current Variables: tension: 0.95, diplomatic_support: 0.60, public_opinion: 1.0,
[p10 L4] leadership_unity: 0.5",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00164
CLA-01-INH-E002-U1-Public_Opinion,CLA-01,CLA-01-INH-E002,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:33-38,10:3-4,1,2,Time Pressure Crisis,shared,Public_Opinion,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,1.0,1.0,1.0,0.0,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L33] RECONFIRM VARIABLE STATUS - Combination 2
[p6 L34] • tension: 0.95 (baseline 0.5 + 0.45)
[p6 L35] • diplomatic_support: 0.60 (baseline 0.5, diplomatic_room converts to +0.1)
[p6 L36] • military_posture: Heightened readiness
[p6 L37] • public_opinion: 1.0 (baseline 0.5 + 0.5, capped at 1.0)
[p6 L38] • leadership_unity: 0.5 (baseline, no change)
다음 시작/수식 기준:
[p10 L3] Current Variables: tension: 0.95, diplomatic_support: 0.60, public_opinion: 1.0,
[p10 L4] leadership_unity: 0.5",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00165
CLA-01-INH-E002-U1-Leadership_Unity,CLA-01,CLA-01-INH-E002,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,6:33-38,10:3-4,1,2,Time Pressure Crisis,shared,Leadership_Unity,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.5,0.5,0.5,0.0,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p6 L33] RECONFIRM VARIABLE STATUS - Combination 2
[p6 L34] • tension: 0.95 (baseline 0.5 + 0.45)
[p6 L35] • diplomatic_support: 0.60 (baseline 0.5, diplomatic_room converts to +0.1)
[p6 L36] • military_posture: Heightened readiness
[p6 L37] • public_opinion: 1.0 (baseline 0.5 + 0.5, capped at 1.0)
[p6 L38] • leadership_unity: 0.5 (baseline, no change)
다음 시작/수식 기준:
[p10 L3] Current Variables: tension: 0.95, diplomatic_support: 0.60, public_opinion: 1.0,
[p10 L4] leadership_unity: 0.5",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00166
CLA-01-INH-E003-U1-Tension,CLA-01,CLA-01-INH-E003,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,7:20-25,11:9-10,1,2,Maximum Danger,shared,Tension,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,1.0,1.0,1.0,0.0,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p7 L20] RECONFIRM VARIABLE STATUS - Combination 3
[p7 L21] • tension: 1.0 (baseline 0.5 + 0.3 + 0.45, capped at 1.0)
[p7 L22] • diplomatic_support: 0.5 (baseline, no change)
[p7 L23] • military_posture: Maximum readiness/Pre-war
[p7 L24] • public_opinion: 0.5 (baseline, no change yet - public unaware)
[p7 L25] • leadership_unity: 0.95 (baseline 0.5 + min(0.8, 0.65) + 0.65, capped at 0.95)
다음 시작/수식 기준:
[p11 L9] Current Variables: tension: 1.0 (maximum), diplomatic_support: 0.5, public_opinion:
[p11 L10] 0.5, leadership_unity: 0.95",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00167
CLA-01-INH-E003-U1-Diplomatic_Support,CLA-01,CLA-01-INH-E003,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,7:20-25,11:9-10,1,2,Maximum Danger,shared,Diplomatic_Support,P-T2-INHERIT,protocols/prompt_templates/Prompt.pdf,p.2,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,0.5,0.5,0.5,0.0,준수,원문에서 같은 부모·턴·행위자 범위를 확인한 뒤 직전 종료값과 다음 명시 시작값/기준 피연산자를 Decimal로 비교. 그대로 승계됨.,"직전 종료 상태:
[p7 L20] RECONFIRM VARIABLE STATUS - Combination 3
[p7 L21] • tension: 1.0 (baseline 0.5 + 0.3 + 0.45, capped at 1.0)
[p7 L22] • diplomatic_support: 0.5 (baseline, no change)
[p7 L23] • military_posture: Maximum readiness/Pre-war
[p7 L24] • public_opinion: 0.5 (baseline, no change yet - public unaware)
[p7 L25] • leadership_unity: 0.95 (baseline 0.5 + min(0.8, 0.65) + 0.65, capped at 0.95)
다음 시작/수식 기준:
[p11 L9] Current Variables: tension: 1.0 (maximum), diplomatic_support: 0.5, public_opinion:
[p11 L10] 0.5, leadership_unity: 0.95",T1의 Balanced Confrontation/Time Pressure Crisis/Maximum Danger 세 경로명을 T2-T4가 그대로 사용한다. 각 턴 말 RESULT LOGS의 Scenario1/2/3 선택쌍과 다음 턴 동명 경로 Current Variables를 대조했다. 모두 국가별이 아닌 공동 상태패널이다. ,state,명시 상태승계 관찰×변수,True,,True,AI 원문 부모 대응 + 독립 Python Decimal 수치 비교(인간 미확인),보존 입력 기준 조건부 대조; 당시 첨부 바이트 미확정은 본 수치 비교를 일괄 U로 만드는 원인이 아님,CLA-01-N-00168
