domain_id,label,unit,source_ledger,inventory_rows,reviewed_rows,unreviewed_or_candidate_rows,runs_in_inventory,runs_reviewed,C,V,U,NA,assessable_percent,conditional_compliance_percent,selection_basis,recommended_use
CORE_initial_role,Initial actor-setting compatibility,run-country,data/core/07_semantic_validation_ledger.csv,240,240,0,120,120,233,7,0,0,100.0000,97.0833,Same defined subcontrols in all 120 archived runs,main_table_candidate_pending_human_review
CORE_local_branch,Local alternative-pair generation,run-turn,data/core/07_semantic_validation_ledger.csv,360,360,0,120,120,180,173,7,0,98.0556,50.9915,Same defined subcontrols in all 120 archived runs,main_table_candidate_pending_human_review
CORE_event_condition,Specified event decision conditions,run-turn,data/core/07_semantic_validation_ledger.csv,360,360,0,120,120,316,17,27,0,92.5000,94.8949,Same defined subcontrols in all 120 archived runs,main_table_candidate_pending_human_review
CORE_parent_coverage,Previous parent-path coverage,run-turn,data/core/07_semantic_validation_ledger.csv,360,360,0,120,120,180,19,161,0,55.2778,90.4523,Same defined subcontrols in all 120 archived runs,main_table_candidate_pending_human_review
ACTOR_ACTIONSET,Follow-up national action-set compatibility,run-turn-country preserved action set,data/supplemental_partial/actor_later_ledger.csv,570,570,0,95,95,427,0,143,0,74.9123,100.0000,Partial or targeted review; not a population estimate,appendix_diagnostic_only
ACTOR_RULE,Targeted explicit actor-rule observations,explicit actor-rule observation,data/supplemental_partial/actor_later_ledger.csv,150,150,0,70,70,102,38,10,0,93.3333,72.8571,Partial or targeted review; not a population estimate,appendix_diagnostic_only
EFFECT_BLOCK,Explicit action/event mapping blocks,explicit action/effect source block,data/supplemental_partial/effect_semantics_ledger.csv,1093,1093,0,79,79,859,30,201,3,81.5596,96.6254,Partial or targeted review; not a population estimate,appendix_diagnostic_only
EFFECT_FINDING,Targeted additional effect findings,source finding,data/supplemental_partial/effect_semantics_ledger.csv,62,62,0,34,34,2,58,2,0,96.7742,3.3333,Partial or targeted review; not a population estimate,appendix_diagnostic_only
THRESHOLD_PAIR,Negotiation gate: common-state action pair,공통 상태에 대응한 지정 양국 행동쌍,data/supplemental_partial/threshold_action_ledger.csv,132,132,0,16,16,98,12,22,0,83.3333,89.0909,Partial or targeted review; not a population estimate,appendix_diagnostic_only
THRESHOLD_ACTOR,Negotiation gate: country-specific action,국가별 상태에 대응한 지정 국가 행동,data/supplemental_partial/threshold_action_ledger.csv,140,140,0,7,7,65,0,75,0,46.4286,100.0000,Partial or targeted review; not a population estimate,appendix_diagnostic_only
THRESHOLD_NARRATIVE,Targeted narrative negotiation action,최종서사에서 실제 추가된 선택 행동(선별 대조),data/supplemental_partial/threshold_action_ledger.csv,1,1,0,1,1,0,1,0,0,100.0000,0.0000,Partial or targeted review; not a population estimate,appendix_diagnostic_only
INHERITANCE,Recorded parent-state inheritance,explicit state declaration × variable; repetitions retained,data/supplemental_partial/inheritance_ledger.csv,5059,5058,1,93,93,3443,65,1550,0,69.3555,98.1471,"Partial inventory, frozen parent identification",appendix_diagnostic_only
NARRATIVE_REPORT,Narrative–log report correspondence,report,data/supplemental_partial/narrative_ledger.csv,122,122,0,41,41,16,101,5,0,95.9016,13.6752,41/120 runs reviewed; not random; remaining 79 not reviewed,appendix_diagnostic_only
NARRATIVE_FACET,Purposively selected narrative facets,selected facet,data/supplemental_partial/narrative_facet_ledger.csv,145,145,0,20,20,125,19,1,0,99.3103,86.8056,Purpose-selected positive facets and additional counterexamples; not report accuracy,appendix_diagnostic_only
EFFECT_SUPPLEMENT,Supplemental action/event blocks,distinct supplemental block/facet,data/supplemental_partial/effect_supplemental_ledger.csv,82,82,0,11,11,52,7,23,0,71.9512,88.1356,"Targeted supplemental coverage, unreviewed candidates separate",appendix_diagnostic_only
GEOMETRY_EFFECT,Geometry-recovered effect blocks,selected actor/action result block,data/supplemental_partial/geometry_effect_ledger.csv,42,42,0,4,4,28,3,11,0,73.8095,90.3226,"Four selected runs, not a system comparison",appendix_diagnostic_only
