run_id,readable_text,artifact_reference,explicit_result_log_label,all_four_state_dimensions,trigger_or_threshold,variable_status_label,explicit_reconfirm_variable_status,metadata_labels_present,independent_checker_phrase,pdf_sha256,pages
CLA-01,True,True,True,True,True,True,True,False,False,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,34
CLA-02,True,True,True,True,True,True,True,False,False,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,38
CLA-03,True,True,True,True,True,True,True,False,False,b38d30d7290f6dd06dfdd11e9e91d690046307e35d589010665a82cf73f85c9c,30
CLA-04,True,True,True,True,True,True,True,False,False,40ed9943db9822e0a9e63d8f4a7e9b9b6d53c0b5bc29ac3b092464de64a84acd,38
CLA-05,True,True,True,True,True,True,True,False,False,f668bfe0fa63e29d37bd0bc5e77f2d848cdc7902d3b0e8a196771f492768310b,41
CLA-06,True,True,True,True,True,True,True,False,False,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec,39
CLA-07,True,True,True,True,True,True,True,False,False,bc1a14b993ed1b7b515df936c8c2c6766e8ad849c6beaf23f5a2c1300bd55ae3,41
CLA-08,True,True,True,True,True,True,True,False,False,5b336e028ed2a632165b9753b8e14d1f6ac1b74fd84c15e74c5f80a91002f706,39
CLA-09,True,True,True,True,True,True,True,False,False,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,39
CLA-10,True,True,True,True,True,True,True,False,False,5255cd8d71f9307c8ed99cef241c860e42aa46b41ac602bc69fd74491fc6da3e,40
CLA-11,True,True,True,True,True,True,True,False,False,7bcd520a56e9b07a3c24bc40692aa4cfdc76a448b0e7cae4845ddc14f769112b,42
CLA-12,True,True,True,True,True,True,True,False,False,14eb5bc5437bb94e9347990891c7f714425ce1bcea18d1d717d056901de5869a,40
CLA-13,True,True,True,True,True,True,True,False,False,ed12e96517ebf09d595c80a487509e61c148bf3203963f0d7f5f3c9887cdf7d0,36
CLA-14,True,True,True,True,True,True,True,False,False,d06a065a49e343d1ea363d8bc282a138fa18b24a87cf1ceb7802b9c8f3b6cd48,35
CLA-15,True,True,True,True,True,True,True,False,False,8c74bc5d7c3173bd504a72b0e7f67e036dfa659ebb86c93df50015772406dba4,50
CLA-16,True,True,True,True,True,True,True,False,False,512cad7aeb7d57f010cb83ce1de3b46e8604e4c5a9ab56ce7439249bd51d173b,36
CLA-17,True,True,True,True,True,True,True,False,False,23cb50f75cbbfed2b24308abbcdb2c3d80b63f35f95d56c38ff116faadbe5895,38
CLA-18,True,True,True,True,True,True,True,False,False,1335cd9261700838df1005974bc9b6d8e0d588edc4e6fa98266cf7f7b4b6f4eb,39
CLA-19,True,True,True,True,True,True,True,False,False,865cb6b736997d80879ca1e14a2ac4287a22d947f1e8a9001777cd989ad1739e,34
CLA-20,True,True,True,True,True,True,True,False,False,140f97c1fe5bcdeecb443b961d760f556823b2c59f8599d0117a7a94b159194c,38
CLA-21,True,True,True,True,True,True,True,False,False,5ee44e1ed46e15915bd9c886afecd1bd24314e9cb01852c1cef874e5cef627f7,41
CLA-22,True,True,True,True,True,True,True,False,False,d074b16e3594924462b1c7d66b1276a5e557b97922f485b616c78fb2455293b5,40
CLA-23,True,True,True,True,True,True,True,False,False,286ed2b46996ee5f703069d95d599a17d5b40279c8e8653363fd76a7fc8b48bf,34
CLA-24,True,True,True,True,True,True,True,False,False,822278632565a419957939665a946d23b1996d89c719f726bcdc7e6bf50c8934,40
CLA-25,True,True,True,True,True,True,True,False,False,2f6cac443ec1cf8b7d33cca5e1f424a04d3bed2d80d10edca11eb64b73791b06,47
CLA-26,True,True,True,True,True,True,True,False,False,7e77386b1508cb0ccb67234a4c65ac36e1ba14a49f024211c4968f9d6dec192e,41
CLA-27,True,True,True,True,True,True,True,False,False,74ebc65e71943daab5b1d67c2f483bc0681058e99d10903ee21cd20e8d26f517,35
CLA-28,True,True,True,True,True,True,True,False,False,b8f3364ae20410873bc6b6a153c4f6b11b653f6b27b8b1a574020e2e6869a337,44
CLA-29,True,True,True,True,True,True,True,False,False,58e8e1c1071435670fd7047ff623809184435745bb9882b7c8b5d9f752051541,40
CLA-30,True,True,True,True,True,True,True,False,False,b2d21bce34c5189b872a0904e6ffd2720ff48da70483eee12737cde23898c37a,36
GEM-01,True,True,True,True,True,True,True,False,False,60b683fad5d8af65fc9934a49a4bc262b5f63f9c4271a5c57f250c9a4cd86edc,31
GEM-02,True,True,True,True,True,True,True,False,False,f60a793430a7ec5a8d7948d4d8877506baf6a7c56e7f77de8451d1d02533a744,24
GEM-03,True,True,True,True,True,True,True,False,False,092f0ead211ce16053d0f731365505ea2e743c6b270d04d511de98c537ce8bbc,25
GEM-04,True,True,True,True,True,True,True,False,False,b9f04fc684f85dd185114908f8a63c8a1d06480aa75654a33e7708e5a460a0da,34
GEM-05,True,True,True,True,True,True,True,False,False,8382b0cabe6a0bf0580fcb4f11d3fd8175782776ba78f990a78490a52f2c63f5,22
GEM-06,True,True,True,True,True,True,True,False,False,18c44b91110590a552fded979dd21edaa1820df5c18a98cd0daecaee41b00136,25
GEM-07,True,True,True,True,True,True,True,False,False,717dc2371128a4a1db840c6fb1b92f909e4d4df3278c30de36a293cd69e0f746,29
GEM-08,True,True,True,True,True,True,True,False,False,839ef63d28bc63e5ee12235fdb0c4a113606bfdd28c15ea80d30fbe1df5505c5,32
GEM-09,True,True,True,True,True,True,True,False,False,efa339c5b9d76c8a994d137771ed819addd5ce7beec7cecc7665ff57853bc665,21
GEM-10,True,True,True,True,True,True,True,False,False,af69ef34182f9377e7841f1d52bead035465690250852c6534352750132c57a1,31
GEM-11,True,True,True,True,True,True,True,False,False,1e7cc5584589422807c07a6e553a76bd75c7d2987baf595494cc8ee58b062e5b,26
GEM-12,True,True,True,True,True,True,True,False,False,c2c2bce3e75636936daee00e9c96947fda09833c4b926293af2461a8bc8706f7,22
GEM-13,True,True,True,True,True,True,True,False,False,ccf30441bebecfd97a4409496d8fff4aadec2b8480a9db6ba8168c506776b861,29
GEM-14,True,True,True,True,True,True,True,False,False,32558992e6b4380b514ad18b74013c5da25a4475b714b431da1d3a71b49fd364,31
GEM-15,True,True,True,True,True,True,True,False,False,cd82705ab9c0dc918addd8d0c11cdce02690709153d644f9d712a416f7620010,23
GEM-16,True,True,True,True,True,True,True,False,False,323a16d61a463622c71f23b05bed082d5acd543c6651915856faffe298449e7c,24
GEM-17,True,True,True,True,True,True,True,False,False,6066886a021fcdd753f7cda12cda04a70cd6d1bdd2aef6ac8f8a112415114b83,26
GEM-18,True,True,True,True,True,True,True,False,False,aaa0d621f0c19f50ff8297f4fb55ee4d8a07bddde5d253b44931494c6b5ccbed,29
GEM-19,True,True,True,True,True,True,True,False,False,6e649446230838f960d437735ad8b9305820f677efd5850bb52e6e9bbc3f6244,25
GEM-20,True,True,True,True,True,True,True,False,False,b5366f0317c70f3f2ca2d4adac5d59e5ee6abce2235f4a485e1c61d5fa34312d,25
GEM-21,True,True,True,True,True,True,True,False,False,48780cb2300f1e4a3dcfdfc5be7e89a40fbd9812d79b098fbc28175fc8f1432e,28
GEM-22,True,True,True,True,True,True,True,False,False,bfa358bdaed1913da73d49cfb017ac39e9767ca320223b8a6252c09fcaf08dba,25
GEM-23,True,True,True,True,True,True,True,False,False,939e97ca32c21fcc8ba046295057b74065589dbd0a1cc4571edc78dfc53a589f,31
GEM-24,True,True,True,True,True,True,True,False,False,9638caa8bc4fa08de4553906e1c5f485dbb91a60ac0fb4c28ae40f3d841cad38,35
GEM-25,True,True,True,True,True,True,True,False,False,cc8ae9cce3fa6720e3e004d5795c653b28396fd13694062ec29cc3059fae60bb,27
GEM-26,True,True,True,True,True,True,True,False,False,46e640b6bbb8bb8db3c52faf0635576230ea91ea1df5253de6c0f82be9ac9b56,31
GEM-27,True,True,True,True,True,True,True,False,False,429f9d8d033969cc1fd79087ded0cff5286c4a770cf53a1be22d289e3076bcd1,28
GEM-28,True,True,True,True,True,True,True,False,False,070afef4916b15e5e456ad4d640e3987cbea13c5d6a17385d09dcf7ffd7cae08,23
GEM-29,True,True,True,True,True,True,True,False,False,3871fee4f4a6d1531606622af87a18536f355399a51cc73bb347dfee051f2383,27
GEM-30,True,True,True,True,True,True,True,False,False,deec8ca1b5a32775554e7d53d93e80d6907e431576576dd28dff077d314be431,26
GPT-01,True,True,True,True,True,True,True,False,False,5b719bdd43372cc576043419b9abdff92627fd32b3ed0bf74f439ea9c1555f54,30
GPT-02,True,True,True,True,True,True,True,False,False,841b7b9fe14dfd575acca1315fa4ddd5d5ce28674d9f053188bfccb2968253c4,26
GPT-03,True,True,True,True,True,True,True,False,False,f2ffaacf63446d0349875fa6a15f65971b3a9130bf9bf071035952189c2bf35b,26
GPT-04,True,True,True,True,True,True,True,False,False,95c63ce082198bc429b45c484279b7887410e35a7aef3ca5d65cf31edd70b91b,27
GPT-05,True,True,True,True,True,True,True,False,False,28218a57fa385b6d821654bcfe6a491c593cb096e0a6d565246cc2055e6cd334,15
GPT-06,True,True,True,True,True,True,True,False,False,9774116c3cb26e1e5074757116f478be4a37245408d420e1fa7aaf56107b3de9,24
GPT-07,True,True,True,True,True,True,True,False,False,0d3091d3a53a6368abfef39deee17ddab276b321a1e00b8e71fffbe692e834b0,31
GPT-08,True,True,True,True,True,True,True,False,False,7ae272d0a426e2a6f8ede13771fa4df309df1ee68514d2914fe79c082de4fada,29
GPT-09,True,True,True,True,True,True,True,False,False,607655405a9010782d4b8b5c48542e810ea26919eb223a708d534add0181d646,31
GPT-10,True,True,True,True,True,True,True,False,False,c95c58c512afda8d047eb925bd47801968f42f53b2d18458d6cccce3aa1c3aad,25
