execution_id,coding_csv_line,system,run_id,raw_log_path,pdf_exists_in_2026_09_05_snapshot,filename_number,filename_number_matches_run_id,system_folder_matches,execution_id_unique,raw_log_path_unique,source_workbook_basename,source_worksheet,source_worksheet_row,source_run_id_found,source_outcome_matches_csv_translation,source_four_values_match_csv_first_number_normalization,source_four_value_literals,source_model_literal,system_assignment_basis,semantic_provenance_status,manual_source_passage_scope,outcome_or_state_recoded
GPT-4o-01,2,GPT-4o,1,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V1.pdf,True,1,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,2,True,True,True,"{""Tension"": 0.85, ""Diplomatic_Support"": 0.65, ""Public_Opinion"": 0.8, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,targeted passages checked; concern recorded,False
GPT-4o-02,3,GPT-4o,2,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V2.pdf,True,2,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,3,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.5, ""Public_Opinion"": 0.45, ""Leadership_Unity"": 0.65}",GPT,workbook identity; not independent provider-version evidence,unresolved,targeted passages checked; concern recorded,False
GPT-4o-03,4,GPT-4o,3,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V3.pdf,True,3,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,4,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.65, ""Public_Opinion"": 0.65, ""Leadership_Unity"": 0.85}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-04,5,GPT-4o,4,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V4.pdf,True,4,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,5,True,True,True,"{""Tension"": 0.9, ""Diplomatic_Support"": 0.45, ""Public_Opinion"": 0.45, ""Leadership_Unity"": 0.6}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-05,6,GPT-4o,5,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V5.pdf,True,5,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,6,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.5, ""Public_Opinion"": 0.55, ""Leadership_Unity"": 0.45}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-06,7,GPT-4o,6,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V6.pdf,True,6,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,7,True,True,True,"{""Tension"": 1.0, ""Diplomatic_Support"": 0.38, ""Public_Opinion"": 0.38, ""Leadership_Unity"": 0.75}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-07,8,GPT-4o,7,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V7.pdf,True,7,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,8,True,True,True,"{""Tension"": 0.9, ""Diplomatic_Support"": 0.53, ""Public_Opinion"": 0.53, ""Leadership_Unity"": 0.7}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-08,9,GPT-4o,8,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V8.pdf,True,8,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,9,True,True,True,"{""Tension"": 0.95, ""Diplomatic_Support"": 0.45, ""Public_Opinion"": 0.35, ""Leadership_Unity"": 0.55}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-09,10,GPT-4o,9,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V9.pdf,True,9,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,10,True,True,True,"{""Tension"": 0.7, ""Diplomatic_Support"": 0.7, ""Public_Opinion"": 0.6, ""Leadership_Unity"": 0.8}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-10,11,GPT-4o,10,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V10.pdf,True,10,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,11,True,True,True,"{""Tension"": 0.75, ""Diplomatic_Support"": 0.8, ""Public_Opinion"": 0.8, ""Leadership_Unity"": 0.95}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-11,12,GPT-4o,11,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V11.pdf,True,11,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,12,True,True,True,"{""Tension"": 1.0, ""Diplomatic_Support"": 0.25, ""Public_Opinion"": 0.25, ""Leadership_Unity"": 0.3}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
GPT-4o-12,13,GPT-4o,12,runs/raw_logs/GPT-4o/GPT_시뮬레이션 V12.pdf,True,12,True,True,True,True,GPT.xlsx,나머지 10개 이제 gpt도 분석해줘.,13,True,True,True,"{""Tension"": 0.9, ""Diplomatic_Support"": 0.63, ""Public_Opinion"": 0.63, ""Leadership_Unity"": 0.75}",GPT,workbook identity; not independent provider-version evidence,unresolved,not manually assessed in this audit,False
