case_id,run_id,domain,turn,ai_status,checked_pages,question,observed_output,judgment_reason,scope_limit,evidence_note,source_url,source_sha256,original_check_id,old_card_ai_status,reviewer_type,human_reviewer,human_review_date,human_status,human_reason,original_rule,source_mode,comparison_note
HR-001,CLA-13,Initial actor-setting compatibility,1,C,1–5,소련의 초기 대안과 주요 선택이 소련에 부여한 목표·성향과 맞는가?,"소련에 은밀한 배치 계속, 부인과 협상, 경계 강화라는 선택을 제시하고, 주요 경로에서는 미국의 봉쇄에 부인·협상으로 대응한다. 5쪽의 설명은 양측 지도자의 중간 수준 갈등회피를 언급한다.","쿠바 보호·억지와 확전 회피를 서로 다른 방식으로 추구하는 선택이다. 갈등회피와 위험감수는 다른 속성이며, 이 문장의 중간 갈등회피는 보존된 소련 지도자 설정과 모순되지 않는다.",소련의 초기 설정 대응에 대한 판정이다. 모든 가중치·수치·후속 선택의 정확성을 인증하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/13.%20Strategic%20Decision%20Modeling%20Protocol.pdf,ed12e96517ebf09d595c80a487509e61c148bf3203963f0d7f5f3c9887cdf7d0,CLA-13-SEM2-T1_SU_ROLE,준수,AI,,,,,"For both the United States and the Soviet Union, identify 2-3 'realistic and plausible' alternative strategic actions for the current event, and for each alternative, clearly state the rationale based on the JSON information.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-002,CLA-01,Initial actor-setting compatibility,1,V,1–4,소련의 선택 근거가 원프로필의 성향값을 정확히 사용했는가?,협상과 배치 중단이라는 선택 자체는 목표와 양립한다. 그러나 4쪽 주요 조합의 근거는 양측 지도자의 위험감수 성향이 모두 중간이라고 설명한다.,"보존 프로필의 소련 지도자 위험감수는 High이다. 협상을 선택해서 위반인 것이 아니라, 선택을 설명하면서 고정된 성향을 다르게 인용한 것이 위반이다.",이런 속성 인용의 오류가 해당 실행의 모든 행동이 부적절함을 뜻하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/1.%20Strategic%20Decision%20Modeling%20Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,CLA-01-SEM2-T1_SU_ROLE,위반,AI,,,,,"For both the United States and the Soviet Union, identify 2-3 'realistic and plausible' alternative strategic actions for the current event, and for each alternative, clearly state the rationale based on the JSON information.",해시 일치 PDF의 신규 추출문 및 보존 추출문 대조; 화면 확인 범위는 별도 표시,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-003,CLA-19,Local alternative-pair generation,3,C,13–18,3턴에 실제 다룬 각 경로에서 주요 조합 외의 추가 행동 조합을 만들었는가?,"16쪽 경로1에 1A·1B·1C, 17쪽 경로2에 2A·2B·2C, 경로3에 3A·3B·3C가 있다. 각각 미국과 소련의 행동을 짝지었고 조합 내용도 구분된다.",처리한 세 경로마다 주요 조합 하나와 추가 조합 둘이 있어 해당 생성 요구를 충족한다. 18쪽 결과로그가 주조합 위주라는 사실은 대안을 만들지 않았다는 증거가 아니다.,"모든 대안의 로그 완결성, 다음 턴으로의 승계, 개별 행동의 다른 제약 준수는 별도 질문이다. 추가 행동쌍의 존재를 이들 전체의 준수로 확대하지 않는다.",원본 PDF 16–17쪽 화면 확인,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/19.%20Strategic%20Decision%20Modeling%20Protocol.pdf,865cb6b736997d80879ca1e14a2ac4287a22d947f1e8a9001777cd989ad1739e,CLA-19-SEM2-T3_BRANCH,준수,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",해시 일치 PDF의 신규 추출문 및 보존 추출문 대조; 화면 확인 범위는 별도 표시,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-004,CLA-04,Local alternative-pair generation,4,V,19–26,4턴의 각 처리 경로에서 추가 행동 조합이 있는가?,"첫째·셋째 경로에는 주요 조합과 두 추가 조합이 있다. 둘째 붕괴 경로는 양국별 행동을 각각 두 개씩 제안하면서도, 짝지은 선택은 주요 조합 하나만 제시한다.","개별 행동대안을 나열한 것과 추가 양국 행동쌍을 만든 것은 다르다. 이 경로는 현재 턴에서 가능한 개별 행동을 계속 제시하므로, 추가 조합을 전혀 작성하지 않은 것을 단순한 표제 문제로 볼 수 없다.",이미 이전에 완전히 종료되어 적용 자체가 불분명한 사례와 구별한다. 원문에 없는 붕괴 면제 규칙을 새로 만들지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/4.%20Strategic%20Decision%20Modeling%20Protocol.pdf,40ed9943db9822e0a9e63d8f4a7e9b9b6d53c0b5bc29ac3b092464de64a84acd,CLA-04-SEM2-T4_BRANCH,위반,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-005,CLA-03,Local alternative-pair generation,4,U,16–22 및 21–30쪽의 단계 구분,4턴에서 추가 대안을 생성했는가?,"보존 출력은 3턴 결과 뒤에 최종 보고 단계로 넘어간다. 독립된 4턴 응답을 식별할 수 없으며, 그에 대응하는 사용자 입력 전문도 없다.","4턴에서 대안을 만들지 않았는지, 해당 응답이 보존 과정에서 빠졌는지 구분할 수 없다. 최종 서사에 4턴 내용이 보인다고 독립된 대안 생성의 이행을 복원해서는 안 된다.",기록 부족에 따른 판정 불가이다. 미응답이나 실제 위반으로 확정한 것이 아니다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/3.%20Strategic%20Decision%20Modeling%20Protocol.pdf,b38d30d7290f6dd06dfdd11e9e91d690046307e35d589010665a82cf73f85c9c,CLA-03-SEM2-T4_BRANCH,판정 불가,AI,,,,,"For each 'scenario combination', specify 1 'most plausible' combination of strategic actions for this Turn, and additionally 1-2 'alternative plausible paths' (totaling 2-3 combinations) that could lead to different realistic outcomes.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-006,CLA-12,Specified event decision conditions,4,C,21–28,소련의 이중 지시·잠수함 사건·미국 경계 격상을 행동 선택에 반영했는가?,"23–24쪽은 완화와 전쟁준비의 병행을 이중 대응으로 설명하고, 잠수함 사건을 철수·위험관리의 이유로 사용한다. 뒤의 경로들도 군사 준비 또는 협상의 근거로 해당 조건을 활용한다.",사건명을 반복하는 데 그치지 않고 각 경로의 상이한 선택 근거에 사용했다. 동일 사건에 온건·강경하게 다르게 반응하는 것 자체는 위반이 아니다.,사건의 효과를 어떤 VDM 행에 대응했는지와 계산값이 맞는지는 여기서 인증하지 않는다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/12.%20Strategic%20Decision%20Modeling%20Protocol.pdf,14eb5bc5437bb94e9347990891c7f714425ce1bcea18d1d717d056901de5869a,CLA-12-SEM2-T4_EVENT,준수,AI,,,,,A Soviet official meeting issued instructions to de-escalate the crisis while simultaneously preparing for all-out war. The Soviet nuclear submarine B-59 surfaced in response to U.S. depth charges. The U.S. issued DEFCON 2.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-007,CLA-02,Specified event decision conditions,3,V,"14–27, 중심 16–21",3턴으로 분류된 응답이 주어진 정찰기 사건에 대응했는가?,"해당 응답은 앞선 봉쇄와 선박 처리에 관한 선택을 반복한다. 16–21쪽의 현턴 판단에서 정찰기 사건에 따른 대응을 찾지 못했고, 다음 응답은 4턴의 잠수함·경계 사건을 다룬다.","보존 프로토콜과 기존 단계 연결을 기준으로 하면, 지정된 3턴 전제가 선택에 반영되지 않았다. 단순히 사건명을 생략한 것이 아니라 대응 내용도 앞선 사건에 머문다.",이 판정은 해당 응답을 3턴에 연결한 보존 기록에 조건부이다. 당시 사용자 입력 전문과 단계 연결이 새로 확인되면 재판정할 수 있다. 실제 호출 입력을 증명한 것은 아니다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/2.%20Strategic%20Decision%20Modeling%20Framework.pdf,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,CLA-02-SEM2-T3_EVENT,위반,AI,,,,,"A U.S. U-2 reconnaissance plane was shot down over Cuba, and the pilot was killed.",보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-008,CLA-03,Specified event decision conditions,4,U,16–22 및 21–30쪽의 단계 구분,4턴의 지정 사건 조건을 적용했는가?,3턴 뒤 최종 보고가 이어지고 독립된 4턴 의사결정 응답은 보존되어 있지 않다.,"4턴의 고정 사건을 행동 선택에 사용했는지 판단할 증거가 부족하다. HR-005와 같은 기록 공백이지만, 이번 질문은 추가 대안 수가 아니라 사건 반영이다.",독립적인 두 실패가 발생했다고 세지 않는다. 같은 보존 공백이 두 평가 항목을 판정 불가로 만든 것이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/3.%20Strategic%20Decision%20Modeling%20Protocol.pdf,b38d30d7290f6dd06dfdd11e9e91d690046307e35d589010665a82cf73f85c9c,CLA-03-SEM2-T4_EVENT,판정 불가,AI,,,,,A Soviet official meeting issued instructions to de-escalate the crisis while simultaneously preparing for all-out war. The Soviet nuclear submarine B-59 surfaced in response to U.S. depth charges. The U.S. issued DEFCON 2.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-009,CLA-08,Previous parent-path coverage,2,C,6–14,1턴의 세 결과 경로를 2턴에서 모두 이어 다뤘는가?,1턴의 대치·외교·군사 경로가 각각 상태로그를 갖는다. 2턴은 9–13쪽에서 그 세 경로를 다시 구분해 다루고 13–14쪽에 결과를 기록한다.,이 단계에서는 앞선 명시 경로 세 개와 현재 처리 대상 세 개를 대응할 수 있다. 경로 이름뿐 아니라 시작 상황과 선택의 연결을 확인했다.,각 상태 숫자의 승계 정확성과 2턴에서 새로 제안한 모든 자식 경로의 다음 턴 유지 여부는 별도이다.,,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/8.%20Strategic%20Decision%20Modeling%20Protocol.pdf,5b336e028ed2a632165b9753b8e14d1f6ac1b74fd84c15e74c5f80a91002f706,CLA-08-SEM2-T2_PARENT_COVERAGE,준수,AI,,,,,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
HR-010,CLA-13,Previous parent-path coverage,4,U,15–26,3턴의 어떤 경로까지 4턴에 계속되어야 했으며 실제로 모두 처리됐는가?,3턴에서 세 경로별 추가 후보들이 나오지만 상태로그는 대표 세 경로 중심이다. 4턴에서도 그 세 가족 경로가 이어진다.,대표 세 경로가 처리된 사실은 확인된다. 다만 미로그 후보까지 다음 턴의 활성 부모인지 원지시만으로 고정할 수 없어 전체 처리범위의 준수를 확정하지 않는다.,"모든 후보를 무조건 지수적으로 확장해야 한다는 새 의무나, 자동 폐기를 허용하는 새 규칙을 적용하지 않는다.",,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/13.%20Strategic%20Decision%20Modeling%20Protocol.pdf,ed12e96517ebf09d595c80a487509e61c148bf3203963f0d7f5f3c9887cdf7d0,CLA-13-SEM2-T4_PARENT_COVERAGE,판정 불가,AI,,,,,Ensure that the branching maintains the flow of the ongoing scenario while exploring new directions.,보존 PDF의 이전 전체 추출문에서 지정 범위와 카드 발췌 대조,9월14일 카드 판정 유지(새로운 독립성·정확도 증명이 아님)
